,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,18.9,19.4,0.6,2.3,97.03,106.8,0.14
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,18.9,19.2,0.6,2.2,98.24,113.06,0.14
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,18.6,18.9,0.6,2.2,97.89,119.42,0.14
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,18.5,18.5,0.6,2.2,100.0,125.84,0.14
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,18.1,18.1,0.6,2.1,100.0,132.31,0.14
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,17.8,17.8,0.6,2.1,100.0,138.81,0.14
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,17.4,17.4,0.6,2.1,100.0,145.32,0.14
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,17.2,17.2,0.6,2.0,100.0,151.82,0.14
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,16.9,16.9,0.6,2.0,100.0,158.25,0.14
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,16.7,16.7,0.6,2.0,100.0,164.49,0.14
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,16.5,16.5,0.6,2.0,100.0,170.13,0.14
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,16.3,16.3,0.6,2.0,100.0,173.35,0.14
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,16.1,16.1,0.6,1.9,100.0,170.99,0.14
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,15.9,15.9,0.6,1.9,100.0,165.58,0.14
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,15.8,15.8,0.6,1.9,100.0,159.4,0.14
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,15.6,15.6,0.6,1.9,100.0,152.99,0.14
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,15.4,15.4,0.6,1.9,100.0,146.49,0.14
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,15.2,15.2,0.6,1.9,100.0,139.98,0.14
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,15.1,15.1,0.6,1.9,100.0,133.47,0.14
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,15.0,15.0,0.6,1.9,100.0,126.99,0.14
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,14.9,14.9,0.6,2.0,100.0,120.56,0.14
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,14.8,14.8,0.6,2.0,100.0,114.19,0.14
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,14.8,14.8,0.7,2.0,100.0,107.91,0.14
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,14.9,14.9,0.6,2.0,100.0,101.72,0.14
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,15.0,15.0,0.6,2.0,100.0,95.66,0.14
2019-01-01 12:30:00,2019,1,1,12,30,11.0,91.0,16.1,16.5,0.7,2.1,97.7,89.32,0.14
2019-01-01 13:00:00,2019,1,1,13,0,34.0,403.0,17.6,18.0,0.8,2.1,97.51,83.91,0.14
2019-01-01 13:30:00,2019,1,1,13,30,48.0,593.0,17.6,19.1,0.7,2.1,91.05,78.49,0.14
2019-01-01 14:00:00,2019,1,1,14,0,58.0,706.0,18.7,20.1,0.7,2.1,91.48,73.34,0.14
2019-01-01 14:30:00,2019,1,1,14,30,65.0,776.0,18.7,21.6,0.8,2.1,83.45,68.53,0.14
2019-01-01 15:00:00,2019,1,1,15,0,72.0,822.0,19.2,23.1,0.9,2.1,78.77,64.16,0.14
2019-01-01 15:30:00,2019,1,1,15,30,75.0,856.0,19.2,23.9,1.0,2.1,75.07,60.33,0.14
2019-01-01 16:00:00,2019,1,1,16,0,84.0,859.0,19.0,24.7,1.1,2.1,70.65,57.15,0.14
2019-01-01 16:30:00,2019,1,1,16,30,156.0,602.0,19.0,25.1,1.1,2.2,68.92,54.73,0.14
2019-01-01 17:00:00,2019,1,1,17,0,195.0,462.0,19.0,25.4,1.1,2.2,67.54,53.19,0.14
2019-01-01 17:30:00,2019,1,1,17,30,249.0,281.0,19.0,25.5,1.1,2.2,67.14,52.61,0.14
2019-01-01 18:00:00,2019,1,1,18,0,205.0,460.0,19.0,25.7,1.0,2.3,66.5,53.0,0.14
2019-01-01 18:30:00,2019,1,1,18,30,153.0,616.0,19.0,25.6,1.0,2.3,66.89,54.35,0.14
2019-01-01 19:00:00,2019,1,1,19,0,148.0,607.0,19.1,25.6,1.0,2.3,67.23,56.6,0.14
2019-01-01 19:30:00,2019,1,1,19,30,125.0,658.0,19.1,25.3,0.9,2.3,68.44,59.63,0.14
2019-01-01 20:00:00,2019,1,1,20,0,85.0,776.0,19.5,25.0,0.8,2.3,71.46,63.34,0.14
2019-01-01 20:30:00,2019,1,1,20,30,79.0,724.0,19.5,24.5,0.7,2.3,73.62,67.62,0.14
