,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,24.0,589.0,0.0,10.9,4.6,0.5,46.79,80.89,0.12
2019-01-01 00:30:00,2019,1,1,0,30,26.0,428.0,0.0,9.9,4.4,0.5,50.01,85.58,0.12
2019-01-01 01:00:00,2019,1,1,1,0,6.0,73.0,0.6,8.9,4.2,0.5,56.07,90.2,0.12
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,0.6,8.5,4.1,0.5,57.6,96.12,0.12
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,1.0,8.0,4.0,0.5,61.38,101.59,0.12
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,1.0,7.6,4.0,0.5,63.08,107.21,0.12
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,1.3,7.2,3.9,0.5,66.11,112.96,0.12
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,1.3,6.8,3.9,0.4,67.94,118.79,0.12
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,1.3,6.5,3.8,0.4,69.56,124.67,0.12
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,1.3,6.2,3.7,0.4,70.94,130.59,0.12
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,0.9,5.8,3.7,0.4,70.77,136.5,0.12
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,0.9,5.5,3.7,0.3,72.25,142.36,0.12
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,0.4,5.2,3.6,0.3,70.91,148.09,0.12
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,0.4,4.9,3.6,0.3,72.41,153.56,0.12
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-0.2,4.6,3.6,0.3,71.18,158.56,0.12
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-0.2,4.3,3.5,0.3,72.69,162.63,0.12
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-0.7,4.1,3.5,0.3,71.12,164.95,0.12
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-0.7,4.0,3.5,0.3,71.69,164.72,0.12
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-1.1,3.9,3.5,0.3,70.09,162.02,0.12
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-1.1,3.8,3.5,0.3,70.58,157.75,0.12
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-1.4,3.8,3.6,0.3,68.6,152.65,0.12
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-1.4,3.8,3.6,0.3,68.6,147.11,0.12
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-1.8,3.7,3.5,0.3,67.21,141.36,0.12
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-1.8,3.5,3.4,0.3,68.16,135.49,0.12
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-2.0,3.3,3.3,0.3,68.24,129.57,0.12
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-2.0,3.1,3.2,0.3,69.27,123.65,0.12
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-2.1,3.0,3.1,0.3,69.06,117.77,0.12
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-2.1,2.8,3.0,0.3,70.04,111.95,0.12
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-2.2,2.7,3.0,0.3,70.05,106.22,0.12
2019-01-01 14:30:00,2019,1,1,14,30,0.0,0.0,-2.2,2.6,2.9,0.3,70.62,100.62,0.12
2019-01-01 15:00:00,2019,1,1,15,0,0.0,0.0,-2.2,2.6,2.9,0.3,70.48,95.17,0.12
2019-01-01 15:30:00,2019,1,1,15,30,6.0,45.0,-2.2,3.6,3.0,0.4,65.67,89.42,0.12
2019-01-01 16:00:00,2019,1,1,16,0,32.0,127.0,-1.8,4.6,3.1,0.4,63.35,84.73,0.12
2019-01-01 16:30:00,2019,1,1,16,30,35.0,698.0,-1.8,5.6,3.2,0.4,59.1,80.07,0.12
2019-01-01 17:00:00,2019,1,1,17,0,41.0,797.0,-2.4,6.6,3.3,0.4,52.73,75.71,0.12
2019-01-01 17:30:00,2019,1,1,17,30,48.0,846.0,-2.4,7.7,3.1,0.5,48.91,71.75,0.12
2019-01-01 18:00:00,2019,1,1,18,0,54.0,880.0,-3.3,8.8,2.9,0.5,42.24,68.28,0.12
2019-01-01 18:30:00,2019,1,1,18,30,57.0,911.0,-3.3,9.6,2.6,0.5,40.03,65.37,0.12
2019-01-01 19:00:00,2019,1,1,19,0,60.0,930.0,-4.4,10.4,2.3,0.5,35.11,63.12,0.12
2019-01-01 19:30:00,2019,1,1,19,30,61.0,936.0,-4.4,11.0,2.2,0.6,33.74,61.58,0.12
2019-01-01 20:00:00,2019,1,1,20,0,61.0,942.0,-4.9,11.6,2.1,0.6,31.15,60.84,0.12
2019-01-01 20:30:00,2019,1,1,20,30,62.0,940.0,-4.9,11.9,2.2,0.6,30.54,60.9,0.12
2019-01-01 21:00:00,2019,1,1,21,0,63.0,931.0,-4.9,12.3,2.2,0.6,29.79,61.77,0.12
2019-01-01 21:30:00,2019,1,1,21,30,60.0,913.0,-4.9,12.4,2.2,0.7,29.6,63.41,0.12
2019-01-01 22:00:00,2019,1,1,22,0,59.0,886.0,-4.6,12.5,2.1,0.7,30.09,65.77,0.12
2019-01-01 22:30:00,2019,1,1,22,30,60.0,835.0,-4.6,12.2,1.8,0.7,30.68,68.77,0.12
2019-01-01 23:00:00,2019,1,1,23,0,53.0,799.0,-1.9,11.9,1.4,0.7,38.11,72.32,0.12
2019-01-01 23:30:00,2019,1,1,23,30,47.0,726.0,-1.9,11.9,1.4,0.7,38.11,76.34,0.12
2019-01-02 00:00:00,2019,1,2,0,0,42.0,520.0,-1.2,10.3,0.9,0.8,44.62,80.75,0.12
2019-01-02 00:30:00,2019,1,2,0,30,27.0,271.0,-1.2,9.9,0.8,0.8,45.83,85.45,0.12
2019-01-02 01:00:00,2019,1,2,1,0,5.0,51.0,-3.6,9.5,0.8,0.8,39.68,90.09,0.12
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,-3.6,9.3,0.8,0.8,40.21,95.98,0.12
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-3.5,9.0,0.9,0.8,41.24,101.45,0.12
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-3.5,8.8,1.0,0.8,41.84,107.08,0.12
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-3.1,8.6,1.1,0.8,43.7,112.82,0.12
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,-3.1,8.4,1.2,0.8,44.3,118.65,0.12
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,-2.4,8.2,1.3,0.8,47.24,124.54,0.12
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,-2.4,8.0,1.4,0.8,47.89,130.46,0.12
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,-1.6,7.8,1.5,0.8,51.3,136.37,0.12
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,-1.6,7.7,1.5,0.8,51.65,142.22,0.12
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,-0.9,7.5,1.6,0.9,55.35,147.95,0.12
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,-0.9,7.4,1.6,0.9,55.73,153.43,0.12
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,0.0,7.2,1.7,0.9,60.24,158.43,0.12
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,0.0,7.1,1.7,0.9,60.65,162.5,0.12
2019-01-02 08:00:00,2019,1,2,8,0,0.0,0.0,1.0,7.0,1.8,1.0,65.44,164.85,0.12
2019-01-02 08:30:00,2019,1,2,8,30,0.0,0.0,1.0,7.0,1.7,1.0,65.44,164.66,0.12
2019-01-02 09:00:00,2019,1,2,9,0,0.0,0.0,1.7,7.0,1.7,1.0,68.86,162.01,0.12
2019-01-02 09:30:00,2019,1,2,9,30,0.0,0.0,1.7,6.9,1.6,1.1,69.33,157.77,0.12
2019-01-02 10:00:00,2019,1,2,10,0,0.0,0.0,2.0,6.8,1.4,1.1,71.71,152.68,0.12
2019-01-02 10:30:00,2019,1,2,10,30,0.0,0.0,2.0,6.6,1.3,1.1,72.7,147.15,0.12
2019-01-02 11:00:00,2019,1,2,11,0,0.0,0.0,2.2,6.5,1.2,1.1,74.14,141.4,0.12
2019-01-02 11:30:00,2019,1,2,11,30,0.0,0.0,2.2,6.2,1.2,1.1,75.69,135.53,0.12
2019-01-02 12:00:00,2019,1,2,12,0,0.0,0.0,2.2,6.0,1.2,1.1,76.64,129.62,0.12
2019-01-02 12:30:00,2019,1,2,12,30,0.0,0.0,2.2,5.6,1.2,1.1,78.78,123.7,0.12
2019-01-02 13:00:00,2019,1,2,13,0,0.0,0.0,2.1,5.2,1.2,1.1,80.27,117.81,0.12
2019-01-02 13:30:00,2019,1,2,13,30,0.0,0.0,2.1,4.9,1.3,1.1,81.96,111.99,0.12
2019-01-02 14:00:00,2019,1,2,14,0,0.0,0.0,1.8,4.5,1.4,1.1,82.49,106.26,0.12
2019-01-02 14:30:00,2019,1,2,14,30,0.0,0.0,1.8,4.2,1.5,1.1,84.23,100.65,0.12
2019-01-02 15:00:00,2019,1,2,15,0,0.0,0.0,1.5,4.0,1.5,1.0,83.64,95.2,0.12
2019-01-02 15:30:00,2019,1,2,15,30,10.0,116.0,1.5,4.7,1.7,1.0,79.64,89.45,0.12
2019-01-02 16:00:00,2019,1,2,16,0,28.0,448.0,1.7,5.5,1.8,1.0,76.34,84.75,0.12
2019-01-02 16:30:00,2019,1,2,16,30,39.0,624.0,1.7,6.3,1.7,1.0,72.24,80.07,0.12
2019-01-02 17:00:00,2019,1,2,17,0,47.0,731.0,1.4,7.1,1.7,1.0,67.05,75.71,0.12
2019-01-02 17:30:00,2019,1,2,17,30,52.0,801.0,1.4,8.2,1.7,1.0,62.21,71.74,0.12
2019-01-02 18:00:00,2019,1,2,18,0,55.0,848.0,0.9,9.4,1.6,1.1,55.22,68.25,0.12
2019-01-02 18:30:00,2019,1,2,18,30,58.0,878.0,0.9,10.3,1.5,1.1,52.0,65.33,0.12
2019-01-02 19:00:00,2019,1,2,19,0,60.0,898.0,0.4,11.2,1.4,1.1,47.49,63.06,0.12
2019-01-02 19:30:00,2019,1,2,19,30,62.0,911.0,0.4,11.9,1.5,1.1,45.3,61.52,0.12
2019-01-02 20:00:00,2019,1,2,20,0,62.0,917.0,0.3,12.5,1.5,1.1,43.09,60.75,0.12
2019-01-02 20:30:00,2019,1,2,20,30,64.0,913.0,0.3,12.9,1.6,1.1,41.98,60.8,0.12
2019-01-02 21:00:00,2019,1,2,21,0,64.0,901.0,0.5,13.3,1.6,1.1,41.65,61.66,0.12
2019-01-02 21:30:00,2019,1,2,21,30,64.0,886.0,0.5,13.4,1.6,1.1,41.39,63.29,0.12
2019-01-02 22:00:00,2019,1,2,22,0,61.0,863.0,1.0,13.4,1.5,1.1,42.94,65.65,0.12
2019-01-02 22:30:00,2019,1,2,22,30,58.0,829.0,1.0,13.2,1.3,1.1,43.5,68.64,0.12
2019-01-02 23:00:00,2019,1,2,23,0,54.0,779.0,2.3,12.9,1.2,1.1,48.63,72.19,0.12
2019-01-02 23:30:00,2019,1,2,23,30,47.0,707.0,2.3,12.9,1.2,1.1,48.63,76.21,0.12
2019-01-03 00:00:00,2019,1,3,0,0,40.0,591.0,2.8,11.2,1.0,1.1,56.29,80.62,0.12
2019-01-03 00:30:00,2019,1,3,0,30,27.0,396.0,2.8,10.7,1.0,1.1,58.18,85.32,0.12
2019-01-03 01:00:00,2019,1,3,1,0,6.0,65.0,1.0,10.2,1.0,1.1,52.89,89.97,0.12
2019-01-03 01:30:00,2019,1,3,1,30,0.0,0.0,1.0,10.0,1.1,1.1,53.66,95.84,0.12
2019-01-03 02:00:00,2019,1,3,2,0,0.0,0.0,0.9,9.7,1.2,1.1,54.1,101.31,0.12
2019-01-03 02:30:00,2019,1,3,2,30,0.0,0.0,0.9,9.5,1.2,1.1,54.83,106.94,0.12
2019-01-03 03:00:00,2019,1,3,3,0,0.0,0.0,1.0,9.2,1.3,1.1,56.34,112.68,0.12
2019-01-03 03:30:00,2019,1,3,3,30,0.0,0.0,1.0,9.0,1.3,1.1,57.1,118.51,0.12
2019-01-03 04:00:00,2019,1,3,4,0,0.0,0.0,0.9,8.7,1.4,1.1,58.06,124.4,0.12
2019-01-03 04:30:00,2019,1,3,4,30,0.0,0.0,0.9,8.5,1.4,1.1,58.85,130.32,0.12
