,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,0.6,1.8,0.7,2.5,92.01,116.44,0.13
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,0.6,1.7,0.7,2.5,92.58,121.93,0.13
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,0.5,1.6,0.7,2.5,92.59,127.44,0.13
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,0.5,1.6,0.8,2.6,92.4,132.93,0.13
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,0.5,1.6,0.9,2.6,92.28,138.35,0.13
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,0.5,1.7,0.9,2.7,91.53,143.62,0.13
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,0.7,1.8,1.0,2.8,92.15,148.62,0.13
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,0.6,2.1,1.1,2.9,90.11,153.16,0.13
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,1.1,2.3,1.1,3.0,91.81,156.95,0.13
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,1.1,2.5,1.0,3.1,90.34,159.52,0.13
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,1.5,2.7,1.0,3.1,91.67,160.38,0.13
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,1.5,2.8,0.9,3.1,91.02,159.31,0.13
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,1.9,3.0,0.8,3.1,92.72,156.58,0.13
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,1.9,3.2,0.8,2.9,91.33,152.7,0.13
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,2.5,3.4,0.7,2.7,93.56,148.09,0.13
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,2.4,3.6,0.7,2.4,92.16,143.05,0.13
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,3.0,3.8,0.6,2.2,94.57,137.76,0.13
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,3.0,4.0,0.6,2.0,93.15,132.33,0.13
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,3.7,4.3,0.6,1.9,96.18,126.83,0.13
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,3.7,5.0,0.6,1.9,91.5,121.31,0.13
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,5.1,5.6,0.7,1.9,96.43,115.83,0.13
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,5.1,6.4,0.7,1.8,91.26,110.41,0.13
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,6.5,7.1,0.7,1.8,96.02,105.09,0.13
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,6.5,7.4,0.8,1.7,94.07,99.9,0.13
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,6.9,7.7,0.8,1.6,94.61,94.89,0.13
2019-01-01 12:30:00,2019,1,1,12,30,5.0,16.0,6.9,7.6,0.9,1.4,95.36,89.6,0.13
2019-01-01 13:00:00,2019,1,1,13,0,29.0,37.0,6.1,7.5,0.9,1.3,90.62,85.37,0.13
2019-01-01 13:30:00,2019,1,1,13,30,56.0,131.0,6.1,6.8,1.0,1.2,95.16,81.21,0.13
2019-01-01 14:00:00,2019,1,1,14,0,60.0,560.0,3.7,6.0,1.1,1.1,85.42,77.38,0.13
2019-01-01 14:30:00,2019,1,1,14,30,94.0,317.0,3.8,5.5,1.0,1.1,88.51,73.97,0.13
2019-01-01 15:00:00,2019,1,1,15,0,92.0,78.0,2.0,4.9,1.0,1.0,81.78,71.05,0.13
2019-01-01 15:30:00,2019,1,1,15,30,65.0,0.0,2.0,4.6,1.0,1.0,83.5,68.69,0.13
2019-01-01 16:00:00,2019,1,1,16,0,136.0,207.0,1.2,4.4,1.0,1.0,79.76,66.96,0.13
2019-01-01 16:30:00,2019,1,1,16,30,138.0,260.0,1.2,4.1,0.9,1.0,81.54,65.92,0.13
2019-01-01 17:00:00,2019,1,1,17,0,108.0,13.0,0.3,3.8,0.9,1.0,77.72,65.59,0.13
2019-01-01 17:30:00,2019,1,1,17,30,72.0,0.0,0.3,3.6,0.9,1.0,78.9,65.98,0.13
2019-01-01 18:00:00,2019,1,1,18,0,72.0,0.0,-0.4,3.4,0.9,1.0,76.22,67.09,0.13
2019-01-01 18:30:00,2019,1,1,18,30,46.0,0.0,-0.4,3.1,0.8,1.0,77.85,68.87,0.13
2019-01-01 19:00:00,2019,1,1,19,0,28.0,0.0,-0.8,2.8,0.8,1.0,76.98,71.28,0.13
2019-01-01 19:30:00,2019,1,1,19,30,19.0,0.0,-0.8,2.4,0.8,0.9,79.27,74.25,0.13
2019-01-01 20:00:00,2019,1,1,20,0,14.0,0.0,-1.3,1.9,0.7,0.9,79.61,77.7,0.13
2019-01-01 20:30:00,2019,1,1,20,30,9.0,0.0,-1.2,1.4,0.7,0.9,82.59,81.56,0.13
2019-01-01 21:00:00,2019,1,1,21,0,5.0,0.0,-1.7,0.8,0.7,0.9,83.12,85.74,0.13
