,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,12.1,12.4,0.9,3.9,97.99,111.47,0.12
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,12.1,12.6,0.9,3.9,96.61,117.08,0.12
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,12.4,12.8,0.9,3.8,97.69,122.75,0.12
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,12.4,13.0,0.9,3.8,96.42,128.45,0.12
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,12.9,13.2,0.8,3.8,97.89,134.14,0.12
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,12.9,13.4,0.8,3.7,96.62,139.77,0.12
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,13.3,13.6,0.8,3.5,98.02,145.26,0.12
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,13.3,13.9,0.8,3.0,96.14,150.5,0.12
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,13.9,14.2,0.9,2.5,98.02,155.28,0.12
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,13.9,14.5,1.0,2.2,96.14,159.27,0.12
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,14.3,14.8,1.2,1.8,96.8,161.89,0.12
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,14.3,14.4,1.2,1.7,99.43,162.5,0.12
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,12.9,14.0,1.3,1.5,93.09,160.92,0.12
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,12.9,13.1,1.3,1.4,98.79,157.6,0.12
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,10.5,12.3,1.3,1.3,88.52,153.2,0.12
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,10.5,11.5,1.3,1.3,93.39,148.18,0.12
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,8.6,10.7,1.2,1.3,87.05,142.81,0.12
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,8.6,10.0,1.2,1.3,91.3,137.24,0.12
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,7.2,9.4,1.2,1.3,86.2,131.58,0.12
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,7.2,8.6,1.1,1.3,91.06,125.88,0.12
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,5.9,7.9,1.1,1.2,87.25,120.18,0.12
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,5.9,7.2,1.1,1.2,91.6,114.53,0.12
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,4.6,6.5,1.0,1.2,87.46,108.96,0.12
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,4.6,6.0,0.9,1.2,90.61,103.5,0.12
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,3.7,5.5,0.9,1.1,88.41,98.17,0.12
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,3.7,5.2,0.8,1.1,90.36,93.03,0.12
2019-01-01 13:00:00,2019,1,1,13,0,3.0,0.0,3.0,4.9,0.8,1.1,87.71,87.82,0.12
2019-01-01 13:30:00,2019,1,1,13,30,8.0,0.0,3.0,4.8,0.8,1.1,88.42,83.33,0.12
2019-01-01 14:00:00,2019,1,1,14,0,14.0,0.0,2.1,4.7,0.7,1.0,83.47,79.04,0.12
2019-01-01 14:30:00,2019,1,1,14,30,22.0,0.0,2.2,5.0,0.8,1.0,81.82,75.12,0.12
2019-01-01 15:00:00,2019,1,1,15,0,45.0,0.0,1.6,5.2,0.8,1.0,77.58,71.64,0.12
2019-01-01 15:30:00,2019,1,1,15,30,37.0,0.0,1.6,5.5,0.8,1.0,75.98,68.68,0.12
2019-01-01 16:00:00,2019,1,1,16,0,38.0,0.0,1.4,5.7,0.8,1.0,73.82,66.32,0.12
2019-01-01 16:30:00,2019,1,1,16,30,112.0,201.0,1.4,5.9,0.8,1.0,72.81,64.62,0.12
2019-01-01 17:00:00,2019,1,1,17,0,123.0,337.0,1.4,6.1,0.8,1.0,71.9,63.65,0.12
2019-01-01 17:30:00,2019,1,1,17,30,124.0,4.0,1.4,6.1,0.7,1.0,71.9,63.43,0.12
2019-01-01 18:00:00,2019,1,1,18,0,78.0,0.0,1.5,6.0,0.7,1.0,72.66,63.97,0.12
2019-01-01 18:30:00,2019,1,1,18,30,116.0,1.0,1.5,5.9,0.7,1.0,73.17,65.26,0.12
2019-01-01 19:00:00,2019,1,1,19,0,82.0,0.0,1.6,5.8,0.6,1.0,74.25,67.25,0.12
2019-01-01 19:30:00,2019,1,1,19,30,52.0,0.0,1.6,5.6,0.6,1.1,75.28,69.88,0.12
2019-01-01 20:00:00,2019,1,1,20,0,42.0,0.0,1.9,5.3,0.5,1.1,78.62,73.07,0.12
2019-01-01 20:30:00,2019,1,1,20,30,31.0,0.0,1.9,4.8,0.4,1.1,81.4,76.75,0.12
2019-01-01 21:00:00,2019,1,1,21,0,19.0,0.0,2.3,4.3,0.3,1.1,87.0,80.84,0.12
2019-01-01 21:30:00,2019,1,1,21,30,9.0,0.0,2.3,3.7,0.3,1.1,90.73,85.24,0.12
2019-01-01 22:00:00,2019,1,1,22,0,3.0,11.0,2.3,3.1,0.2,1.1,94.34,89.68,0.12
2019-01-01 22:30:00,2019,1,1,22,30,0.0,0.0,2.3,2.8,0.2,1.1,96.36,95.21,0.12
2019-01-01 23:00:00,2019,1,1,23,0,0.0,0.0,1.9,2.5,0.2,1.1,96.14,100.44,0.12
