,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,5.8,9.6,1.2,0.7,77.33,93.59,0.16
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,5.8,9.0,1.2,0.7,80.51,99.61,0.16
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,5.3,8.5,1.2,0.7,80.3,105.76,0.16
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,5.3,8.0,1.2,0.7,83.06,112.03,0.16
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,4.9,7.4,1.2,0.7,84.02,118.38,0.16
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,4.9,7.1,1.2,0.7,85.76,124.8,0.16
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,4.6,6.7,1.2,0.7,86.39,131.28,0.16
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,4.6,6.6,1.2,0.7,87.08,137.79,0.16
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,4.4,6.5,1.1,0.7,86.63,144.31,0.16
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,4.4,6.6,1.0,0.7,86.03,150.83,0.16
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,4.2,6.8,0.9,0.7,83.71,157.3,0.16
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,4.2,6.9,0.7,0.7,83.14,163.62,0.16
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,4.0,7.1,0.6,0.7,80.39,169.46,0.16
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,4.0,6.6,0.8,0.7,83.19,173.39,0.16
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,3.5,6.1,0.9,0.7,83.3,171.83,0.16
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,3.5,5.5,1.1,0.7,86.82,166.59,0.16
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,2.8,4.8,1.3,0.7,86.67,160.43,0.16
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,2.8,4.4,1.4,0.7,89.12,154.02,0.16
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,2.1,3.9,1.6,0.7,88.22,147.52,0.16
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,2.1,4.2,2.1,0.7,86.38,140.99,0.16
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,2.1,4.5,2.6,0.7,84.25,134.46,0.16
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,2.1,4.8,3.2,0.7,82.5,127.97,0.16
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,2.1,5.1,3.8,0.7,80.72,121.52,0.16
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,2.1,4.9,4.1,0.7,81.85,115.13,0.16
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,2.0,4.7,4.5,0.8,82.83,108.81,0.16
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,2.0,4.4,4.6,0.8,84.59,102.6,0.16
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,1.8,4.0,4.8,0.8,85.64,96.51,0.16
2019-01-01 13:30:00,2019,1,1,13,30,3.0,1.0,1.8,4.3,5.0,0.8,83.94,89.99,0.16
2019-01-01 14:00:00,2019,1,1,14,0,21.0,0.0,1.6,4.6,5.2,0.9,80.9,84.65,0.16
2019-01-01 14:30:00,2019,1,1,14,30,50.0,1.0,1.6,5.5,5.6,0.9,76.08,79.19,0.16
2019-01-01 15:00:00,2019,1,1,15,0,95.0,52.0,1.2,6.3,6.1,1.0,69.7,73.97,0.16
2019-01-01 15:30:00,2019,1,1,15,30,135.0,27.0,1.2,7.1,6.1,1.0,65.98,69.09,0.16
2019-01-01 16:00:00,2019,1,1,16,0,178.0,89.0,1.2,7.8,6.2,1.1,63.0,64.63,0.16
2019-01-01 16:30:00,2019,1,1,16,30,204.0,285.0,1.2,8.5,6.0,1.1,60.08,60.69,0.16
2019-01-01 17:00:00,2019,1,1,17,0,225.0,279.0,1.5,9.1,5.9,1.2,59.17,57.39,0.16
2019-01-01 17:30:00,2019,1,1,17,30,249.0,301.0,1.5,9.7,5.7,1.2,56.78,54.84,0.16
2019-01-01 18:00:00,2019,1,1,18,0,234.0,428.0,2.0,10.3,5.5,1.2,56.22,53.15,0.16
2019-01-01 18:30:00,2019,1,1,18,30,246.0,375.0,1.9,10.7,5.3,1.2,54.69,52.41,0.16
2019-01-01 19:00:00,2019,1,1,19,0,273.0,195.0,2.3,11.2,5.1,1.2,54.33,52.65,0.16
2019-01-01 19:30:00,2019,1,1,19,30,195.0,28.0,2.3,11.2,4.9,1.2,54.28,53.87,0.16
2019-01-01 20:00:00,2019,1,1,20,0,191.0,24.0,2.5,11.3,4.6,1.2,54.69,55.99,0.16
2019-01-01 20:30:00,2019,1,1,20,30,159.0,13.0,2.5,10.9,4.4,1.2,56.16,58.92,0.16
2019-01-01 21:00:00,2019,1,1,21,0,115.0,2.0,2.6,10.6,4.1,1.3,57.74,62.55,0.16
2019-01-01 21:30:00,2019,1,1,21,30,70.0,0.0,2.6,10.0,3.7,1.3,60.1,66.75,0.16
