,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,-19.6,-12.3,3.6,0.3,54.59,93.24,0.87
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,-19.6,-12.6,3.4,0.3,55.93,98.42,0.87
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-20.0,-13.0,3.2,0.3,55.69,103.79,0.87
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-20.0,-13.3,3.1,0.3,57.06,109.29,0.87
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-20.4,-13.6,2.9,0.3,56.47,114.91,0.87
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-20.4,-13.8,2.8,0.3,57.4,120.59,0.87
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-20.8,-14.1,2.6,0.3,57.01,126.32,0.87
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-20.8,-14.2,2.4,0.3,57.48,132.06,0.87
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-21.0,-14.4,2.3,0.3,57.45,137.76,0.87
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-21.0,-14.5,2.2,0.3,57.93,143.37,0.87
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-21.2,-14.6,2.1,0.3,57.4,148.77,0.87
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-21.2,-14.7,1.9,0.3,57.87,153.83,0.87
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-21.3,-14.8,1.8,0.3,57.46,158.24,0.87
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-21.3,-14.7,1.7,0.3,56.99,161.53,0.87
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-21.4,-14.7,1.6,0.4,56.83,162.99,0.87
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-21.4,-14.6,1.6,0.4,56.37,162.17,0.87
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-21.3,-14.6,1.6,0.4,56.61,159.35,0.87
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-21.3,-14.5,1.6,0.4,56.08,155.2,0.87
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-21.2,-14.5,1.6,0.4,56.71,150.3,0.87
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-21.2,-14.5,1.5,0.4,56.71,144.98,0.87
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-21.2,-14.5,1.4,0.4,56.9,139.42,0.87
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-21.2,-14.5,1.4,0.4,56.9,133.74,0.87
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-21.3,-14.5,1.3,0.4,56.5,128.0,0.87
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-21.3,-14.5,1.4,0.4,56.5,122.26,0.87
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-21.2,-14.4,1.4,0.4,56.33,116.56,0.87
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-21.2,-14.3,1.4,0.4,55.86,110.92,0.87
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-21.0,-14.2,1.4,0.4,56.42,105.37,0.87
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-21.0,-14.0,1.4,0.4,55.5,99.96,0.87
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-20.8,-13.8,1.4,0.4,55.55,94.71,0.87
2019-01-01 14:30:00,2019,1,1,14,30,7.0,16.0,-20.8,-13.2,1.4,0.4,52.9,89.28,0.87
2019-01-01 15:00:00,2019,1,1,15,0,33.0,88.0,-20.3,-12.7,1.4,0.4,53.24,84.74,0.87
2019-01-01 15:30:00,2019,1,1,15,30,62.0,126.0,-20.3,-11.7,1.4,0.4,49.12,80.31,0.87
2019-01-01 16:00:00,2019,1,1,16,0,83.0,275.0,-19.0,-10.7,1.3,0.4,50.63,76.2,0.87
2019-01-01 16:30:00,2019,1,1,16,30,65.0,661.0,-19.0,-9.5,1.4,0.4,46.05,72.51,0.87
2019-01-01 17:00:00,2019,1,1,17,0,66.0,741.0,-17.5,-8.3,1.4,0.4,47.46,69.32,0.87
2019-01-01 17:30:00,2019,1,1,17,30,69.0,805.0,-17.5,-7.5,1.5,0.4,44.55,66.7,0.87
2019-01-01 18:00:00,2019,1,1,18,0,74.0,840.0,-16.5,-6.6,1.7,0.3,45.29,64.73,0.87
2019-01-01 18:30:00,2019,1,1,18,30,85.0,811.0,-16.5,-6.0,1.8,0.3,43.21,63.47,0.87
2019-01-01 19:00:00,2019,1,1,19,0,87.0,865.0,-15.8,-5.3,1.9,0.3,43.57,62.96,0.87
2019-01-01 19:30:00,2019,1,1,19,30,68.0,975.0,-15.8,-4.9,1.9,0.3,42.22,63.22,0.87
2019-01-01 20:00:00,2019,1,1,20,0,66.0,959.0,-15.3,-4.5,1.9,0.3,42.64,64.25,0.87
2019-01-01 20:30:00,2019,1,1,20,30,63.0,956.0,-15.3,-4.4,2.0,0.3,42.32,66.01,0.87
2019-01-01 21:00:00,2019,1,1,21,0,60.0,931.0,-15.1,-4.3,2.1,0.3,42.78,68.43,0.87
2019-01-01 21:30:00,2019,1,1,21,30,55.0,893.0,-15.1,-4.7,2.1,0.3,44.09,71.45,0.87
2019-01-01 22:00:00,2019,1,1,22,0,50.0,835.0,-15.1,-5.1,2.1,0.3,45.52,74.99,0.87
2019-01-01 22:30:00,2019,1,1,22,30,42.0,747.0,-15.1,-6.3,1.8,0.3,49.87,78.97,0.87
2019-01-01 23:00:00,2019,1,1,23,0,32.0,603.0,-15.8,-7.5,1.5,0.3,51.37,83.32,0.87
2019-01-01 23:30:00,2019,1,1,23,30,17.0,288.0,-15.8,-7.5,1.5,0.3,51.37,87.88,0.87
2019-01-02 00:00:00,2019,1,2,0,0,0.0,0.0,-16.9,-9.8,0.5,0.3,56.13,93.1,0.87
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,-16.9,-10.2,0.8,0.3,57.93,98.29,0.87
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,-17.3,-10.6,1.2,0.3,57.82,103.65,0.87
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,-17.3,-10.6,1.6,0.3,57.82,109.16,0.87
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-17.3,-10.6,2.0,0.3,57.71,114.77,0.87
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-17.3,-10.6,2.1,0.3,57.71,120.46,0.87
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-17.5,-10.5,2.3,0.3,56.46,126.19,0.87
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,-17.5,-10.6,2.4,0.3,56.91,131.93,0.87
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,-17.9,-10.7,2.6,0.2,55.38,137.63,0.87
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,-17.9,-10.7,2.8,0.2,55.38,143.23,0.87
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,-18.5,-10.8,3.0,0.2,52.93,148.64,0.87
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,-18.5,-10.9,3.0,0.2,53.36,153.69,0.87
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,-19.3,-11.0,3.0,0.2,50.5,158.11,0.87
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,-19.3,-11.0,2.9,0.2,50.5,161.41,0.87
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,-20.0,-10.9,2.8,0.2,47.03,162.9,0.87
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,-20.0,-10.9,2.7,0.2,47.03,162.12,0.87
2019-01-02 08:00:00,2019,1,2,8,0,0.0,0.0,-20.6,-10.8,2.6,0.2,44.35,159.33,0.87
2019-01-02 08:30:00,2019,1,2,8,30,0.0,0.0,-20.6,-10.8,2.4,0.2,44.35,155.21,0.87
2019-01-02 09:00:00,2019,1,2,9,0,0.0,0.0,-21.0,-10.8,2.2,0.2,42.77,150.32,0.87
2019-01-02 09:30:00,2019,1,2,9,30,0.0,0.0,-21.0,-10.8,2.0,0.2,42.77,145.01,0.87
2019-01-02 10:00:00,2019,1,2,10,0,0.0,0.0,-21.6,-10.8,1.7,0.2,40.84,139.46,0.87
2019-01-02 10:30:00,2019,1,2,10,30,0.0,0.0,-21.6,-10.7,1.7,0.2,40.52,133.78,0.87
2019-01-02 11:00:00,2019,1,2,11,0,0.0,0.0,-22.1,-10.6,1.6,0.2,38.46,128.04,0.87
2019-01-02 11:30:00,2019,1,2,11,30,0.0,0.0,-22.1,-10.4,1.6,0.2,37.86,122.3,0.87
2019-01-02 12:00:00,2019,1,2,12,0,0.0,0.0,-22.6,-10.2,1.6,0.2,35.56,116.6,0.87
2019-01-02 12:30:00,2019,1,2,12,30,0.0,0.0,-22.6,-10.0,1.6,0.2,35.0,110.95,0.87
2019-01-02 13:00:00,2019,1,2,13,0,0.0,0.0,-23.0,-9.7,1.6,0.2,32.96,105.41,0.87
2019-01-02 13:30:00,2019,1,2,13,30,0.0,0.0,-23.0,-9.3,1.5,0.2,31.98,99.99,0.87
2019-01-02 14:00:00,2019,1,2,14,0,0.0,0.0,-22.9,-9.0,1.4,0.2,31.37,94.74,0.87
2019-01-02 14:30:00,2019,1,2,14,30,10.0,169.0,-22.9,-7.5,1.4,0.2,27.91,89.31,0.87
2019-01-02 15:00:00,2019,1,2,15,0,25.0,492.0,-20.3,-6.0,1.3,0.2,31.42,84.75,0.87
2019-01-02 15:30:00,2019,1,2,15,30,36.0,683.0,-20.3,-3.8,1.6,0.2,26.61,80.31,0.87
2019-01-02 16:00:00,2019,1,2,16,0,40.0,828.0,-18.1,-1.6,1.9,0.2,27.13,76.19,0.87
2019-01-02 16:30:00,2019,1,2,16,30,43.0,916.0,-18.1,0.0,1.8,0.2,24.14,72.49,0.87
2019-01-02 17:00:00,2019,1,2,17,0,47.0,964.0,-16.5,1.5,1.7,0.2,24.78,69.29,0.87
2019-01-02 17:30:00,2019,1,2,17,30,51.0,990.0,-16.5,2.8,1.4,0.2,22.59,66.65,0.87
