,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,8.3,9.2,1.1,0.9,93.98,95.78,0.17
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,8.3,9.0,1.2,0.9,95.25,101.77,0.17
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,8.3,8.7,1.2,0.9,97.37,107.9,0.17
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,8.3,8.4,1.3,0.9,99.46,114.13,0.17
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,8.2,8.2,1.4,0.8,100.0,120.44,0.17
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,7.9,7.9,1.5,0.8,100.0,126.82,0.17
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,7.7,7.7,1.5,0.8,100.0,133.24,0.17
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,7.3,7.3,1.4,0.8,100.0,139.69,0.17
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,6.9,6.9,1.4,0.8,100.0,146.14,0.17
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,6.6,6.6,1.4,0.8,100.0,152.55,0.17
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,6.3,6.3,1.3,0.9,100.0,158.86,0.17
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,6.1,6.1,1.3,0.9,100.0,164.89,0.17
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,5.9,5.9,1.3,0.9,100.0,170.08,0.17
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,5.8,5.8,1.4,0.9,100.0,172.41,0.17
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,5.7,5.7,1.4,0.9,100.0,169.7,0.17
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,5.8,5.8,1.6,0.9,100.0,164.39,0.17
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,5.8,5.8,1.7,0.8,100.0,158.32,0.17
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,5.7,5.7,1.9,0.8,100.0,152.0,0.17
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,5.7,5.7,2.1,0.8,99.99,145.58,0.17
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,5.5,5.5,2.3,0.9,100.0,139.13,0.17
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,5.2,5.3,2.5,0.9,99.23,132.69,0.17
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,5.2,5.2,2.6,0.9,100.0,126.27,0.17
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,4.7,5.0,2.8,0.9,97.8,119.89,0.17
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,4.7,4.7,2.9,0.9,99.96,113.58,0.17
