,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,15.1,16.3,1.6,2.8,92.81,107.79,0.12
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,15.1,15.5,1.7,2.4,97.76,113.44,0.12
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,12.9,14.8,1.8,2.0,88.49,119.18,0.12
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,12.9,13.9,1.8,1.8,93.87,124.98,0.12
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,11.3,13.1,1.8,1.6,88.79,130.79,0.12
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,11.3,12.4,1.8,1.5,92.94,136.59,0.12
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,9.8,11.7,1.8,1.4,88.32,142.32,0.12
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,9.8,11.1,1.8,1.3,91.98,147.89,0.12
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,8.0,10.5,1.8,1.2,84.59,153.17,0.12
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,8.0,9.9,1.7,1.1,88.13,157.92,0.12
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,6.4,9.2,1.6,1.1,82.5,161.69,0.12
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,6.4,8.4,1.5,1.0,87.15,163.74,0.12
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,5.3,7.6,1.4,1.0,85.28,163.43,0.12
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,5.3,7.1,1.4,1.0,88.33,160.87,0.12
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,4.4,6.5,1.4,1.0,86.39,156.8,0.12
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,4.4,6.1,1.3,1.1,88.89,151.89,0.12
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,3.4,5.8,1.3,1.1,84.28,146.51,0.12
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,3.4,5.5,1.3,1.1,86.05,140.89,0.12
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,2.8,5.2,1.2,1.1,84.71,135.14,0.12
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,2.9,4.9,1.1,1.1,86.59,129.34,0.12
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,2.6,4.7,1.0,1.0,86.09,123.52,0.12
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,2.6,4.4,0.9,1.0,87.91,117.73,0.12
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,2.4,4.0,0.7,1.0,89.0,112.01,0.12
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,2.4,3.5,0.6,1.0,92.18,106.38,0.12
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,2.1,3.0,0.5,1.0,93.82,100.87,0.12
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,2.1,3.2,0.5,1.0,92.51,95.51,0.12
2019-01-01 13:00:00,2019,1,1,13,0,1.0,0.0,2.2,3.4,0.5,1.0,92.06,89.81,0.12
2019-01-01 13:30:00,2019,1,1,13,30,6.0,0.0,2.2,4.4,0.6,1.0,85.83,85.26,0.12
2019-01-01 14:00:00,2019,1,1,14,0,13.0,0.0,2.3,5.4,0.7,1.0,80.39,80.71,0.12
2019-01-01 14:30:00,2019,1,1,14,30,22.0,0.0,2.3,6.2,0.7,1.0,76.07,76.46,0.12
2019-01-01 15:00:00,2019,1,1,15,0,34.0,0.0,1.9,6.9,0.7,1.0,70.59,72.61,0.12
2019-01-01 15:30:00,2019,1,1,15,30,36.0,0.0,1.9,7.3,0.7,1.0,68.69,69.24,0.12
2019-01-01 16:00:00,2019,1,1,16,0,50.0,0.0,2.1,7.8,0.7,1.0,67.35,66.43,0.12
2019-01-01 16:30:00,2019,1,1,16,30,45.0,0.0,2.1,8.0,0.6,1.0,66.44,64.26,0.12
2019-01-01 17:00:00,2019,1,1,17,0,69.0,0.0,2.3,8.3,0.6,1.0,66.01,62.81,0.12
2019-01-01 17:30:00,2019,1,1,17,30,65.0,0.0,2.3,8.3,0.6,1.1,66.01,62.11,0.12
2019-01-01 18:00:00,2019,1,1,18,0,93.0,1.0,2.6,8.4,0.6,1.1,66.7,62.2,0.12
2019-01-01 18:30:00,2019,1,1,18,30,66.0,0.0,2.6,8.3,0.6,1.1,67.15,63.07,0.12
2019-01-01 19:00:00,2019,1,1,19,0,69.0,0.0,2.8,8.1,0.7,1.1,69.02,64.7,0.12
2019-01-01 19:30:00,2019,1,1,19,30,42.0,0.0,2.8,7.8,0.7,1.1,70.43,67.02,0.12
2019-01-01 20:00:00,2019,1,1,20,0,44.0,0.0,2.9,7.5,0.7,1.1,72.82,69.96,0.12
2019-01-01 20:30:00,2019,1,1,20,30,37.0,0.0,2.9,7.1,0.5,1.0,74.83,73.45,0.12
2019-01-01 21:00:00,2019,1,1,21,0,28.0,0.0,3.7,6.6,0.4,1.0,81.77,77.4,0.12
2019-01-01 21:30:00,2019,1,1,21,30,11.0,0.0,3.7,5.6,0.3,1.0,87.6,81.73,0.12
2019-01-01 22:00:00,2019,1,1,22,0,6.0,9.0,3.7,4.5,0.3,1.0,94.25,86.33,0.12
2019-01-01 22:30:00,2019,1,1,22,30,2.0,9.0,3.7,4.2,0.3,1.0,96.25,91.52,0.12
2019-01-01 23:00:00,2019,1,1,23,0,0.0,0.0,3.0,3.8,0.3,1.0,94.77,96.72,0.12
2019-01-01 23:30:00,2019,1,1,23,30,0.0,0.0,3.0,3.8,0.3,1.0,94.77,102.11,0.12
2019-01-02 00:00:00,2019,1,2,0,0,0.0,0.0,2.8,3.5,0.3,1.0,94.89,107.65,0.12
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,2.8,3.4,0.3,1.0,95.56,113.31,0.12
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,2.5,3.2,0.3,1.0,95.1,119.05,0.12
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,2.5,3.0,0.3,0.9,96.45,124.84,0.12
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,2.2,2.9,0.3,0.9,94.86,130.66,0.12
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,2.2,2.7,0.3,0.9,96.22,136.46,0.12
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,1.9,2.6,0.3,0.9,95.0,142.18,0.12
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,1.9,2.5,0.3,0.9,95.68,147.75,0.12
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,1.7,2.5,0.3,0.9,94.66,153.03,0.12
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,1.7,2.4,0.3,0.9,95.34,157.79,0.12
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,1.5,2.3,0.3,0.9,94.45,161.56,0.12
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,1.5,2.2,0.3,0.9,95.13,163.65,0.12
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,1.3,2.1,0.3,0.9,94.22,163.38,0.12
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,1.3,2.1,0.3,0.9,94.22,160.85,0.12
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,1.0,2.0,0.3,0.9,93.24,156.81,0.12
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,1.0,1.9,0.3,0.9,93.9,151.91,0.12
2019-01-02 08:00:00,2019,1,2,8,0,0.0,0.0,0.8,1.9,0.3,0.9,92.69,146.55,0.12
