,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,3.6,4.3,8.6,1.3,95.01,105.31,0.16
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,3.5,3.5,8.2,1.3,100.0,110.84,0.16
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,2.0,2.6,7.8,1.2,96.15,116.47,0.16
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,2.1,2.1,7.3,1.2,99.73,122.16,0.16
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,1.2,1.7,6.8,1.2,96.43,127.89,0.16
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,1.2,1.3,6.2,1.1,99.34,133.62,0.16
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,0.6,1.0,5.6,1.1,97.03,139.29,0.16
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,0.6,0.6,5.0,1.1,99.96,144.84,0.16
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,0.1,0.3,4.5,1.1,98.45,150.15,0.16
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,0.0,0.0,4.4,1.1,100.0,155.05,0.16
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-0.4,-0.3,4.2,1.1,99.35,159.2,0.16
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-0.5,-0.5,4.3,1.0,100.0,162.04,0.16
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-0.9,-0.7,4.3,1.0,98.76,162.9,0.16
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-0.9,-0.8,4.2,1.0,99.58,161.49,0.16
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-1.1,-0.9,4.1,1.0,98.2,158.25,0.16
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-1.1,-1.0,3.8,0.9,99.02,153.87,0.16
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-1.3,-1.1,3.4,0.9,98.78,148.84,0.16
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-1.3,-1.2,2.9,0.9,99.51,143.45,0.16
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-1.4,-1.3,2.5,0.8,99.41,137.86,0.16
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-1.5,-1.5,2.2,0.8,100.0,132.17,0.16
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-1.7,-1.7,1.8,0.8,100.0,126.44,0.16
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-1.7,-1.7,1.7,0.8,100.0,120.71,0.16
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-1.8,-1.7,1.5,0.8,99.44,115.03,0.16
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-1.8,-1.7,1.6,0.9,99.54,109.42,0.16
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-2.1,-1.6,1.8,0.9,96.58,103.92,0.16
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-2.1,-1.5,2.1,0.9,95.97,98.55,0.16
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-2.4,-1.3,2.5,0.9,92.12,93.37,0.16
2019-01-01 13:30:00,2019,1,1,13,30,5.0,12.0,-2.4,-0.8,3.0,0.9,88.91,88.08,0.16
2019-01-01 14:00:00,2019,1,1,14,0,11.0,0.0,-2.5,-0.3,3.6,0.9,84.79,83.55,0.16
2019-01-01 14:30:00,2019,1,1,14,30,20.0,0.0,-2.5,0.3,3.5,0.9,81.26,79.21,0.16
2019-01-01 15:00:00,2019,1,1,15,0,29.0,0.0,-2.6,0.8,3.5,1.0,78.14,75.22,0.16
2019-01-01 15:30:00,2019,1,1,15,30,29.0,0.0,-2.6,1.5,3.2,1.0,74.32,71.67,0.16
2019-01-01 16:00:00,2019,1,1,16,0,36.0,0.0,-1.9,2.2,2.9,1.0,74.34,68.63,0.16
2019-01-01 16:30:00,2019,1,1,16,30,46.0,0.0,-1.9,2.6,2.6,1.0,72.26,66.19,0.16
2019-01-01 17:00:00,2019,1,1,17,0,54.0,0.0,-1.3,3.1,2.2,1.0,72.66,64.41,0.16
2019-01-01 17:30:00,2019,1,1,17,30,61.0,0.0,-1.3,3.3,2.1,1.0,71.57,63.35,0.16
2019-01-01 18:00:00,2019,1,1,18,0,65.0,0.0,-1.1,3.5,2.0,1.0,71.82,63.05,0.16
2019-01-01 18:30:00,2019,1,1,18,30,68.0,0.0,-1.1,3.6,2.1,1.0,71.31,63.53,0.16
2019-01-01 19:00:00,2019,1,1,19,0,62.0,0.0,-1.1,3.6,2.3,0.9,71.53,64.75,0.16
2019-01-01 19:30:00,2019,1,1,19,30,48.0,0.0,-1.1,3.5,2.4,0.9,72.04,66.69,0.16
2019-01-01 20:00:00,2019,1,1,20,0,36.0,0.0,-1.1,3.4,2.5,0.9,72.19,69.28,0.16
2019-01-01 20:30:00,2019,1,1,20,30,22.0,0.0,-1.1,3.0,2.3,0.9,74.25,72.44,0.16
2019-01-01 21:00:00,2019,1,1,21,0,14.0,0.0,-0.9,2.7,2.1,0.9,77.45,76.1,0.16
2019-01-01 21:30:00,2019,1,1,21,30,9.0,0.0,-0.9,1.6,1.6,0.9,83.75,80.18,0.16
