,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,18.0,3.0,-11.7,4.1,2.2,0.4,30.73,84.42,0.17
2019-01-01 00:30:00,2019,1,1,0,30,4.0,1.0,-11.6,3.3,2.0,0.4,32.54,89.3,0.17
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-10.9,2.5,1.8,0.4,36.6,95.11,0.17
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-10.9,2.3,1.7,0.4,37.13,100.69,0.17
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-10.5,2.1,1.6,0.4,38.65,106.42,0.17
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-10.5,1.8,1.6,0.4,39.49,112.27,0.17
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-10.8,1.5,1.6,0.4,39.43,118.21,0.17
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-10.8,1.1,1.8,0.4,40.62,124.21,0.17
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-11.7,0.6,2.0,0.4,39.32,130.26,0.17
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-11.7,0.3,2.1,0.4,40.18,136.31,0.17
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-12.4,-0.1,2.3,0.4,38.94,142.32,0.17
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-12.4,-0.3,2.5,0.4,39.55,148.25,0.17
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-12.8,-0.5,2.7,0.4,38.79,153.97,0.17
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-12.8,-0.7,2.8,0.4,39.36,159.29,0.17
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-12.8,-0.9,3.0,0.4,40.06,163.77,0.17
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-12.8,-1.1,3.1,0.4,40.65,166.52,0.17
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-12.7,-1.2,3.2,0.4,41.44,166.43,0.17
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-12.7,-1.3,3.2,0.4,41.74,163.54,0.17
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-12.6,-1.4,3.2,0.4,42.15,158.99,0.17
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-12.6,-1.5,3.2,0.4,42.46,153.63,0.17
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-12.9,-1.5,3.2,0.4,41.54,147.89,0.17
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-12.9,-1.6,3.2,0.3,41.84,141.96,0.17
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-13.6,-1.7,3.3,0.3,39.82,135.94,0.17
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-13.6,-1.8,3.4,0.3,40.11,129.89,0.17
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-14.4,-1.9,3.4,0.3,37.94,123.84,0.17
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-14.4,-2.0,3.5,0.3,38.22,117.84,0.17
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-14.9,-2.0,3.5,0.3,36.52,111.9,0.17
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-14.9,-2.1,3.6,0.3,36.83,106.05,0.17
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-15.3,-2.1,3.6,0.3,35.73,100.33,0.17
2019-01-01 14:30:00,2019,1,1,14,30,0.0,0.0,-15.3,-1.4,4.3,0.3,33.98,94.76,0.17
2019-01-01 15:00:00,2019,1,1,15,0,5.0,18.0,-15.7,-0.6,4.9,0.3,30.96,88.99,0.17
2019-01-01 15:30:00,2019,1,1,15,30,26.0,13.0,-15.7,0.3,5.7,0.3,29.0,84.09,0.17
2019-01-01 16:00:00,2019,1,1,16,0,51.0,42.0,-16.5,1.3,6.5,0.3,25.14,79.28,0.17
2019-01-01 16:30:00,2019,1,1,16,30,60.0,613.0,-16.5,2.0,6.8,0.3,23.91,74.78,0.17
2019-01-01 17:00:00,2019,1,1,17,0,53.0,892.0,-17.2,2.8,7.1,0.2,21.35,70.67,0.17
2019-01-01 17:30:00,2019,1,1,17,30,57.0,934.0,-17.2,3.4,7.0,0.2,20.46,67.06,0.17
2019-01-01 18:00:00,2019,1,1,18,0,60.0,963.0,-17.4,4.1,6.9,0.2,19.1,64.02,0.17
2019-01-01 18:30:00,2019,1,1,18,30,62.0,984.0,-17.4,4.6,6.7,0.2,18.45,61.64,0.17
2019-01-01 19:00:00,2019,1,1,19,0,63.0,997.0,-17.5,5.1,6.5,0.2,17.66,60.01,0.17
2019-01-01 19:30:00,2019,1,1,19,30,63.0,1003.0,-17.5,5.5,6.2,0.2,17.18,59.19,0.17
2019-01-01 20:00:00,2019,1,1,20,0,63.0,1004.0,-17.6,5.9,6.0,0.2,16.68,59.2,0.17
2019-01-01 20:30:00,2019,1,1,20,30,62.0,997.0,-17.6,6.1,5.6,0.2,16.45,60.06,0.17
2019-01-01 21:00:00,2019,1,1,21,0,60.0,980.0,-17.5,6.4,5.3,0.3,16.16,61.72,0.17
2019-01-01 21:30:00,2019,1,1,21,30,58.0,954.0,-17.5,6.4,5.1,0.3,16.14,64.13,0.17
2019-01-01 22:00:00,2019,1,1,22,0,54.0,926.0,-17.4,6.5,4.8,0.3,16.18,67.19,0.17
2019-01-01 22:30:00,2019,1,1,22,30,49.0,885.0,-17.4,5.9,4.0,0.3,16.87,70.83,0.17
2019-01-01 23:00:00,2019,1,1,23,0,44.0,823.0,-15.7,5.4,3.1,0.3,20.26,74.95,0.17
2019-01-01 23:30:00,2019,1,1,23,30,37.0,725.0,-15.7,5.4,3.1,0.3,20.26,79.46,0.17
