,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,2.0,2.3,7.7,1.8,97.96,106.27,0.11
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,2.0,2.1,8.3,1.8,99.47,111.67,0.11
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,1.4,1.8,8.8,1.7,97.37,117.17,0.11
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,1.4,2.0,8.5,1.7,96.09,122.73,0.11
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,1.4,2.1,8.2,1.7,95.03,128.3,0.11
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,1.4,2.1,8.0,1.6,95.23,133.86,0.11
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,1.3,2.2,7.7,1.5,93.96,139.34,0.11
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,1.3,2.1,7.5,1.5,94.73,144.67,0.11
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,1.1,1.9,7.2,1.4,94.53,149.71,0.11
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,1.1,1.8,7.1,1.3,95.31,154.28,0.11
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,0.7,1.6,7.0,1.3,93.64,158.04,0.11
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,0.7,1.3,6.9,1.3,95.77,160.48,0.11
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,0.1,1.1,6.8,1.2,92.81,161.08,0.11
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,0.1,0.8,6.7,1.2,95.03,159.67,0.11
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-0.7,0.5,6.7,1.1,91.61,156.61,0.11
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-0.7,0.2,6.6,1.1,93.71,152.47,0.11
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-1.5,-0.1,6.5,1.0,90.29,147.67,0.11
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-1.5,-0.3,6.7,1.0,91.7,142.49,0.11
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-2.1,-0.5,6.8,0.9,89.15,137.09,0.11
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-2.1,-0.5,6.9,0.9,89.24,131.57,0.11
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-2.4,-0.6,7.0,0.9,87.64,126.0,0.11
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-2.4,-0.7,7.0,0.9,88.28,120.42,0.11
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-2.6,-0.7,6.9,0.9,86.78,114.88,0.11
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-2.6,-0.8,6.7,0.9,87.41,109.42,0.11
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-2.8,-0.8,6.4,0.9,86.28,104.06,0.11
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-2.8,-0.8,6.0,0.9,86.28,98.84,0.11
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-2.9,-0.8,5.7,0.9,85.61,93.8,0.11
2019-01-01 13:30:00,2019,1,1,13,30,3.0,3.0,-2.9,-0.7,5.4,0.9,85.07,88.61,0.11
