,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,10.6,11.1,9.8,3.4,96.64,110.44,0.09
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,10.6,11.2,9.5,3.1,96.0,115.95,0.09
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,11.1,11.4,9.1,2.7,98.32,121.53,0.09
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,11.1,11.6,9.1,2.4,97.04,127.14,0.09
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,11.7,11.8,9.1,2.1,99.29,132.74,0.09
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,11.7,12.0,9.5,2.0,97.99,138.28,0.09
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,11.6,12.1,10.0,1.8,96.58,143.7,0.09
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,11.6,11.6,10.6,1.7,99.91,148.87,0.09
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,9.7,11.1,11.2,1.6,90.99,153.62,0.09
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,9.7,10.2,11.4,1.5,96.6,157.65,0.09
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,7.3,9.3,11.7,1.5,87.53,160.48,0.09
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,7.3,8.5,11.5,1.5,92.47,161.52,0.09
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,5.6,7.6,11.4,1.5,87.33,160.49,0.09
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,5.6,7.0,11.0,1.4,91.07,157.68,0.09
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,4.5,6.3,10.6,1.4,88.52,153.66,0.09
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,4.6,5.7,9.8,1.3,92.35,148.91,0.09
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,3.5,5.1,9.1,1.3,89.16,143.74,0.09
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,3.5,4.5,8.6,1.2,93.05,138.33,0.09
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,2.3,3.8,8.1,1.2,89.99,132.78,0.09
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,2.3,3.4,7.6,1.2,92.74,127.18,0.09
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,1.6,3.0,7.1,1.2,90.45,121.57,0.09
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,1.6,2.9,6.6,1.2,91.18,115.98,0.09
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,1.3,2.7,6.1,1.2,90.54,110.47,0.09
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,1.3,2.6,5.5,1.1,91.27,105.06,0.09
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,1.0,2.5,5.0,1.1,90.05,99.77,0.09
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,1.0,2.5,4.7,1.1,90.05,94.66,0.09
2019-01-01 13:00:00,2019,1,1,13,0,1.0,0.0,0.8,2.6,4.4,1.0,88.19,89.31,0.09
2019-01-01 13:30:00,2019,1,1,13,30,5.0,0.0,0.9,2.8,4.3,1.0,87.04,84.95,0.09
2019-01-01 14:00:00,2019,1,1,14,0,9.0,0.0,0.6,3.1,4.2,1.0,83.39,80.69,0.09
2019-01-01 14:30:00,2019,1,1,14,30,14.0,0.0,0.6,3.3,3.9,1.0,82.3,76.75,0.09
2019-01-01 15:00:00,2019,1,1,15,0,27.0,0.0,0.2,3.5,3.7,1.0,78.91,73.23,0.09
2019-01-01 15:30:00,2019,1,1,15,30,32.0,0.0,0.2,3.6,3.7,1.0,78.36,70.21,0.09
2019-01-01 16:00:00,2019,1,1,16,0,38.0,0.0,0.0,3.7,3.8,1.0,76.86,67.76,0.09
2019-01-01 16:30:00,2019,1,1,16,30,58.0,0.0,0.0,3.7,3.8,1.0,76.86,65.95,0.09
2019-01-01 17:00:00,2019,1,1,17,0,99.0,0.0,-0.1,3.8,3.8,1.0,75.63,64.83,0.09
2019-01-01 17:30:00,2019,1,1,17,30,89.0,0.0,-0.1,3.8,3.7,1.0,75.63,64.45,0.09
2019-01-01 18:00:00,2019,1,1,18,0,113.0,0.0,-0.3,3.8,3.6,1.0,74.61,64.81,0.09
2019-01-01 18:30:00,2019,1,1,18,30,141.0,18.0,-0.3,3.7,3.6,1.0,75.14,65.9,0.09
2019-01-01 19:00:00,2019,1,1,19,0,99.0,10.0,-0.5,3.7,3.6,1.0,73.8,67.7,0.09
2019-01-01 19:30:00,2019,1,1,19,30,48.0,0.0,-0.5,3.5,3.6,1.0,74.92,70.13,0.09
2019-01-01 20:00:00,2019,1,1,20,0,29.0,0.0,-0.8,3.3,3.6,1.0,74.65,73.13,0.09
2019-01-01 20:30:00,2019,1,1,20,30,19.0,0.0,-0.8,2.9,3.4,1.0,76.79,76.64,0.09
2019-01-01 21:00:00,2019,1,1,21,0,12.0,0.0,-0.8,2.5,3.1,1.1,78.62,80.56,0.09
2019-01-01 21:30:00,2019,1,1,21,30,6.0,0.0,-0.8,2.0,3.0,1.0,81.47,84.82,0.09
2019-01-01 22:00:00,2019,1,1,22,0,1.0,0.0,-1.1,1.5,2.8,1.0,82.71,89.18,0.09
2019-01-01 22:30:00,2019,1,1,22,30,0.0,0.0,-1.1,1.3,2.8,1.0,83.9,94.51,0.09
2019-01-01 23:00:00,2019,1,1,23,0,0.0,0.0,-1.4,1.1,2.8,1.0,83.53,99.62,0.09
2019-01-01 23:30:00,2019,1,1,23,30,0.0,0.0,-1.4,1.1,2.8,1.0,83.53,104.89,0.09
2019-01-02 00:00:00,2019,1,2,0,0,0.0,0.0,-1.6,0.7,2.8,1.0,84.56,110.3,0.09
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,-1.6,0.5,2.7,1.0,85.79,115.81,0.09
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,-1.8,0.3,2.6,1.0,86.0,121.39,0.09
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,-1.8,0.2,2.4,1.0,86.62,127.0,0.09
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-1.9,0.0,2.3,1.0,86.89,132.6,0.09
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-1.9,-0.1,2.2,1.0,87.44,138.15,0.09
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-2.1,-0.3,2.0,1.0,87.8,143.56,0.09
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,-2.1,-0.3,1.9,1.0,87.8,148.73,0.09
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,-2.2,-0.3,1.8,1.0,86.96,153.49,0.09
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,-2.2,-0.3,1.7,1.0,86.96,157.52,0.09
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,-2.3,-0.3,1.7,1.0,86.38,160.36,0.09
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,-2.3,-0.3,1.7,1.0,86.47,161.44,0.09
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,-2.3,-0.4,1.7,1.0,86.83,160.44,0.09
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,-2.3,-0.4,1.7,1.0,86.83,157.66,0.09
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,-2.4,-0.4,1.7,1.0,86.39,153.66,0.09
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,-2.4,-0.4,1.7,1.0,86.39,148.93,0.09
