,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,4.7,8.3,1.6,0.7,78.2,96.3,0.13
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,4.7,7.9,1.7,0.7,80.43,102.16,0.13
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,4.1,7.5,1.8,0.7,79.18,108.15,0.13
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,4.1,7.1,2.0,0.7,81.45,114.25,0.13
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,3.4,6.6,2.2,0.7,80.22,120.43,0.13
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,3.4,6.2,2.4,0.7,82.54,126.68,0.13
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,2.9,5.7,2.7,0.7,82.42,132.96,0.13
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,3.0,5.3,2.9,0.7,84.82,139.26,0.13
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,2.7,4.8,3.2,0.7,86.47,145.54,0.13
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,2.7,4.4,3.6,0.7,89.0,151.75,0.13
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,2.6,4.1,4.1,0.7,90.06,157.8,0.13
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,2.6,3.6,4.5,0.7,93.37,163.45,0.13
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,2.1,3.2,4.9,0.8,92.78,168.11,0.13
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,2.1,2.6,5.3,0.8,96.81,170.2,0.13
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,0.9,2.0,5.7,0.8,92.46,168.25,0.13
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,0.9,1.5,5.7,0.8,95.82,163.65,0.13
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-0.7,0.9,5.7,0.8,89.26,158.01,0.13
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-0.7,0.5,5.5,0.8,91.87,151.98,0.13
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-1.9,0.2,5.3,0.7,85.48,145.77,0.13
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-1.9,0.0,5.2,0.7,86.72,139.49,0.13
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-2.8,-0.2,5.0,0.7,82.87,133.19,0.13
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-2.8,-0.3,5.0,0.7,83.47,126.91,0.13
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-3.3,-0.5,4.9,0.7,81.12,120.66,0.13
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-3.3,-0.6,4.8,0.7,81.79,114.47,0.13
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-3.8,-0.7,4.8,0.7,79.29,108.36,0.13
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-3.8,-0.8,4.9,0.7,79.87,102.36,0.13
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-4.3,-0.9,4.9,0.7,77.6,96.5,0.13
2019-01-01 13:30:00,2019,1,1,13,30,6.0,50.0,-4.3,-0.5,5.2,0.7,75.37,90.16,0.13
2019-01-01 14:00:00,2019,1,1,14,0,32.0,346.0,-4.5,0.0,5.4,0.8,71.75,85.12,0.13
2019-01-01 14:30:00,2019,1,1,14,30,48.0,530.0,-4.5,0.6,5.6,0.8,68.7,79.95,0.13
2019-01-01 15:00:00,2019,1,1,15,0,54.0,253.0,-4.3,1.3,5.7,0.8,66.17,75.03,0.13
2019-01-01 15:30:00,2019,1,1,15,30,115.0,87.0,-4.3,2.0,5.6,0.8,62.94,70.47,0.13
2019-01-01 16:00:00,2019,1,1,16,0,125.0,83.0,-3.3,2.8,5.4,0.8,63.96,66.35,0.13
2019-01-01 16:30:00,2019,1,1,16,30,129.0,26.0,-3.4,3.5,5.2,0.8,60.82,62.77,0.13
2019-01-01 17:00:00,2019,1,1,17,0,70.0,0.0,-2.1,4.3,5.0,0.9,62.94,59.83,0.13
2019-01-01 17:30:00,2019,1,1,17,30,132.0,2.0,-2.2,4.9,4.9,0.9,60.3,57.63,0.13
2019-01-01 18:00:00,2019,1,1,18,0,179.0,11.0,-1.1,5.5,4.7,0.9,62.49,56.26,0.13
2019-01-01 18:30:00,2019,1,1,18,30,247.0,88.0,-1.1,5.9,4.6,1.0,60.79,55.77,0.13
2019-01-01 19:00:00,2019,1,1,19,0,245.0,78.0,-0.2,6.4,4.4,1.0,62.63,56.2,0.13
2019-01-01 19:30:00,2019,1,1,19,30,237.0,174.0,-0.2,6.5,4.3,1.0,62.2,57.53,0.13
2019-01-01 20:00:00,2019,1,1,20,0,214.0,120.0,0.4,6.7,4.1,1.0,64.32,59.68,0.13
2019-01-01 20:30:00,2019,1,1,20,30,163.0,32.0,0.5,6.4,3.9,1.1,65.73,62.58,0.13
2019-01-01 21:00:00,2019,1,1,21,0,170.0,137.0,0.8,6.2,3.7,1.1,68.3,66.13,0.13
2019-01-01 21:30:00,2019,1,1,21,30,129.0,175.0,0.8,5.7,3.5,1.2,70.7,70.22,0.13
2019-01-01 22:00:00,2019,1,1,22,0,91.0,23.0,0.9,5.2,3.3,1.2,73.99,74.76,0.13
2019-01-01 22:30:00,2019,1,1,22,30,56.0,3.0,0.9,4.5,3.2,1.2,77.69,79.66,0.13
2019-01-01 23:00:00,2019,1,1,23,0,27.0,0.0,1.0,3.9,3.0,1.3,81.2,84.82,0.13
2019-01-01 23:30:00,2019,1,1,23,30,3.0,3.0,1.0,3.9,3.0,1.3,81.2,89.91,0.13
2019-01-02 00:00:00,2019,1,2,0,0,0.0,0.0,0.7,3.2,3.4,1.3,83.46,96.16,0.13
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,0.7,2.9,3.6,1.3,85.34,102.02,0.13
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,0.3,2.5,3.8,1.4,85.22,108.02,0.13
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,0.3,2.2,3.8,1.4,87.05,114.12,0.13
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-0.3,1.8,3.9,1.4,85.78,120.3,0.13
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-0.3,1.6,3.9,1.5,87.01,126.55,0.13
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-0.8,1.4,3.9,1.5,85.16,132.83,0.13
