,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,-19.0,-12.0,4.5,0.4,55.86,93.3,0.87
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,-19.0,-12.3,4.3,0.4,57.23,98.51,0.87
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-19.5,-12.7,4.1,0.4,56.59,103.9,0.87
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-19.5,-13.1,3.9,0.4,58.45,109.43,0.87
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-20.0,-13.5,3.6,0.4,57.89,115.07,0.87
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-20.0,-13.7,3.4,0.4,58.92,120.78,0.87
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-20.5,-14.0,3.2,0.4,57.95,126.53,0.87
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-20.5,-14.1,3.0,0.3,58.43,132.3,0.87
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-20.8,-14.3,2.8,0.3,57.64,138.02,0.87
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-20.8,-14.4,2.7,0.3,58.11,143.65,0.87
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-21.1,-14.6,2.6,0.3,57.54,149.08,0.87
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-21.1,-14.7,2.4,0.3,58.02,154.16,0.87
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-21.4,-14.8,2.3,0.4,57.39,158.59,0.87
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-21.4,-14.7,2.1,0.4,56.92,161.87,0.87
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-21.4,-14.6,1.9,0.4,56.11,163.28,0.87
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-21.4,-14.6,1.7,0.4,56.11,162.36,0.87
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-21.5,-14.6,1.5,0.4,55.7,159.43,0.87
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-21.5,-14.6,1.2,0.4,55.7,155.2,0.87
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-21.5,-14.5,1.0,0.4,55.38,150.23,0.87
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-21.5,-14.5,0.9,0.4,55.32,144.86,0.87
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-21.5,-14.5,0.8,0.4,55.3,139.26,0.87
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-21.5,-14.4,0.9,0.4,54.85,133.55,0.87
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-21.5,-14.3,1.0,0.4,54.4,127.79,0.87
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-21.5,-14.1,1.1,0.4,53.52,122.03,0.87
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-21.2,-13.9,1.2,0.4,54.04,116.3,0.87
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-21.2,-13.6,1.3,0.4,52.73,110.64,0.87
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-20.9,-13.4,1.3,0.4,53.49,105.08,0.87
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-20.9,-13.1,1.3,0.4,52.2,99.66,0.87
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-20.7,-12.9,1.4,0.4,52.13,94.4,0.87
2019-01-01 14:30:00,2019,1,1,14,30,10.0,78.0,-20.7,-12.3,1.6,0.4,49.66,88.99,0.87
2019-01-01 15:00:00,2019,1,1,15,0,32.0,274.0,-20.2,-11.7,1.8,0.4,49.28,84.41,0.87
2019-01-01 15:30:00,2019,1,1,15,30,53.0,404.0,-20.2,-10.7,1.9,0.4,45.5,79.96,0.87
2019-01-01 16:00:00,2019,1,1,16,0,68.0,509.0,-19.4,-9.8,1.9,0.4,45.38,75.85,0.87
2019-01-01 16:30:00,2019,1,1,16,30,73.0,625.0,-19.4,-8.5,1.7,0.4,40.94,72.16,0.87
2019-01-01 17:00:00,2019,1,1,17,0,113.0,492.0,-18.2,-7.2,1.5,0.4,41.22,68.97,0.87
2019-01-01 17:30:00,2019,1,1,17,30,124.0,536.0,-18.2,-6.1,1.3,0.3,37.84,66.36,0.87
2019-01-01 18:00:00,2019,1,1,18,0,99.0,700.0,-17.0,-4.9,1.1,0.3,38.21,64.4,0.87
2019-01-01 18:30:00,2019,1,1,18,30,71.0,901.0,-17.0,-4.1,1.2,0.3,35.93,63.16,0.87
2019-01-01 19:00:00,2019,1,1,19,0,66.0,974.0,-16.2,-3.3,1.4,0.3,36.18,62.67,0.87
2019-01-01 19:30:00,2019,1,1,19,30,66.0,983.0,-16.2,-2.8,1.6,0.3,34.82,62.97,0.87
2019-01-01 20:00:00,2019,1,1,20,0,63.0,977.0,-15.7,-2.4,1.8,0.3,35.26,64.03,0.87
2019-01-01 20:30:00,2019,1,1,20,30,60.0,966.0,-15.7,-2.4,1.9,0.3,35.26,65.83,0.87
2019-01-01 21:00:00,2019,1,1,21,0,57.0,942.0,-15.5,-2.3,2.0,0.3,35.71,68.29,0.87
2019-01-01 21:30:00,2019,1,1,21,30,52.0,905.0,-15.5,-2.8,2.2,0.3,37.1,71.35,0.87
2019-01-01 22:00:00,2019,1,1,22,0,45.0,836.0,-15.5,-3.3,2.4,0.3,38.37,74.92,0.87
2019-01-01 22:30:00,2019,1,1,22,30,39.0,758.0,-15.5,-4.9,2.2,0.3,43.26,78.94,0.87
2019-01-01 23:00:00,2019,1,1,23,0,29.0,624.0,-16.3,-6.4,2.0,0.3,45.22,83.32,0.87
2019-01-01 23:30:00,2019,1,1,23,30,17.0,305.0,-16.3,-6.4,2.0,0.3,45.22,87.91,0.87
2019-01-02 00:00:00,2019,1,2,0,0,0.0,0.0,-17.1,-8.7,1.4,0.3,50.83,93.16,0.87
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,-17.1,-9.3,1.3,0.3,53.27,98.38,0.87
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,-17.4,-9.9,1.1,0.3,54.49,103.77,0.87
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,-17.4,-10.2,1.4,0.3,55.8,109.3,0.87
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-17.4,-10.4,1.6,0.3,56.71,114.93,0.87
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-17.4,-10.3,1.8,0.3,56.27,120.64,0.87
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-17.3,-10.3,1.9,0.3,56.63,126.4,0.87
