,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,7.9,8.3,2.7,3.6,97.6,113.39,0.14
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,7.9,8.4,2.7,3.6,96.84,119.14,0.14
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,8.3,8.6,2.8,3.6,97.68,124.96,0.14
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,8.3,8.9,3.0,3.7,95.72,130.79,0.14
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,8.8,9.2,3.3,3.7,97.55,136.61,0.14
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,8.8,9.6,3.6,3.8,94.97,142.35,0.14
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,9.7,10.1,3.9,3.9,97.64,147.95,0.14
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,9.7,10.6,4.2,3.9,94.35,153.27,0.14
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,10.7,11.0,4.4,3.9,98.21,158.06,0.14
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,10.7,11.5,4.6,3.9,94.93,161.87,0.14
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,11.7,12.0,4.7,3.9,98.13,163.96,0.14
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,11.7,12.4,4.8,3.9,95.49,163.65,0.14
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,12.6,12.8,4.9,3.8,98.55,161.06,0.14
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,12.6,13.1,4.9,3.6,96.64,156.95,0.14
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,13.2,13.5,4.9,3.4,98.2,152.0,0.14
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,13.2,13.6,4.8,3.1,97.57,146.6,0.14
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,13.6,13.8,4.7,2.8,98.94,140.95,0.14
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,13.6,14.0,4.7,2.5,97.67,135.18,0.14
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,14.0,14.3,4.6,2.3,98.03,129.35,0.14
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,14.0,14.4,4.7,2.1,97.4,123.52,0.14
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,14.2,14.6,4.7,1.9,97.36,117.72,0.14
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,14.2,14.7,5.0,1.8,96.83,111.98,0.14
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,13.7,14.7,5.4,1.6,93.47,106.33,0.14
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,13.7,14.2,5.5,1.5,96.63,100.8,0.14
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,12.1,13.7,5.5,1.4,89.88,95.43,0.14
