,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,-10.9,-7.2,8.7,0.8,74.86,100.2,0.16
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,-10.9,-7.9,8.7,0.8,79.02,105.51,0.16
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-12.5,-8.6,8.6,0.8,73.29,110.95,0.16
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-12.5,-9.3,8.4,0.8,77.42,116.49,0.16
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-14.0,-9.9,8.1,0.8,72.19,122.09,0.16
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-14.0,-10.3,7.6,0.8,74.58,127.72,0.16
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-15.2,-10.7,7.2,0.7,69.73,133.34,0.16
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-15.1,-11.1,7.0,0.7,72.06,138.9,0.16
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-16.3,-11.4,6.8,0.7,67.25,144.32,0.16
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-16.3,-11.7,6.8,0.7,68.89,149.49,0.16
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-17.4,-12.1,6.7,0.7,64.81,154.22,0.16
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-17.4,-12.3,6.7,0.7,65.86,158.2,0.16
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-18.3,-12.6,6.7,0.7,62.6,160.9,0.16
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-18.3,-12.7,6.6,0.7,63.11,161.75,0.16
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-18.8,-12.8,6.5,0.7,60.62,160.49,0.16
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-18.8,-12.9,6.4,0.7,61.11,157.49,0.16
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-19.2,-13.0,6.2,0.7,59.6,153.33,0.16
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-19.2,-13.1,6.1,0.7,60.09,148.49,0.16
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-19.6,-13.2,5.9,0.7,58.82,143.26,0.16
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-19.6,-13.4,5.9,0.7,59.84,137.8,0.16
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-19.9,-13.6,5.9,0.7,58.99,132.23,0.16
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-19.9,-13.8,5.9,0.8,59.96,126.6,0.16
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-20.3,-14.1,5.8,0.8,59.59,120.97,0.16
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-20.3,-14.3,5.8,0.8,60.57,115.37,0.16
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-20.6,-14.5,5.7,0.8,59.58,109.85,0.16
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-20.6,-14.7,5.5,0.8,60.57,104.43,0.16
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-21.0,-14.9,5.3,0.8,59.5,99.14,0.16
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-21.0,-15.0,5.0,0.8,59.99,94.03,0.16
2019-01-01 14:00:00,2019,1,1,14,0,9.0,28.0,-21.3,-15.1,4.8,0.8,59.13,88.73,0.16
2019-01-01 14:30:00,2019,1,1,14,30,36.0,109.0,-21.3,-14.8,4.6,0.8,57.68,84.35,0.16
2019-01-01 15:00:00,2019,1,1,15,0,61.0,214.0,-21.1,-14.6,4.5,0.7,57.55,80.09,0.16
2019-01-01 15:30:00,2019,1,1,15,30,84.0,232.0,-21.1,-14.2,4.4,0.7,55.69,76.18,0.16
2019-01-01 16:00:00,2019,1,1,16,0,108.0,111.0,-20.6,-13.7,4.2,0.7,56.19,72.69,0.16
2019-01-01 16:30:00,2019,1,1,16,30,124.0,126.0,-20.6,-13.2,4.1,0.8,53.95,69.71,0.16
2019-01-01 17:00:00,2019,1,1,17,0,112.0,24.0,-19.7,-12.7,4.0,0.8,55.77,67.31,0.16
2019-01-01 17:30:00,2019,1,1,17,30,154.0,95.0,-19.7,-12.2,4.0,0.8,53.51,65.56,0.16
2019-01-01 18:00:00,2019,1,1,18,0,184.0,173.0,-18.9,-11.7,4.0,0.8,54.98,64.51,0.16
2019-01-01 18:30:00,2019,1,1,18,30,156.0,42.0,-19.0,-11.3,3.9,0.8,53.2,64.2,0.16
2019-01-01 19:00:00,2019,1,1,19,0,149.0,45.0,-18.3,-10.9,3.8,0.8,54.37,64.65,0.16
2019-01-01 19:30:00,2019,1,1,19,30,116.0,0.0,-18.3,-10.7,3.5,0.8,53.46,65.82,0.16
2019-01-01 20:00:00,2019,1,1,20,0,94.0,0.0,-17.9,-10.5,3.2,0.8,54.66,67.69,0.16
2019-01-01 20:30:00,2019,1,1,20,30,100.0,18.0,-17.9,-10.5,2.9,0.8,54.66,70.2,0.16
2019-01-01 21:00:00,2019,1,1,21,0,94.0,19.0,-17.5,-10.4,2.6,0.8,56.0,73.28,0.16
2019-01-01 21:30:00,2019,1,1,21,30,58.0,0.0,-17.5,-10.6,2.3,0.8,56.89,76.84,0.16
2019-01-01 22:00:00,2019,1,1,22,0,41.0,8.0,-17.5,-10.7,2.0,0.8,57.53,80.83,0.16
2019-01-01 22:30:00,2019,1,1,22,30,23.0,5.0,-17.5,-10.9,1.9,0.8,58.45,85.13,0.16
2019-01-01 23:00:00,2019,1,1,23,0,4.0,17.0,-17.8,-11.2,1.8,0.8,58.31,89.48,0.16
2019-01-01 23:30:00,2019,1,1,23,30,0.0,0.0,-17.8,-11.2,1.8,0.8,58.31,94.92,0.16
2019-01-02 00:00:00,2019,1,2,0,0,0.0,0.0,-17.6,-11.4,1.6,0.8,60.13,100.06,0.16
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,-17.6,-11.5,1.4,0.8,60.61,105.37,0.16
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,-17.2,-11.6,1.1,0.8,63.45,110.81,0.16
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,-17.2,-11.6,0.8,0.8,63.45,116.35,0.16
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-16.7,-11.6,0.4,0.8,66.11,121.95,0.16
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-16.7,-11.7,0.4,0.8,66.57,127.59,0.16
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-16.7,-11.7,0.4,0.8,66.37,133.21,0.16
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,-16.7,-11.8,0.6,0.8,66.9,138.76,0.16
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,-16.2,-11.9,0.8,0.8,70.49,144.18,0.16
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,-16.2,-12.0,1.0,0.8,71.06,149.36,0.16
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,-16.0,-12.1,1.2,0.7,72.71,154.09,0.16
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,-16.0,-12.2,1.4,0.7,73.22,158.07,0.16
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,-16.1,-12.3,1.7,0.7,73.53,160.79,0.16
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,-16.1,-12.3,1.9,0.7,73.53,161.67,0.16
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,-16.0,-12.4,2.1,0.7,74.77,160.45,0.16
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,-16.0,-12.4,2.3,0.7,74.77,157.47,0.16
2019-01-02 08:00:00,2019,1,2,8,0,0.0,0.0,-15.7,-12.4,2.4,0.7,76.52,153.34,0.16
2019-01-02 08:30:00,2019,1,2,8,30,0.0,0.0,-15.7,-12.3,2.5,0.6,75.9,148.51,0.16
2019-01-02 09:00:00,2019,1,2,9,0,0.0,0.0,-15.3,-12.2,2.7,0.6,77.37,143.29,0.16
2019-01-02 09:30:00,2019,1,2,9,30,0.0,0.0,-15.3,-12.1,2.8,0.6,76.75,137.84,0.16
2019-01-02 10:00:00,2019,1,2,10,0,0.0,0.0,-15.0,-12.0,3.0,0.5,78.2,132.26,0.16
2019-01-02 10:30:00,2019,1,2,10,30,0.0,0.0,-15.0,-11.8,3.2,0.5,76.95,126.64,0.16
2019-01-02 11:00:00,2019,1,2,11,0,0.0,0.0,-14.8,-11.7,3.5,0.4,78.07,121.0,0.16
2019-01-02 11:30:00,2019,1,2,11,30,0.0,0.0,-14.8,-11.5,3.7,0.4,76.83,115.41,0.16
2019-01-02 12:00:00,2019,1,2,12,0,0.0,0.0,-14.5,-11.4,4.0,0.4,78.06,109.88,0.16
2019-01-02 12:30:00,2019,1,2,12,30,0.0,0.0,-14.5,-11.3,4.1,0.4,77.44,104.46,0.16
2019-01-02 13:00:00,2019,1,2,13,0,0.0,0.0,-14.2,-11.1,4.2,0.3,77.73,99.17,0.16
2019-01-02 13:30:00,2019,1,2,13,30,0.0,0.0,-14.2,-10.6,4.4,0.3,74.7,94.05,0.16
2019-01-02 14:00:00,2019,1,2,14,0,13.0,192.0,-13.6,-10.1,4.6,0.3,75.49,88.76,0.16
2019-01-02 14:30:00,2019,1,2,14,30,26.0,546.0,-13.6,-9.0,5.0,0.4,69.24,84.36,0.16
2019-01-02 15:00:00,2019,1,2,15,0,34.0,696.0,-12.4,-7.8,5.3,0.4,69.39,80.09,0.16
2019-01-02 15:30:00,2019,1,2,15,30,41.0,788.0,-12.4,-6.7,5.5,0.4,63.75,76.17,0.16
2019-01-02 16:00:00,2019,1,2,16,0,44.0,843.0,-11.6,-5.5,5.7,0.5,62.42,72.67,0.16
