,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,4.0,74.0,-5.3,5.8,1.2,0.7,44.75,88.23,0.2
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,-5.3,5.5,1.1,0.7,45.69,94.21,0.2
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-5.7,5.3,1.0,0.7,45.03,100.09,0.2
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-5.7,5.0,1.0,0.6,45.97,106.11,0.2
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-5.9,4.7,1.0,0.6,46.03,112.24,0.2
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-5.9,4.4,1.0,0.6,47.06,118.47,0.2
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-6.1,4.1,1.1,0.6,47.46,124.76,0.2
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-6.1,3.7,1.2,0.6,48.81,131.1,0.2
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-6.2,3.3,1.3,0.6,49.78,137.47,0.2
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-6.2,2.8,1.4,0.6,51.57,143.84,0.2
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-6.4,2.3,1.5,0.5,52.82,150.17,0.2
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-6.4,2.0,1.6,0.5,53.96,156.4,0.2
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-6.6,1.7,1.6,0.5,54.23,162.38,0.2
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-6.6,1.8,1.6,0.6,53.85,167.69,0.2
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-6.7,1.8,1.5,0.6,53.25,171.02,0.2
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-6.7,2.1,1.4,0.6,52.12,170.11,0.2
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-6.7,2.3,1.3,0.6,51.53,165.74,0.2
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-6.7,2.3,1.3,0.6,51.53,160.08,0.2
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-6.7,2.3,1.3,0.6,51.42,153.98,0.2
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-6.7,2.1,1.5,0.6,52.16,147.7,0.2
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-6.8,2.0,1.6,0.5,52.27,141.34,0.2
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-6.8,1.6,1.9,0.5,53.85,134.97,0.2
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-6.7,1.2,2.1,0.6,55.6,128.61,0.2
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-6.7,0.6,2.5,0.6,58.05,122.28,0.2
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-6.4,0.0,2.8,0.6,61.93,116.01,0.2
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-6.4,-0.5,3.2,0.6,64.22,109.82,0.2
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-5.9,-1.0,3.6,0.6,69.28,103.73,0.2
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-5.9,-1.0,4.3,0.6,69.28,97.76,0.2
2019-01-01 14:00:00,2019,1,1,14,0,3.0,34.0,-5.4,-1.1,4.9,0.6,72.49,91.94,0.2
2019-01-01 14:30:00,2019,1,1,14,30,25.0,407.0,-5.4,-0.2,5.6,0.6,67.89,86.13,0.2
2019-01-01 15:00:00,2019,1,1,15,0,38.0,638.0,-5.2,0.7,6.4,0.6,64.83,80.82,0.2
2019-01-01 15:30:00,2019,1,1,15,30,48.0,767.0,-5.2,1.8,6.4,0.6,59.91,75.74,0.2
2019-01-01 16:00:00,2019,1,1,16,0,54.0,843.0,-5.2,3.0,6.5,0.7,54.74,70.99,0.2
2019-01-01 16:30:00,2019,1,1,16,30,60.0,897.0,-5.2,4.1,6.2,0.6,50.6,66.66,0.2
2019-01-01 17:00:00,2019,1,1,17,0,63.0,934.0,-5.2,5.3,5.9,0.6,46.87,62.85,0.2
2019-01-01 17:30:00,2019,1,1,17,30,66.0,955.0,-5.2,6.4,5.5,0.7,43.44,59.65,0.2
2019-01-01 18:00:00,2019,1,1,18,0,69.0,968.0,-5.0,7.5,5.0,0.7,40.82,57.18,0.2
2019-01-01 18:30:00,2019,1,1,18,30,70.0,978.0,-5.0,8.5,4.5,0.7,38.1,55.52,0.2
2019-01-01 19:00:00,2019,1,1,19,0,71.0,983.0,-4.6,9.5,4.1,0.7,36.61,54.76,0.2
2019-01-01 19:30:00,2019,1,1,19,30,70.0,983.0,-4.6,10.2,3.7,0.7,34.94,54.94,0.2
2019-01-01 20:00:00,2019,1,1,20,0,69.0,978.0,-4.3,10.9,3.3,0.7,34.05,56.03,0.2
2019-01-01 20:30:00,2019,1,1,20,30,67.0,966.0,-4.3,11.2,3.1,0.7,33.38,58.0,0.2
2019-01-01 21:00:00,2019,1,1,21,0,65.0,948.0,-4.1,11.5,2.8,0.7,33.42,60.76,0.2
2019-01-01 21:30:00,2019,1,1,21,30,62.0,920.0,-4.1,11.3,2.4,0.7,33.87,64.2,0.2
2019-01-01 22:00:00,2019,1,1,22,0,57.0,879.0,-3.7,11.1,2.0,0.7,35.2,68.22,0.2
2019-01-01 22:30:00,2019,1,1,22,30,52.0,819.0,-3.7,9.8,1.6,0.7,38.37,72.71,0.2
2019-01-01 23:00:00,2019,1,1,23,0,44.0,725.0,-2.5,8.6,1.1,0.7,45.49,77.6,0.2
2019-01-01 23:30:00,2019,1,1,23,30,34.0,566.0,-2.5,8.6,1.1,0.7,45.49,82.78,0.2
2019-01-02 00:00:00,2019,1,2,0,0,18.0,240.0,-3.8,4.7,2.3,0.7,54.27,88.1,0.2
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,-3.8,3.7,2.9,0.7,58.2,94.08,0.2
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,-4.3,2.8,3.5,0.7,59.71,99.96,0.2
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,-4.3,2.0,4.1,0.7,63.2,105.98,0.2
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-4.7,1.3,4.6,0.7,64.11,112.11,0.2
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-4.7,0.6,4.9,0.7,67.42,118.33,0.2
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-5.1,-0.2,5.1,0.7,69.38,124.62,0.2
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,-5.1,-0.8,5.2,0.7,72.48,130.97,0.2
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,-5.5,-1.5,5.3,0.7,74.31,137.33,0.2
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,-5.5,-2.0,5.4,0.7,77.09,143.7,0.2
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,-5.9,-2.6,5.5,0.7,78.1,150.04,0.2
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,-5.9,-3.0,5.4,0.7,80.55,156.26,0.2
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,-6.3,-3.4,5.3,0.7,80.55,162.24,0.2
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,-6.3,-3.5,5.2,0.7,81.16,167.55,0.2
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,-6.6,-3.7,5.0,0.7,80.49,170.92,0.2
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,-6.6,-3.8,4.8,0.7,81.1,170.08,0.2
2019-01-02 08:00:00,2019,1,2,8,0,0.0,0.0,-6.8,-3.9,4.7,0.7,80.1,165.77,0.2
2019-01-02 08:30:00,2019,1,2,8,30,0.0,0.0,-6.8,-3.9,4.6,0.7,80.1,160.13,0.2
2019-01-02 09:00:00,2019,1,2,9,0,0.0,0.0,-7.1,-3.9,4.5,0.7,78.55,154.04,0.2
2019-01-02 09:30:00,2019,1,2,9,30,0.0,0.0,-7.1,-3.9,4.5,0.7,78.55,147.76,0.2
2019-01-02 10:00:00,2019,1,2,10,0,0.0,0.0,-7.3,-3.9,4.4,0.7,77.37,141.41,0.2
2019-01-02 10:30:00,2019,1,2,10,30,0.0,0.0,-7.3,-3.8,4.5,0.7,76.79,135.04,0.2
2019-01-02 11:00:00,2019,1,2,11,0,0.0,0.0,-7.4,-3.8,4.6,0.7,76.16,128.67,0.2
2019-01-02 11:30:00,2019,1,2,11,30,0.0,0.0,-7.4,-3.6,4.7,0.7,75.03,122.34,0.2
2019-01-02 12:00:00,2019,1,2,12,0,0.0,0.0,-7.4,-3.4,4.8,0.7,73.81,116.07,0.2
2019-01-02 12:30:00,2019,1,2,12,30,0.0,0.0,-7.4,-3.3,4.8,0.7,73.26,109.88,0.2
2019-01-02 13:00:00,2019,1,2,13,0,0.0,0.0,-7.4,-3.1,4.9,0.7,72.34,103.78,0.2
2019-01-02 13:30:00,2019,1,2,13,30,0.0,0.0,-7.4,-2.9,5.3,0.7,71.27,97.8,0.2
2019-01-02 14:00:00,2019,1,2,14,0,3.0,20.0,-7.4,-2.7,5.6,0.7,70.29,91.98,0.2
2019-01-02 14:30:00,2019,1,2,14,30,27.0,309.0,-7.4,-2.1,6.1,0.8,67.24,86.16,0.2
2019-01-02 15:00:00,2019,1,2,15,0,45.0,476.0,-7.1,-1.6,6.6,0.8,66.32,80.85,0.2
2019-01-02 15:30:00,2019,1,2,15,30,82.0,184.0,-7.1,-0.8,6.5,0.8,62.48,75.76,0.2
2019-01-02 16:00:00,2019,1,2,16,0,131.0,97.0,-6.6,-0.1,6.4,0.8,61.74,71.0,0.2
2019-01-02 16:30:00,2019,1,2,16,30,168.0,181.0,-6.6,0.7,6.1,0.8,58.27,66.66,0.2
2019-01-02 17:00:00,2019,1,2,17,0,161.0,420.0,-6.2,1.5,5.8,0.9,56.79,62.83,0.2
2019-01-02 17:30:00,2019,1,2,17,30,180.0,421.0,-6.2,2.1,5.2,0.9,54.35,59.62,0.2
2019-01-02 18:00:00,2019,1,2,18,0,177.0,477.0,-5.6,2.7,4.6,0.9,54.24,57.12,0.2
2019-01-02 18:30:00,2019,1,2,18,30,175.0,592.0,-5.6,3.0,3.7,0.9,53.1,55.45,0.2
2019-01-02 19:00:00,2019,1,2,19,0,210.0,445.0,-5.0,3.3,2.8,0.9,54.7,54.68,0.2
2019-01-02 19:30:00,2019,1,2,19,30,266.0,122.0,-5.0,3.5,2.0,0.9,53.93,54.84,0.2
2019-01-02 20:00:00,2019,1,2,20,0,243.0,107.0,-4.4,3.7,1.2,0.9,55.3,55.92,0.2
2019-01-02 20:30:00,2019,1,2,20,30,199.0,330.0,-4.4,3.9,1.5,0.9,54.53,57.88,0.2
2019-01-02 21:00:00,2019,1,2,21,0,137.0,642.0,-4.3,4.0,1.8,0.8,54.79,60.63,0.2
2019-01-02 21:30:00,2019,1,2,21,30,184.0,194.0,-4.3,3.9,2.3,0.8,55.18,64.07,0.2
2019-01-02 22:00:00,2019,1,2,22,0,147.0,305.0,-4.4,3.7,2.8,0.8,55.66,68.08,0.2
2019-01-02 22:30:00,2019,1,2,22,30,111.0,233.0,-4.3,3.1,2.8,0.8,58.13,72.57,0.2
2019-01-02 23:00:00,2019,1,2,23,0,83.0,74.0,-4.6,2.4,2.8,0.7,60.03,77.45,0.2
2019-01-02 23:30:00,2019,1,2,23,30,46.0,29.0,-4.6,2.4,2.8,0.7,60.03,82.64,0.2
2019-01-03 00:00:00,2019,1,3,0,0,11.0,6.0,-4.9,-0.4,1.6,0.7,71.49,87.96,0.2
2019-01-03 00:30:00,2019,1,3,0,30,0.0,0.0,-4.9,-0.9,1.6,0.7,74.14,93.94,0.2
2019-01-03 01:00:00,2019,1,3,1,0,0.0,0.0,-5.3,-1.5,1.6,0.7,75.58,99.82,0.2
2019-01-03 01:30:00,2019,1,3,1,30,0.0,0.0,-5.3,-1.9,1.5,0.7,77.84,105.84,0.2
2019-01-03 02:00:00,2019,1,3,2,0,0.0,0.0,-5.5,-2.3,1.5,0.7,78.7,111.97,0.2
2019-01-03 02:30:00,2019,1,3,2,30,0.0,0.0,-5.5,-2.5,1.4,0.7,79.97,118.2,0.2
2019-01-03 03:00:00,2019,1,3,3,0,0.0,0.0,-5.7,-2.8,1.3,0.8,80.62,124.49,0.2
2019-01-03 03:30:00,2019,1,3,3,30,0.0,0.0,-5.7,-3.0,1.3,0.8,81.83,130.83,0.2
2019-01-03 04:00:00,2019,1,3,4,0,0.0,0.0,-5.8,-3.2,1.3,0.8,81.99,137.2,0.2
2019-01-03 04:30:00,2019,1,3,4,30,0.0,0.0,-5.8,-3.3,1.3,0.8,82.61,143.57,0.2
2019-01-03 05:00:00,2019,1,3,5,0,0.0,0.0,-6.0,-3.3,1.4,0.7,81.61,149.9,0.2
2019-01-03 05:30:00,2019,1,3,5,30,0.0,0.0,-6.0,-3.3,1.5,0.7,81.61,156.13,0.2
2019-01-03 06:00:00,2019,1,3,6,0,0.0,0.0,-6.1,-3.3,1.6,0.7,80.79,162.1,0.2
2019-01-03 06:30:00,2019,1,3,6,30,0.0,0.0,-6.1,-3.2,1.8,0.7,80.28,167.41,0.2
2019-01-03 07:00:00,2019,1,3,7,0,0.0,0.0,-6.2,-3.2,1.9,0.7,79.88,170.8,0.2
2019-01-03 07:30:00,2019,1,3,7,30,0.0,0.0,-6.2,-3.1,2.1,0.7,79.28,170.04,0.2
2019-01-03 08:00:00,2019,1,3,8,0,0.0,0.0,-6.1,-3.0,2.2,0.7,78.92,165.79,0.2
2019-01-03 08:30:00,2019,1,3,8,30,0.0,0.0,-6.1,-2.9,2.3,0.7,78.33,160.18,0.2
2019-01-03 09:00:00,2019,1,3,9,0,0.0,0.0,-6.0,-2.9,2.3,0.7,78.9,154.1,0.2
2019-01-03 09:30:00,2019,1,3,9,30,0.0,0.0,-6.0,-2.9,2.3,0.7,78.9,147.82,0.2
2019-01-03 10:00:00,2019,1,3,10,0,0.0,0.0,-6.1,-2.9,2.2,0.7,78.81,141.47,0.2
2019-01-03 10:30:00,2019,1,3,10,30,0.0,0.0,-6.1,-2.9,2.2,0.6,78.81,135.1,0.2
2019-01-03 11:00:00,2019,1,3,11,0,0.0,0.0,-6.3,-3.0,2.2,0.6,78.26,128.73,0.2
2019-01-03 11:30:00,2019,1,3,11,30,0.0,0.0,-6.3,-3.0,2.1,0.6,78.26,122.4,0.2
2019-01-03 12:00:00,2019,1,3,12,0,0.0,0.0,-6.5,-3.1,2.1,0.6,77.59,116.13,0.2
2019-01-03 12:30:00,2019,1,3,12,30,0.0,0.0,-6.5,-3.1,2.1,0.5,77.59,109.93,0.2
2019-01-03 13:00:00,2019,1,3,13,0,0.0,0.0,-6.7,-3.2,2.0,0.5,76.62,103.83,0.2
2019-01-03 13:30:00,2019,1,3,13,30,0.0,0.0,-6.7,-2.7,2.2,0.4,73.91,97.85,0.2
2019-01-03 14:00:00,2019,1,3,14,0,3.0,42.0,-7.0,-2.2,2.4,0.4,69.55,92.02,0.2
2019-01-03 14:30:00,2019,1,3,14,30,22.0,469.0,-7.0,-0.8,3.0,0.4,62.76,86.19,0.2
2019-01-03 15:00:00,2019,1,3,15,0,32.0,698.0,-7.8,0.6,3.7,0.4,53.45,80.87,0.2
2019-01-03 15:30:00,2019,1,3,15,30,40.0,822.0,-7.8,1.8,4.0,0.4,49.04,75.77,0.2
2019-01-03 16:00:00,2019,1,3,16,0,44.0,906.0,-9.0,2.9,4.2,0.3,41.11,71.0,0.2
2019-01-03 16:30:00,2019,1,3,16,30,47.0,959.0,-9.0,3.9,4.3,0.3,38.32,66.65,0.2
2019-01-03 17:00:00,2019,1,3,17,0,49.0,993.0,-9.6,4.9,4.3,0.3,34.07,62.8,0.2
2019-01-03 17:30:00,2019,1,3,17,30,52.0,1015.0,-9.7,5.6,4.4,0.3,32.42,59.57,0.2
2019-01-03 18:00:00,2019,1,3,18,0,55.0,1029.0,-10.2,6.3,4.4,0.3,29.61,57.07,0.2
2019-01-03 18:30:00,2019,1,3,18,30,56.0,1039.0,-10.2,6.9,4.4,0.3,28.39,55.38,0.2
2019-01-03 19:00:00,2019,1,3,19,0,55.0,1044.0,-10.8,7.5,4.4,0.3,26.0,54.59,0.2
2019-01-03 19:30:00,2019,1,3,19,30,54.0,1044.0,-10.8,7.8,4.3,0.3,25.47,54.73,0.2
2019-01-03 20:00:00,2019,1,3,20,0,53.0,1039.0,-11.3,8.2,4.2,0.3,23.83,55.81,0.2
2019-01-03 20:30:00,2019,1,3,20,30,53.0,1027.0,-11.3,8.4,4.1,0.3,23.51,57.76,0.2
2019-01-03 21:00:00,2019,1,3,21,0,53.0,1008.0,-11.4,8.6,3.9,0.3,22.97,60.5,0.2
2019-01-03 21:30:00,2019,1,3,21,30,51.0,983.0,-11.4,8.3,3.6,0.3,23.44,63.93,0.2
2019-01-03 22:00:00,2019,1,3,22,0,48.0,946.0,-11.0,8.1,3.3,0.3,24.63,67.94,0.2
2019-01-03 22:30:00,2019,1,3,22,30,43.0,891.0,-11.0,6.8,2.4,0.3,26.94,72.43,0.2
2019-01-03 23:00:00,2019,1,3,23,0,38.0,806.0,-8.8,5.4,1.5,0.3,35.2,77.31,0.2
2019-01-03 23:30:00,2019,1,3,23,30,30.0,663.0,-8.8,5.4,1.5,0.3,35.2,82.5,0.2
2019-01-04 00:00:00,2019,1,4,0,0,19.0,320.0,-10.4,3.0,1.4,0.4,36.74,87.83,0.2
2019-01-04 00:30:00,2019,1,4,0,30,0.0,0.0,-10.4,2.9,1.3,0.4,37.0,93.8,0.2
2019-01-04 01:00:00,2019,1,4,1,0,0.0,0.0,-10.6,2.8,1.3,0.4,36.56,99.68,0.2
2019-01-04 01:30:00,2019,1,4,1,30,0.0,0.0,-10.6,2.8,1.2,0.4,36.6,105.7,0.2
2019-01-04 02:00:00,2019,1,4,2,0,0.0,0.0,-10.6,2.8,1.1,0.4,36.49,111.83,0.2
2019-01-04 02:30:00,2019,1,4,2,30,0.0,0.0,-10.6,2.4,1.2,0.4,37.54,118.06,0.2
2019-01-04 03:00:00,2019,1,4,3,0,0.0,0.0,-10.5,2.1,1.3,0.4,38.75,124.35,0.2
2019-01-04 03:30:00,2019,1,4,3,30,0.0,0.0,-10.5,1.6,1.4,0.4,40.15,130.69,0.2
2019-01-04 04:00:00,2019,1,4,4,0,0.0,0.0,-10.3,1.0,1.5,0.4,42.8,137.06,0.2
2019-01-04 04:30:00,2019,1,4,4,30,0.0,0.0,-10.3,0.7,1.5,0.4,43.74,143.43,0.2
2019-01-04 05:00:00,2019,1,4,5,0,0.0,0.0,-9.9,0.3,1.5,0.4,46.32,149.76,0.2
2019-01-04 05:30:00,2019,1,4,5,30,0.0,0.0,-9.9,0.0,1.5,0.5,47.34,155.99,0.2
2019-01-04 06:00:00,2019,1,4,6,0,0.0,0.0,-9.4,-0.3,1.5,0.5,50.11,161.96,0.2
2019-01-04 06:30:00,2019,1,4,6,30,0.0,0.0,-9.4,-0.6,1.5,0.5,51.21,167.27,0.2
2019-01-04 07:00:00,2019,1,4,7,0,0.0,0.0,-9.0,-0.8,1.5,0.5,53.97,170.68,0.2
2019-01-04 07:30:00,2019,1,4,7,30,0.0,0.0,-9.0,-1.1,1.5,0.5,55.17,170.0,0.2
2019-01-04 08:00:00,2019,1,4,8,0,0.0,0.0,-8.4,-1.3,1.5,0.5,58.38,165.8,0.2
2019-01-04 08:30:00,2019,1,4,8,30,0.0,0.0,-8.4,-1.5,1.5,0.5,59.24,160.22,0.2
2019-01-04 09:00:00,2019,1,4,9,0,0.0,0.0,-7.9,-1.7,1.6,0.5,62.45,154.15,0.2
2019-01-04 09:30:00,2019,1,4,9,30,0.0,0.0,-7.9,-1.9,1.6,0.5,63.37,147.88,0.2
2019-01-04 10:00:00,2019,1,4,10,0,0.0,0.0,-7.6,-2.1,1.6,0.5,65.98,141.53,0.2
2019-01-04 10:30:00,2019,1,4,10,30,0.0,0.0,-7.6,-2.3,1.7,0.5,66.96,135.16,0.2
2019-01-04 11:00:00,2019,1,4,11,0,0.0,0.0,-7.4,-2.5,1.7,0.5,68.95,128.79,0.2
2019-01-04 11:30:00,2019,1,4,11,30,0.0,0.0,-7.4,-2.6,1.7,0.5,69.46,122.46,0.2
2019-01-04 12:00:00,2019,1,4,12,0,0.0,0.0,-7.4,-2.7,1.8,0.5,70.24,116.18,0.2
2019-01-04 12:30:00,2019,1,4,12,30,0.0,0.0,-7.4,-2.7,1.7,0.5,70.24,109.98,0.2
2019-01-04 13:00:00,2019,1,4,13,0,0.0,0.0,-7.4,-2.8,1.6,0.5,70.44,103.87,0.2
2019-01-04 13:30:00,2019,1,4,13,30,0.0,0.0,-7.4,-2.3,1.6,0.5,67.88,97.88,0.2
2019-01-04 14:00:00,2019,1,4,14,0,4.0,42.0,-7.4,-1.8,1.5,0.5,65.71,92.05,0.2
2019-01-04 14:30:00,2019,1,4,14,30,22.0,466.0,-7.4,-0.4,1.9,0.5,59.38,86.21,0.2
2019-01-04 15:00:00,2019,1,4,15,0,33.0,690.0,-7.1,0.9,2.2,0.5,55.11,80.88,0.2
2019-01-04 15:30:00,2019,1,4,15,30,39.0,813.0,-7.1,2.3,2.3,0.5,49.92,75.77,0.2
2019-01-04 16:00:00,2019,1,4,16,0,45.0,888.0,-6.9,3.7,2.4,0.5,45.95,70.99,0.2
2019-01-04 16:30:00,2019,1,4,16,30,49.0,939.0,-6.9,5.0,2.6,0.5,41.96,66.63,0.2
2019-01-04 17:00:00,2019,1,4,17,0,51.0,974.0,-6.9,6.4,2.8,0.5,37.88,62.77,0.2
2019-01-04 17:30:00,2019,1,4,17,30,59.0,994.0,-7.0,7.2,2.8,0.4,35.82,59.53,0.2
2019-01-04 18:00:00,2019,1,4,18,0,67.0,999.0,-6.9,8.1,2.8,0.4,33.82,57.0,0.2
2019-01-04 18:30:00,2019,1,4,18,30,68.0,1010.0,-6.9,8.7,2.7,0.4,32.44,55.3,0.2
2019-01-04 19:00:00,2019,1,4,19,0,68.0,1016.0,-6.9,9.4,2.6,0.4,30.95,54.49,0.2
2019-01-04 19:30:00,2019,1,4,19,30,68.0,1016.0,-6.9,9.8,2.5,0.4,30.13,54.62,0.2
2019-01-04 20:00:00,2019,1,4,20,0,65.0,1012.0,-6.8,10.3,2.4,0.4,29.34,55.68,0.2
2019-01-04 20:30:00,2019,1,4,20,30,66.0,997.0,-6.8,10.5,2.4,0.4,28.95,57.62,0.2
