,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,3.0,3.6,2.4,3.2,95.86,112.78,0.14
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,3.0,4.0,2.1,3.3,93.11,118.21,0.14
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,4.2,4.3,1.8,3.4,99.23,123.69,0.14
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,4.2,5.0,1.9,3.3,94.5,129.18,0.14
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,5.7,5.7,2.0,3.2,99.86,134.64,0.14
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,5.7,6.3,2.3,2.9,95.71,139.99,0.14
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,6.9,6.9,2.6,2.6,100.0,145.16,0.14
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,7.1,7.7,3.1,2.4,95.8,150.01,0.14
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,8.5,8.5,3.6,2.2,100.0,154.31,0.14
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,8.7,9.6,4.2,2.1,94.17,157.72,0.14
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,10.5,10.6,4.9,2.1,99.54,159.77,0.14
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,10.5,10.9,5.5,1.9,97.58,160.01,0.14
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,10.7,11.2,6.1,1.8,96.78,158.38,0.14
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,10.2,10.2,6.7,1.7,100.0,155.26,0.14
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,8.2,9.3,7.2,1.7,92.76,151.14,0.14
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,8.2,8.2,7.1,1.7,100.0,146.41,0.14
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,5.8,7.1,7.0,1.7,91.47,141.31,0.14
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,5.8,6.0,6.5,1.6,98.74,135.99,0.14
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,3.6,4.8,6.0,1.5,91.89,130.55,0.14
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,3.6,3.8,5.3,1.4,98.75,125.06,0.14
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,1.3,2.7,4.7,1.2,90.53,119.57,0.14
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,1.3,2.1,4.4,1.2,94.66,114.13,0.14
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,0.0,1.6,4.1,1.2,89.38,108.75,0.14
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,0.1,1.3,4.0,1.2,91.41,103.49,0.14
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-0.6,1.0,3.8,1.2,89.08,98.37,0.14
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-0.6,0.9,3.7,1.1,89.81,93.44,0.14
2019-01-01 13:00:00,2019,1,1,13,0,3.0,0.0,-1.0,0.9,3.6,1.1,87.02,88.39,0.14
2019-01-01 13:30:00,2019,1,1,13,30,10.0,0.0,-1.0,1.0,3.6,1.1,86.49,84.16,0.14
2019-01-01 14:00:00,2019,1,1,14,0,18.0,0.0,-1.7,1.1,3.6,1.0,81.75,80.11,0.14
2019-01-01 14:30:00,2019,1,1,14,30,27.0,0.0,-1.7,1.2,3.6,1.0,81.16,76.42,0.14
2019-01-01 15:00:00,2019,1,1,15,0,33.0,0.0,-2.4,1.3,3.5,1.0,76.22,73.17,0.14
2019-01-01 15:30:00,2019,1,1,15,30,43.0,0.0,-2.4,1.4,3.5,0.9,75.67,70.44,0.14
2019-01-01 16:00:00,2019,1,1,16,0,43.0,0.0,-2.8,1.6,3.5,0.9,72.71,68.29,0.14
2019-01-01 16:30:00,2019,1,1,16,30,62.0,0.0,-2.8,1.6,3.5,0.9,72.71,66.79,0.14
2019-01-01 17:00:00,2019,1,1,17,0,147.0,34.0,-3.0,1.7,3.6,0.9,70.89,65.97,0.14
2019-01-01 17:30:00,2019,1,1,17,30,170.0,101.0,-3.0,1.7,3.5,0.9,70.96,65.87,0.14
2019-01-01 18:00:00,2019,1,1,18,0,153.0,289.0,-3.3,1.6,3.4,0.9,70.08,66.49,0.14
2019-01-01 18:30:00,2019,1,1,18,30,152.0,235.0,-3.3,1.5,3.3,0.9,70.58,67.82,0.14
