,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,14.8,14.8,6.5,3.2,99.96,109.12,0.13
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,14.8,15.0,7.1,2.9,98.69,114.73,0.13
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,14.8,15.2,7.6,2.5,97.73,120.42,0.13
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,14.8,14.8,7.9,2.2,100.0,126.15,0.13
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,13.6,14.4,8.2,1.8,95.03,131.89,0.13
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,13.6,13.6,8.5,1.7,100.0,137.59,0.13
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,11.5,12.9,8.9,1.5,91.04,143.2,0.13
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,11.5,12.1,8.9,1.4,96.03,148.61,0.13
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,9.6,11.3,8.9,1.3,89.23,153.68,0.13
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,9.6,10.4,8.9,1.2,94.81,158.12,0.13
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,7.4,9.6,8.8,1.1,86.22,161.45,0.13
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,7.4,8.6,8.7,1.1,92.31,162.98,0.13
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,5.2,7.6,8.6,1.1,84.77,162.24,0.13
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,5.2,6.7,8.2,1.1,90.33,159.47,0.13
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,3.7,5.8,7.9,1.1,86.28,155.35,0.13
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,3.7,5.3,7.5,1.1,89.41,150.46,0.13
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,2.9,4.7,7.0,1.1,88.35,145.15,0.13
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,3.0,4.4,6.6,1.1,90.32,139.6,0.13
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,2.5,4.1,6.3,1.1,89.17,133.92,0.13
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,2.5,3.8,5.9,1.0,91.16,128.18,0.13
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,2.0,3.5,5.5,1.0,89.89,122.44,0.13
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,2.0,3.2,5.0,1.0,91.91,116.74,0.13
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,1.6,3.0,4.4,1.0,90.61,111.09,0.13
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,1.6,2.8,3.8,1.0,91.99,105.55,0.13
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,1.4,2.5,3.1,1.0,92.63,100.13,0.13
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,1.4,2.7,3.0,1.0,91.42,94.88,0.13
2019-01-01 13:00:00,2019,1,1,13,0,2.0,5.0,1.5,2.8,2.9,1.0,91.05,89.37,0.13
2019-01-01 13:30:00,2019,1,1,13,30,9.0,0.0,1.5,3.3,3.0,1.0,87.98,84.86,0.13
2019-01-01 14:00:00,2019,1,1,14,0,19.0,0.0,1.5,3.8,3.2,1.0,85.17,80.43,0.13
2019-01-01 14:30:00,2019,1,1,14,30,32.0,0.0,1.6,4.4,3.1,1.0,81.75,76.32,0.13
2019-01-01 15:00:00,2019,1,1,15,0,50.0,0.0,1.3,5.0,2.9,1.0,77.14,72.62,0.13
