,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,17.3,18.0,2.3,3.1,95.93,106.38,0.11
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,17.3,17.7,2.1,3.2,97.75,112.39,0.11
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,16.8,17.4,2.0,3.3,96.26,118.49,0.11
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,16.8,17.2,1.9,3.4,97.48,124.66,0.11
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,16.5,17.0,1.9,3.6,97.13,130.87,0.11
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,16.5,17.0,1.9,3.7,97.13,137.1,0.11
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,16.7,16.9,1.9,3.9,98.94,143.31,0.11
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,16.7,17.0,1.7,4.0,98.31,149.46,0.11
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,17.0,17.0,1.5,4.1,99.97,155.46,0.11
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,16.8,16.8,1.1,4.1,100.0,161.13,0.11
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,16.7,16.7,0.8,4.0,100.0,166.01,0.11
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,16.5,16.5,0.7,3.9,100.0,168.98,0.11
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,16.2,16.2,0.7,3.8,100.0,168.45,0.11
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,15.7,15.7,0.8,3.7,100.0,164.77,0.11
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,15.2,15.2,0.9,3.6,99.97,159.59,0.11
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,14.8,14.8,0.9,3.5,100.0,153.8,0.11
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,14.2,14.4,1.0,3.4,98.92,147.74,0.11
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,14.0,14.0,0.9,3.4,100.0,141.57,0.11
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,13.2,13.6,0.9,3.3,97.55,135.34,0.11
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,13.2,13.4,0.8,3.3,98.92,129.11,0.11
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,12.6,13.1,0.7,3.2,96.93,122.91,0.11
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,12.6,13.0,0.6,3.2,97.56,116.76,0.11
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,12.1,12.9,0.5,3.1,94.79,110.68,0.11
