,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,9.0,11.0,0.8,1.5,87.68,96.23,0.15
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,9.0,10.7,0.8,1.5,89.53,102.29,0.15
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,9.1,10.5,0.8,1.5,90.87,108.47,0.15
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,9.1,10.2,0.8,1.4,92.7,114.76,0.15
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,9.1,9.9,0.9,1.4,95.06,121.12,0.15
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,9.1,9.5,0.9,1.3,97.64,127.55,0.15
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,9.1,9.2,1.0,1.2,99.62,134.03,0.15
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,8.9,8.9,1.0,1.1,100.0,140.53,0.15
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,8.5,8.5,1.0,1.0,100.0,147.03,0.15
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,8.3,8.3,1.0,0.9,100.0,153.51,0.15
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,8.0,8.0,1.0,0.9,100.0,159.89,0.15
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,7.6,7.6,1.0,0.8,100.0,166.02,0.15
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,7.3,7.3,1.0,0.8,100.0,171.27,0.15
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,6.9,6.9,1.1,0.8,100.0,173.16,0.15
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,6.5,6.5,1.1,0.8,100.0,169.64,0.15
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,6.4,6.4,1.2,0.8,100.0,163.94,0.15
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,6.3,6.3,1.2,0.8,100.0,157.7,0.15
