,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,-10.8,-8.8,6.5,0.9,85.28,103.32,0.87
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,-10.8,-9.4,6.2,0.9,89.47,108.39,0.87
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-12.1,-10.0,6.0,0.9,84.37,113.58,0.87
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-12.1,-10.6,5.9,0.8,88.56,118.84,0.87
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-13.6,-11.1,5.8,0.8,81.89,124.13,0.87
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-13.6,-11.7,5.7,0.7,85.91,129.43,0.87
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-14.9,-12.2,5.5,0.6,80.26,134.66,0.87
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-14.9,-12.9,5.4,0.6,84.93,139.77,0.87
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-16.3,-13.6,5.3,0.5,79.9,144.66,0.87
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-16.3,-14.4,5.2,0.4,85.39,149.17,0.87
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-18.1,-15.3,5.0,0.4,79.22,153.1,0.87
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-18.1,-16.2,4.8,0.3,85.45,156.11,0.87
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-20.1,-17.2,4.6,0.3,77.96,157.81,0.87
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-20.1,-18.1,4.4,0.3,84.12,157.88,0.87
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-22.1,-19.0,4.2,0.2,76.42,156.32,0.87
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-22.1,-20.0,3.7,0.2,83.36,153.42,0.87
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-24.1,-21.0,3.2,0.2,75.95,149.56,0.87
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-24.1,-22.2,2.9,0.2,84.37,145.09,0.87
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-26.4,-23.3,2.6,0.2,75.68,140.23,0.87
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-26.4,-24.0,2.5,0.2,80.56,135.13,0.87
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-28.0,-24.8,2.5,0.2,74.91,129.91,0.87
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-28.0,-25.3,2.4,0.2,78.38,124.61,0.87
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-29.0,-25.8,2.3,0.2,74.45,119.31,0.87
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-29.0,-26.3,2.2,0.2,77.93,114.04,0.87
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-30.1,-26.8,2.1,0.2,73.74,108.85,0.87
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-30.1,-27.2,2.0,0.2,76.59,103.76,0.87
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-31.0,-27.6,1.9,0.2,72.87,98.82,0.87
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-31.0,-27.6,1.8,0.2,72.94,94.06,0.87
2019-01-01 14:00:00,2019,1,1,14,0,7.0,71.0,-31.2,-27.6,1.8,0.2,71.37,89.06,0.87
2019-01-01 14:30:00,2019,1,1,14,30,29.0,290.0,-31.2,-26.7,2.1,0.2,65.68,85.1,0.87
