,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,18.6,20.1,1.3,2.2,91.12,106.25,0.14
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,18.6,19.9,1.3,2.2,92.34,112.6,0.14
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,18.5,19.7,1.3,2.2,92.74,119.03,0.14
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,18.5,19.5,1.3,2.2,93.9,125.52,0.14
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,18.4,19.3,1.2,2.1,94.45,132.07,0.14
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,18.4,19.1,1.2,2.1,95.63,138.66,0.14
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,18.3,18.9,1.3,2.1,96.47,145.27,0.14
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,18.3,18.7,1.3,2.1,97.68,151.88,0.14
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,18.3,18.5,1.3,2.1,98.93,158.47,0.14
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,18.3,18.3,1.3,2.1,100.0,164.94,0.14
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,18.0,18.0,1.3,2.1,100.0,171.01,0.14
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,17.9,17.9,1.4,2.1,100.0,174.91,0.14
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,17.7,17.7,1.4,2.1,100.0,172.1,0.14
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,17.5,17.5,1.4,2.1,100.0,166.21,0.14
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,17.4,17.4,1.4,2.1,100.0,159.78,0.14
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,17.3,17.3,1.3,2.1,100.0,153.21,0.14
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,17.2,17.2,1.3,2.1,100.0,146.6,0.14
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,17.2,17.2,1.3,2.1,100.0,139.99,0.14
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,17.1,17.1,1.3,2.1,100.0,133.39,0.14
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,17.1,17.1,1.3,2.1,100.0,126.83,0.14
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,17.1,17.1,1.3,2.1,100.0,120.32,0.14
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,17.0,17.0,1.3,2.1,100.0,113.88,0.14
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,16.9,16.9,1.4,2.1,100.0,107.51,0.14
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,17.0,17.0,1.4,2.1,100.0,101.24,0.14
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,17.0,17.0,1.5,2.1,100.0,95.1,0.14
2019-01-01 12:30:00,2019,1,1,12,30,14.0,128.0,17.9,18.1,1.8,2.1,98.46,88.74,0.14
2019-01-01 13:00:00,2019,1,1,13,0,36.0,435.0,18.8,19.3,2.1,2.1,96.83,83.18,0.14
2019-01-01 13:30:00,2019,1,1,13,30,50.0,613.0,18.8,20.1,2.1,2.1,92.15,77.65,0.14
2019-01-01 14:00:00,2019,1,1,14,0,60.0,718.0,19.7,20.8,2.0,2.1,93.28,72.39,0.14
2019-01-01 14:30:00,2019,1,1,14,30,69.0,781.0,19.7,21.8,1.9,2.1,87.75,67.47,0.14
2019-01-01 15:00:00,2019,1,1,15,0,77.0,818.0,20.2,22.7,1.8,2.2,85.81,62.98,0.14
2019-01-01 15:30:00,2019,1,1,15,30,82.0,851.0,20.2,23.4,1.8,2.2,82.27,59.04,0.14
2019-01-01 16:00:00,2019,1,1,16,0,86.0,873.0,20.1,24.0,1.7,2.2,79.03,55.76,0.14
2019-01-01 16:30:00,2019,1,1,16,30,103.0,836.0,20.1,24.3,1.7,2.3,77.55,53.25,0.14
2019-01-01 17:00:00,2019,1,1,17,0,99.0,867.0,20.0,24.6,1.7,2.3,75.64,51.65,0.14
2019-01-01 17:30:00,2019,1,1,17,30,156.0,694.0,20.0,24.8,1.6,2.3,74.67,51.03,0.14
2019-01-01 18:00:00,2019,1,1,18,0,237.0,420.0,19.9,25.0,1.6,2.4,73.52,51.43,0.14
2019-01-01 18:30:00,2019,1,1,18,30,99.0,856.0,19.9,25.0,1.5,2.4,73.52,52.82,0.14
