,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,-1.1,-0.1,4.1,0.8,92.95,100.37,0.16
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,-1.1,-0.6,4.1,0.7,96.49,105.86,0.16
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-2.2,-1.1,4.2,0.7,92.23,111.48,0.16
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-2.2,-1.6,4.4,0.7,95.77,117.2,0.16
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-3.4,-2.0,4.6,0.7,90.31,122.98,0.16
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-3.4,-2.5,5.0,0.7,93.8,128.79,0.16
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-4.7,-2.9,5.4,0.7,87.7,134.6,0.16
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-4.6,-3.4,5.4,0.7,91.11,140.36,0.16
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-6.1,-3.9,5.5,0.7,84.67,145.99,0.16
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-6.1,-4.3,5.4,0.7,87.34,151.39,0.16
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-7.3,-4.7,5.3,0.7,82.08,156.37,0.16
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-7.3,-5.0,5.1,0.7,84.04,160.54,0.16
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-8.2,-5.3,5.0,0.7,80.35,163.28,0.16
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-8.1,-5.5,4.8,0.7,81.66,163.82,0.16
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-8.8,-5.7,4.7,0.8,79.04,161.96,0.16
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-8.8,-5.9,4.6,0.8,80.25,158.33,0.16
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-9.3,-6.0,4.6,0.8,77.45,153.65,0.16
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-9.3,-6.2,4.5,0.8,78.64,148.4,0.16
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-9.9,-6.4,4.5,0.8,76.27,142.85,0.16
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-9.9,-6.6,4.5,0.9,77.45,137.13,0.16
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-10.4,-6.8,4.5,0.9,75.32,131.34,0.16
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-10.4,-6.9,4.5,0.9,75.9,125.52,0.16
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-10.9,-7.1,4.5,0.9,74.16,119.72,0.16
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-10.9,-7.3,4.4,0.9,75.39,113.97,0.16
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-11.4,-7.5,4.3,0.9,73.59,108.3,0.16
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-11.4,-7.7,4.2,0.9,74.73,102.75,0.16
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-11.9,-8.0,4.1,0.9,73.78,97.34,0.16
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-11.9,-7.7,4.1,0.9,72.08,92.11,0.16
2019-01-01 14:00:00,2019,1,1,14,0,6.0,0.0,-11.6,-7.5,4.1,0.9,72.54,86.86,0.16
2019-01-01 14:30:00,2019,1,1,14,30,17.0,0.0,-11.6,-7.1,4.1,0.9,70.34,82.25,0.16
2019-01-01 15:00:00,2019,1,1,15,0,30.0,0.0,-11.1,-6.8,4.0,0.8,71.47,77.88,0.16
2019-01-01 15:30:00,2019,1,1,15,30,45.0,0.0,-11.1,-6.5,3.8,0.8,69.85,73.88,0.16
2019-01-01 16:00:00,2019,1,1,16,0,69.0,0.0,-10.5,-6.2,3.6,0.8,71.3,70.34,0.16
2019-01-01 16:30:00,2019,1,1,16,30,81.0,0.0,-10.5,-5.9,3.4,0.8,69.69,67.33,0.16
2019-01-01 17:00:00,2019,1,1,17,0,89.0,0.0,-10.0,-5.6,3.2,0.8,71.22,64.93,0.16
2019-01-01 17:30:00,2019,1,1,17,30,96.0,0.0,-10.0,-5.4,3.1,0.8,70.07,63.22,0.16
2019-01-01 18:00:00,2019,1,1,18,0,80.0,0.0,-9.5,-5.1,3.0,0.8,71.16,62.26,0.16
2019-01-01 18:30:00,2019,1,1,18,30,65.0,0.0,-9.5,-5.0,2.9,0.8,70.56,62.07,0.16
