,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,-13.2,-9.0,8.8,0.8,71.62,99.49,0.17
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,-13.2,-9.6,8.8,0.8,75.07,104.81,0.17
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-14.5,-10.1,8.7,0.8,70.33,110.28,0.17
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-14.5,-10.6,8.2,0.8,73.25,115.84,0.17
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-15.7,-11.1,7.7,0.7,69.03,121.47,0.17
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-15.7,-11.5,7.3,0.7,71.34,127.14,0.17
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-16.9,-11.8,6.9,0.7,66.02,132.8,0.17
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-16.9,-12.1,6.8,0.7,67.63,138.41,0.17
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-18.0,-12.4,6.8,0.7,62.83,143.9,0.17
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-18.0,-12.6,6.8,0.7,63.85,149.17,0.17
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-19.0,-12.8,6.9,0.7,59.92,154.02,0.17
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-19.0,-13.0,6.9,0.7,60.89,158.17,0.17
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-19.5,-13.1,6.9,0.7,58.58,161.1,0.17
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-19.5,-13.1,6.7,0.7,58.58,162.2,0.17
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-19.7,-13.1,6.6,0.7,57.44,161.12,0.17
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-19.7,-13.1,6.4,0.7,57.5,158.2,0.17
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-19.8,-13.0,6.2,0.7,56.49,154.07,0.17
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-19.8,-13.1,6.2,0.7,56.95,149.21,0.17
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-20.0,-13.1,6.1,0.8,56.31,143.95,0.17
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-20.0,-13.3,6.1,0.8,57.23,138.46,0.17
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-20.1,-13.4,6.1,0.8,57.04,132.85,0.17
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-20.1,-13.6,6.1,0.8,58.04,127.19,0.17
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-20.2,-13.7,6.1,0.8,58.03,121.52,0.17
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-20.2,-13.9,6.0,0.8,58.98,115.88,0.17
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-20.4,-14.0,6.0,0.8,58.4,110.32,0.17
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-20.4,-14.3,5.7,0.8,59.86,104.85,0.17
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-20.7,-14.5,5.4,0.8,59.1,99.52,0.17
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-20.7,-14.5,5.1,0.8,59.1,94.36,0.17
2019-01-01 14:00:00,2019,1,1,14,0,7.0,20.0,-21.0,-14.6,4.8,0.8,58.3,88.97,0.17
2019-01-01 14:30:00,2019,1,1,14,30,26.0,0.0,-21.0,-14.3,4.7,0.8,56.88,84.55,0.17
2019-01-01 15:00:00,2019,1,1,15,0,58.0,12.0,-20.9,-14.0,4.7,0.8,56.1,80.23,0.17
2019-01-01 15:30:00,2019,1,1,15,30,84.0,26.0,-20.9,-13.5,4.5,0.8,53.86,76.24,0.17
2019-01-01 16:00:00,2019,1,1,16,0,88.0,178.0,-20.4,-13.0,4.3,0.8,53.94,72.68,0.17
2019-01-01 16:30:00,2019,1,1,16,30,114.0,210.0,-20.4,-12.5,4.2,0.8,51.81,69.62,0.17
2019-01-01 17:00:00,2019,1,1,17,0,141.0,174.0,-19.6,-11.9,4.1,0.8,52.64,67.13,0.17
2019-01-01 17:30:00,2019,1,1,17,30,160.0,318.0,-19.6,-11.4,4.0,0.8,50.57,65.29,0.17
2019-01-01 18:00:00,2019,1,1,18,0,167.0,55.0,-18.8,-11.0,4.0,0.8,52.48,64.15,0.17
