,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,38.0,0.0,-4.7,11.2,3.3,0.4,32.45,81.19,0.14
2019-01-01 00:30:00,2019,1,1,0,30,16.0,25.0,-4.7,9.9,3.1,0.4,35.42,86.29,0.14
2019-01-01 01:00:00,2019,1,1,1,0,3.0,25.0,-4.3,8.6,2.8,0.4,39.98,91.93,0.14
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-4.3,8.2,3.0,0.4,41.07,97.57,0.14
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-4.2,7.7,3.1,0.3,42.59,103.37,0.14
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-4.2,7.3,3.2,0.3,43.76,109.31,0.14
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-4.2,6.9,3.4,0.3,45.06,115.35,0.14
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-4.2,6.7,3.5,0.3,45.68,121.47,0.14
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-4.2,6.4,3.7,0.3,46.66,127.64,0.14
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-4.2,6.2,3.7,0.3,47.35,133.85,0.14
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-4.3,6.0,3.7,0.3,47.75,140.06,0.14
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-4.3,5.9,3.7,0.3,48.08,146.22,0.14
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-4.4,5.7,3.7,0.3,48.11,152.29,0.14
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-4.4,5.6,3.8,0.3,48.44,158.12,0.14
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-4.6,5.4,3.8,0.3,48.42,163.45,0.14
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-4.6,5.2,3.9,0.3,49.1,167.55,0.14
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-4.7,5.1,4.0,0.3,49.01,168.95,0.14
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-4.7,4.9,4.0,0.3,49.75,166.75,0.14
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-4.8,4.7,3.9,0.3,50.25,162.25,0.14
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-4.8,4.6,3.9,0.3,50.6,156.76,0.14
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-5.0,4.4,4.0,0.3,50.45,150.86,0.14
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-5.0,4.5,4.2,0.3,50.1,144.76,0.14
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-5.7,4.5,4.4,0.2,47.49,138.57,0.14
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-5.7,4.4,4.4,0.3,47.83,132.36,0.14
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-5.8,4.3,4.4,0.3,47.74,126.16,0.14
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-5.8,4.2,4.3,0.3,48.07,119.99,0.14
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-5.8,4.1,4.2,0.3,48.41,113.89,0.14
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-5.8,4.0,4.1,0.3,48.75,107.87,0.14
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-5.8,3.9,3.9,0.3,49.02,101.96,0.14
2019-01-01 14:30:00,2019,1,1,14,30,0.0,0.0,-5.8,4.3,4.2,0.3,47.67,96.19,0.14
2019-01-01 15:00:00,2019,1,1,15,0,2.0,2.0,-5.7,4.8,4.4,0.3,46.51,90.01,0.14
2019-01-01 15:30:00,2019,1,1,15,30,27.0,121.0,-5.7,6.1,4.9,0.3,42.55,85.03,0.14
2019-01-01 16:00:00,2019,1,1,16,0,50.0,343.0,-5.9,7.4,5.5,0.3,38.43,79.97,0.14
2019-01-01 16:30:00,2019,1,1,16,30,53.0,737.0,-5.8,8.6,6.1,0.3,35.46,75.18,0.14
2019-01-01 17:00:00,2019,1,1,17,0,54.0,861.0,-6.9,9.8,6.7,0.3,30.11,70.76,0.14
2019-01-01 17:30:00,2019,1,1,17,30,60.0,906.0,-6.9,10.6,6.8,0.3,28.55,66.79,0.14
2019-01-01 18:00:00,2019,1,1,18,0,64.0,936.0,-7.8,11.5,6.8,0.3,25.12,63.37,0.14
2019-01-01 18:30:00,2019,1,1,18,30,67.0,959.0,-7.8,11.9,6.7,0.3,24.46,60.6,0.14
2019-01-01 19:00:00,2019,1,1,19,0,69.0,973.0,-8.3,12.4,6.5,0.3,22.77,58.56,0.14
2019-01-01 19:30:00,2019,1,1,19,30,71.0,980.0,-8.3,12.6,6.4,0.3,22.48,57.34,0.14
2019-01-01 20:00:00,2019,1,1,20,0,71.0,982.0,-8.4,12.8,6.3,0.3,21.98,56.99,0.14
2019-01-01 20:30:00,2019,1,1,20,30,73.0,974.0,-8.4,12.9,6.2,0.3,21.84,57.53,0.14
2019-01-01 21:00:00,2019,1,1,21,0,74.0,958.0,-8.4,12.9,6.1,0.3,21.93,58.94,0.14
2019-01-01 21:30:00,2019,1,1,21,30,72.0,940.0,-8.4,12.9,5.9,0.3,21.93,61.14,0.14
2019-01-01 22:00:00,2019,1,1,22,0,70.0,912.0,-8.3,12.8,5.6,0.3,22.2,64.07,0.14
2019-01-01 22:30:00,2019,1,1,22,30,65.0,873.0,-8.3,12.5,5.3,0.3,22.64,67.61,0.14
2019-01-01 23:00:00,2019,1,1,23,0,60.0,818.0,-7.9,12.2,4.9,0.3,23.79,71.69,0.14
2019-01-01 23:30:00,2019,1,1,23,30,52.0,734.0,-7.9,12.2,4.9,0.3,23.79,76.2,0.14
2019-01-02 00:00:00,2019,1,2,0,0,42.0,601.0,-6.0,9.4,3.3,0.3,33.22,81.06,0.14
2019-01-02 00:30:00,2019,1,2,0,30,26.0,368.0,-6.0,8.3,3.1,0.3,35.81,86.15,0.14
2019-01-02 01:00:00,2019,1,2,1,0,3.0,28.0,-5.4,7.1,2.9,0.3,40.5,91.79,0.14
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,-5.4,6.7,2.8,0.3,41.62,97.43,0.14
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-5.3,6.2,2.7,0.3,43.54,103.24,0.14
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-5.3,5.9,2.7,0.4,44.45,109.17,0.14
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-5.3,5.6,2.6,0.4,45.33,115.21,0.14
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,-5.3,5.6,2.5,0.4,45.33,121.33,0.14
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,-5.2,5.6,2.4,0.4,45.74,127.51,0.14
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,-5.2,5.6,2.3,0.4,45.74,133.71,0.14
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,-5.2,5.6,2.2,0.4,45.85,139.92,0.14
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,-5.2,5.7,2.2,0.4,45.54,146.09,0.14
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,-5.2,5.7,2.1,0.5,45.5,152.15,0.14
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,-5.2,5.8,2.1,0.5,45.19,157.99,0.14
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,-5.1,5.8,2.0,0.5,45.32,163.31,0.14
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,-5.2,5.9,2.0,0.5,44.96,167.42,0.14
2019-01-02 08:00:00,2019,1,2,8,0,0.0,0.0,-5.2,5.9,2.0,0.6,44.64,168.87,0.14
2019-01-02 08:30:00,2019,1,2,8,30,0.0,0.0,-5.2,6.0,2.0,0.6,44.33,166.73,0.14
2019-01-02 09:00:00,2019,1,2,9,0,0.0,0.0,-5.7,6.0,1.9,0.6,42.8,162.27,0.14
2019-01-02 09:30:00,2019,1,2,9,30,0.0,0.0,-5.7,5.9,1.9,0.7,43.1,156.81,0.14
2019-01-02 10:00:00,2019,1,2,10,0,0.0,0.0,-6.3,5.8,1.9,0.7,41.59,150.91,0.14
2019-01-02 10:30:00,2019,1,2,10,30,0.0,0.0,-6.3,5.7,1.9,0.7,41.87,144.81,0.14
2019-01-02 11:00:00,2019,1,2,11,0,0.0,0.0,-6.4,5.5,2.0,0.7,41.94,138.63,0.14
2019-01-02 11:30:00,2019,1,2,11,30,0.0,0.0,-6.4,5.5,2.1,0.7,41.94,132.42,0.14
2019-01-02 12:00:00,2019,1,2,12,0,0.0,0.0,-6.4,5.4,2.2,0.8,42.23,126.22,0.14
2019-01-02 12:30:00,2019,1,2,12,30,0.0,0.0,-6.4,5.4,2.2,0.8,42.23,120.05,0.14
2019-01-02 13:00:00,2019,1,2,13,0,0.0,0.0,-6.6,5.4,2.2,0.8,41.74,113.94,0.14
2019-01-02 13:30:00,2019,1,2,13,30,0.0,0.0,-6.6,5.4,2.0,0.8,41.74,107.92,0.14
2019-01-02 14:00:00,2019,1,2,14,0,0.0,0.0,-7.0,5.4,1.9,0.8,40.43,102.01,0.14
