,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,14.0,3.0,3.7,5.0,2.1,1.5,91.16,85.17,0.17
2019-01-01 00:30:00,2019,1,1,0,30,4.0,2.0,3.7,4.6,1.6,1.4,93.74,90.19,0.17
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,2.9,4.1,1.2,1.3,91.91,96.43,0.17
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,2.9,4.0,0.9,1.3,92.56,102.25,0.17
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,2.4,3.9,0.6,1.2,89.98,108.21,0.17
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,2.4,3.9,0.5,1.2,89.98,114.27,0.17
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,2.0,3.9,0.4,1.1,87.49,120.42,0.17
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,2.0,3.7,0.5,1.0,88.73,126.63,0.17
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,1.9,3.4,0.7,1.0,90.2,132.88,0.17
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,1.9,3.1,0.7,0.9,92.13,139.13,0.17
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,1.8,2.9,0.8,0.9,92.64,145.37,0.17
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,1.8,2.6,0.8,0.9,94.73,151.52,0.17
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,1.6,2.4,0.8,0.8,94.52,157.49,0.17
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,1.6,2.3,0.8,0.8,95.2,163.04,0.17
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,1.5,2.2,0.8,0.8,94.97,167.57,0.17
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,1.5,2.0,0.8,0.8,96.43,169.61,0.17
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,1.3,1.8,0.9,0.7,96.3,167.82,0.17
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,1.3,1.7,0.9,0.7,96.99,163.41,0.17
