,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,9.7,11.0,8.4,1.5,91.66,106.71,0.16
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,9.7,10.0,8.3,1.4,98.07,112.3,0.16
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,7.4,9.1,8.2,1.3,89.12,117.97,0.16
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,7.4,8.1,8.2,1.2,95.44,123.7,0.16
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,5.2,7.2,8.2,1.2,86.88,129.46,0.16
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,5.2,6.3,8.0,1.1,92.5,135.21,0.16
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,3.4,5.4,7.8,1.1,87.2,140.89,0.16
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,3.5,4.8,7.3,1.1,91.0,146.42,0.16
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,2.6,4.2,6.9,1.1,89.09,151.69,0.16
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,2.6,3.8,6.4,1.1,91.71,156.48,0.16
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,2.1,3.5,5.9,1.1,90.69,160.4,0.16
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,2.1,3.2,5.5,1.1,92.72,162.81,0.16
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,1.7,2.9,5.1,1.1,91.96,163.05,0.16
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,1.7,2.6,4.8,1.0,94.03,161.04,0.16
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,1.3,2.3,4.5,1.0,92.99,157.37,0.16
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,1.3,2.0,4.3,1.0,95.09,152.72,0.16
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,0.9,1.7,4.0,1.0,94.27,147.52,0.16
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,0.9,1.4,3.8,1.0,96.31,142.02,0.16
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,0.5,1.2,3.6,1.0,95.1,136.37,0.16
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,0.5,1.0,3.3,1.0,96.47,130.63,0.16
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,0.2,0.9,3.0,0.9,94.8,124.87,0.16
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,0.2,0.7,2.7,0.9,96.27,119.12,0.16
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-0.2,0.5,2.3,0.9,95.33,113.43,0.16
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-0.1,0.3,2.0,0.9,96.81,107.83,0.16
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-0.5,0.0,1.8,0.9,96.65,102.33,0.16
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-0.5,0.1,1.8,0.9,96.05,96.99,0.16
2019-01-01 13:00:00,2019,1,1,13,0,2.0,8.0,-0.5,0.3,1.8,0.9,94.34,91.84,0.16
2019-01-01 13:30:00,2019,1,1,13,30,8.0,8.0,-0.5,1.1,2.2,0.9,89.15,86.68,0.16
2019-01-01 14:00:00,2019,1,1,14,0,28.0,121.0,0.0,1.9,2.6,1.0,87.47,82.14,0.16
2019-01-01 14:30:00,2019,1,1,14,30,27.0,0.0,0.0,3.0,2.6,1.0,80.9,77.86,0.16
