,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,21.6,24.4,4.3,2.4,84.59,107.42,0.17
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,21.6,24.4,4.2,2.4,84.59,113.89,0.17
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,21.7,24.3,4.2,2.4,85.69,120.45,0.17
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,21.7,24.3,4.1,2.4,85.69,127.06,0.17
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,21.8,24.2,4.0,2.4,86.61,133.73,0.17
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,21.8,24.2,3.9,2.4,86.61,140.43,0.17
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,21.9,24.2,3.8,2.4,86.91,147.16,0.17
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,21.9,24.1,3.8,2.4,87.43,153.91,0.17
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,21.9,24.1,3.8,2.4,87.47,160.66,0.17
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,21.9,24.1,3.7,2.4,87.47,167.37,0.17
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,21.8,24.0,3.6,2.4,87.72,173.85,0.17
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,21.8,24.0,3.6,2.4,87.72,176.96,0.17
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,21.7,24.0,3.5,2.4,87.17,171.41,0.17
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,21.7,24.0,3.4,2.4,87.17,164.79,0.17
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,21.5,24.0,3.4,2.4,86.11,158.06,0.17
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,21.5,24.0,3.4,2.4,86.11,151.31,0.17
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,21.2,24.0,3.3,2.4,84.24,144.56,0.17
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,21.2,24.0,3.3,2.4,84.24,137.84,0.17
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,20.9,23.9,3.4,2.4,83.45,131.15,0.17
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,20.9,23.9,3.5,2.4,83.45,124.5,0.17
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,20.8,23.9,3.6,2.4,82.92,117.91,0.17
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,20.8,23.8,3.7,2.4,83.5,111.38,0.17
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,20.8,23.8,3.9,2.4,83.25,104.94,0.17
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,20.8,23.9,4.0,2.4,82.75,98.59,0.17
2019-01-01 12:00:00,2019,1,1,12,0,1.0,7.0,20.8,24.0,4.2,2.4,82.56,92.37,0.17
2019-01-01 12:30:00,2019,1,1,12,30,28.0,230.0,20.8,24.5,4.5,2.4,80.13,86.12,0.17
2019-01-01 13:00:00,2019,1,1,13,0,44.0,442.0,21.0,24.9,4.7,2.4,78.82,80.35,0.17
2019-01-01 13:30:00,2019,1,1,13,30,58.0,67.0,21.0,25.1,4.9,2.4,77.89,74.74,0.17
2019-01-01 14:00:00,2019,1,1,14,0,100.0,496.0,20.9,25.3,5.1,2.4,76.53,69.42,0.17
2019-01-01 14:30:00,2019,1,1,14,30,91.0,711.0,20.9,25.4,5.1,2.4,76.08,64.46,0.17
2019-01-01 15:00:00,2019,1,1,15,0,154.0,474.0,20.9,25.6,5.1,2.4,75.19,59.97,0.17
2019-01-01 15:30:00,2019,1,1,15,30,116.0,752.0,20.9,25.7,5.0,2.4,74.75,56.05,0.17
2019-01-01 16:00:00,2019,1,1,16,0,174.0,560.0,20.9,25.8,4.8,2.4,74.33,52.84,0.17
2019-01-01 16:30:00,2019,1,1,16,30,190.0,533.0,20.9,25.9,4.7,2.5,73.89,50.48,0.17
2019-01-01 17:00:00,2019,1,1,17,0,210.0,497.0,20.9,25.9,4.6,2.5,73.76,49.08,0.17
2019-01-01 17:30:00,2019,1,1,17,30,226.0,432.0,20.9,26.0,4.5,2.5,73.32,48.74,0.17
2019-01-01 18:00:00,2019,1,1,18,0,249.0,244.0,20.8,26.0,4.3,2.5,73.25,49.47,0.17
2019-01-01 18:30:00,2019,1,1,18,30,191.0,510.0,20.8,26.0,4.2,2.5,73.25,51.24,0.17
2019-01-01 19:00:00,2019,1,1,19,0,178.0,491.0,20.8,26.0,4.1,2.5,73.26,53.92,0.17
