,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,0.3,0.9,6.4,1.7,95.67,106.4,0.87
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,0.3,0.8,6.5,1.6,96.36,111.71,0.87
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,0.0,0.7,6.5,1.6,95.39,117.11,0.87
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,0.1,0.6,6.5,1.6,96.18,122.57,0.87
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-0.3,0.6,6.5,1.5,93.63,128.05,0.87
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-0.3,0.4,6.4,1.5,95.09,133.5,0.87
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-0.9,0.2,6.3,1.5,92.18,138.86,0.87
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-0.9,-0.2,6.3,1.4,94.99,144.06,0.87
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-1.9,-0.6,6.3,1.3,90.87,148.96,0.87
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-1.9,-1.1,6.3,1.3,94.25,153.37,0.87
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-3.1,-1.6,6.3,1.2,89.2,156.98,0.87
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-3.1,-2.0,6.1,1.2,92.05,159.33,0.87
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-4.2,-2.5,5.9,1.1,88.13,159.95,0.87
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-4.2,-2.8,5.8,1.0,90.21,158.7,0.87
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-5.0,-3.1,5.8,1.0,86.69,155.88,0.87
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-5.0,-3.4,5.5,0.9,88.74,151.95,0.87
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-5.7,-3.7,5.3,0.9,85.83,147.34,0.87
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-5.7,-4.1,5.1,0.9,88.44,142.32,0.87
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-6.5,-4.5,5.0,0.9,86.07,137.06,0.87
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-6.5,-4.7,5.2,0.8,87.38,131.65,0.87
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-7.0,-4.9,5.3,0.8,85.2,126.19,0.87
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-7.0,-5.0,5.3,0.8,85.84,120.71,0.87
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-7.2,-5.2,5.2,0.8,86.0,115.27,0.87
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-7.2,-5.3,4.9,0.8,86.66,109.89,0.87
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-7.5,-5.5,4.5,0.8,86.12,104.61,0.87
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-7.4,-5.5,4.3,0.8,86.21,99.47,0.87
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-7.5,-5.5,4.2,0.8,86.03,94.51,0.87
2019-01-01 13:30:00,2019,1,1,13,30,5.0,15.0,-7.5,-5.1,4.2,0.8,83.46,89.3,0.87
2019-01-01 14:00:00,2019,1,1,14,0,21.0,0.0,-7.2,-4.7,4.3,0.8,82.87,85.11,0.87
2019-01-01 14:30:00,2019,1,1,14,30,43.0,0.0,-7.2,-4.4,4.4,0.8,81.01,81.02,0.87
2019-01-01 15:00:00,2019,1,1,15,0,69.0,1.0,-6.9,-4.2,4.5,0.8,81.15,77.26,0.87
2019-01-01 15:30:00,2019,1,1,15,30,98.0,19.0,-6.9,-4.0,4.4,0.8,79.94,73.93,0.87
2019-01-01 16:00:00,2019,1,1,16,0,117.0,58.0,-6.7,-3.8,4.3,0.8,80.18,71.1,0.87
2019-01-01 16:30:00,2019,1,1,16,30,126.0,45.0,-6.7,-3.7,4.2,0.8,79.58,68.83,0.87
2019-01-01 17:00:00,2019,1,1,17,0,142.0,32.0,-6.6,-3.6,4.0,0.8,79.96,67.19,0.87
2019-01-01 17:30:00,2019,1,1,17,30,122.0,19.0,-6.6,-3.4,3.9,0.8,78.78,66.24,0.87
2019-01-01 18:00:00,2019,1,1,18,0,154.0,25.0,-6.5,-3.3,3.8,0.8,78.67,65.99,0.87
2019-01-01 18:30:00,2019,1,1,18,30,163.0,78.0,-6.5,-3.2,3.6,0.8,78.09,66.46,0.87
2019-01-01 19:00:00,2019,1,1,19,0,158.0,77.0,-6.5,-3.1,3.5,0.8,77.57,67.64,0.87
2019-01-01 19:30:00,2019,1,1,19,30,139.0,59.0,-6.5,-3.1,3.2,0.8,77.57,69.48,0.87
2019-01-01 20:00:00,2019,1,1,20,0,119.0,42.0,-6.5,-3.1,3.0,0.8,77.1,71.93,0.87
2019-01-01 20:30:00,2019,1,1,20,30,82.0,3.0,-6.5,-3.4,2.7,0.8,78.84,74.93,0.87
2019-01-01 21:00:00,2019,1,1,21,0,55.0,0.0,-6.7,-3.6,2.4,0.8,78.84,78.41,0.87
2019-01-01 21:30:00,2019,1,1,21,30,34.0,10.0,-6.7,-4.1,2.3,0.8,81.93,82.28,0.87
2019-01-01 22:00:00,2019,1,1,22,0,13.0,17.0,-7.4,-4.6,2.2,0.8,80.97,86.45,0.87
2019-01-01 22:30:00,2019,1,1,22,30,2.0,17.0,-7.4,-4.9,2.3,0.8,82.83,91.24,0.87
2019-01-01 23:00:00,2019,1,1,23,0,0.0,0.0,-7.8,-5.3,2.3,0.8,82.55,96.06,0.87
2019-01-01 23:30:00,2019,1,1,23,30,0.0,0.0,-7.8,-5.3,2.3,0.8,82.55,101.08,0.87
2019-01-02 00:00:00,2019,1,2,0,0,0.0,0.0,-8.1,-5.8,2.2,0.8,83.47,106.26,0.87
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,-8.1,-6.1,2.1,0.8,85.41,111.57,0.87
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,-8.6,-6.4,2.0,0.8,84.7,116.97,0.87
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,-8.6,-6.7,1.9,0.8,86.58,122.43,0.87
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-8.9,-6.9,1.8,0.8,85.39,127.91,0.87
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-8.9,-7.0,1.7,0.8,86.05,133.36,0.87
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-9.3,-7.1,1.5,0.8,84.61,138.72,0.87
