,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,1.9,2.6,2.7,2.9,95.22,113.73,0.11
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,1.9,2.8,2.6,3.0,93.69,119.15,0.11
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,2.3,3.0,2.4,3.1,94.99,124.6,0.11
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,2.3,3.3,2.3,3.2,92.9,130.06,0.11
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,3.1,3.7,2.2,3.3,95.65,135.48,0.11
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,3.1,4.1,2.3,3.2,92.91,140.77,0.11
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,3.9,4.6,2.4,3.0,95.17,145.86,0.11
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,3.9,5.1,2.6,2.7,91.82,150.59,0.11
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,4.8,5.7,2.9,2.4,94.18,154.73,0.11
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,4.8,6.6,3.0,2.2,88.52,157.9,0.11
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,6.7,7.4,3.0,2.1,95.16,159.64,0.11
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,6.7,8.2,3.0,2.1,90.13,159.57,0.11
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,8.6,9.0,3.0,2.0,97.3,157.69,0.11
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,8.6,9.7,3.3,1.9,92.84,154.42,0.11
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,9.5,10.3,3.6,1.8,95.03,150.23,0.11
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,9.6,9.9,4.1,1.8,97.7,145.46,0.11
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,8.1,9.5,4.6,1.7,90.73,140.35,0.11
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,8.1,8.4,4.7,1.7,97.8,135.04,0.11
