,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,13.0,407.0,-0.2,1.6,0.6,0.9,88.03,85.45,0.11
2019-01-01 00:30:00,2019,1,1,0,30,9.0,131.0,-0.2,1.0,0.6,0.9,91.9,89.36,0.11
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-1.2,0.5,0.6,0.9,88.33,94.31,0.11
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-1.2,0.1,0.6,0.9,90.92,99.01,0.11
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-1.9,-0.2,0.6,0.9,88.51,103.9,0.11
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-1.9,-0.5,0.6,0.9,90.46,108.94,0.11
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-2.5,-0.7,0.6,1.0,87.71,114.09,0.11
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-2.5,-0.9,0.5,1.0,89.0,119.3,0.11
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-3.0,-1.1,0.5,1.0,87.16,124.55,0.11
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-3.0,-1.2,0.5,1.0,87.8,129.79,0.11
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-3.4,-1.4,0.5,1.1,86.06,134.96,0.11
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-3.4,-1.4,0.5,1.1,86.06,139.99,0.11
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-3.8,-1.5,0.5,1.1,84.26,144.77,0.11
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-3.8,-1.5,0.5,1.1,84.26,149.17,0.11
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-3.9,-1.5,0.5,1.2,83.43,152.95,0.11
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-3.9,-1.6,0.5,1.2,84.04,155.79,0.11
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-4.0,-1.7,0.5,1.2,84.58,157.32,0.11
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-4.0,-1.7,0.5,1.2,84.58,157.26,0.11
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-4.0,-1.8,0.5,1.2,85.07,155.62,0.11
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-4.0,-1.8,0.5,1.3,85.16,152.7,0.11
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-3.9,-1.8,0.5,1.3,85.63,148.87,0.11
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-3.9,-1.9,0.5,1.3,86.26,144.44,0.11
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-3.8,-1.9,0.4,1.3,86.8,139.63,0.11
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-3.8,-1.9,0.4,1.3,86.71,134.59,0.11
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-3.7,-1.8,0.4,1.2,86.67,129.41,0.11
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-3.7,-1.7,0.4,1.2,86.04,124.17,0.11
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-3.8,-1.6,0.5,1.2,85.03,118.92,0.11
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-3.8,-1.1,0.5,1.2,81.97,113.7,0.11
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-3.5,-0.7,0.5,1.2,81.22,108.56,0.11
2019-01-01 14:30:00,2019,1,1,14,30,0.0,0.0,-3.5,-0.8,0.6,1.2,81.89,103.53,0.11
2019-01-01 15:00:00,2019,1,1,15,0,0.0,0.0,-3.8,-0.8,0.6,1.1,79.95,98.65,0.11
2019-01-01 15:30:00,2019,1,1,15,30,0.0,0.0,-3.8,-0.5,0.5,1.1,78.22,93.95,0.11
2019-01-01 16:00:00,2019,1,1,16,0,7.0,61.0,-2.8,-0.2,0.4,1.1,82.68,89.06,0.11
2019-01-01 16:30:00,2019,1,1,16,30,29.0,143.0,-2.8,1.0,0.4,1.1,75.82,85.13,0.11
2019-01-01 17:00:00,2019,1,1,17,0,45.0,284.0,-2.5,2.2,0.4,1.1,70.95,81.35,0.11
2019-01-01 17:30:00,2019,1,1,17,30,44.0,636.0,-2.5,3.0,0.3,1.1,67.04,77.92,0.11
2019-01-01 18:00:00,2019,1,1,18,0,75.0,318.0,-3.1,3.8,0.3,1.1,60.86,74.92,0.11
2019-01-01 18:30:00,2019,1,1,18,30,116.0,49.0,-3.1,4.4,0.2,1.1,58.35,72.43,0.11
2019-01-01 19:00:00,2019,1,1,19,0,133.0,78.0,-3.1,5.0,0.2,1.1,55.63,70.5,0.11
2019-01-01 19:30:00,2019,1,1,19,30,140.0,162.0,-3.1,5.3,0.1,1.1,54.48,69.18,0.11
2019-01-01 20:00:00,2019,1,1,20,0,79.0,672.0,-3.0,5.6,0.1,1.2,53.95,68.53,0.11
