,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,5.0,5.6,3.6,2.8,95.83,116.01,0.07
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,5.0,5.9,3.8,3.0,93.77,121.64,0.07
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,5.5,6.2,4.0,3.1,95.44,127.31,0.07
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,5.5,6.3,3.8,3.2,94.7,132.98,0.07
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,6.0,6.5,3.6,3.4,96.61,138.59,0.07
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,6.0,6.7,3.6,3.4,95.19,144.08,0.07
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,6.5,6.9,3.5,3.5,97.3,149.34,0.07
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,6.5,7.2,3.4,3.5,95.23,154.19,0.07
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,7.2,7.5,3.3,3.6,97.94,158.31,0.07
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,7.2,7.8,3.4,3.7,95.86,161.21,0.07
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,7.7,8.0,3.5,3.8,98.08,162.24,0.07
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,7.7,8.4,3.5,3.8,95.37,161.1,0.07
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,8.4,8.7,3.6,3.8,97.7,158.13,0.07
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,8.3,9.2,3.6,3.7,94.37,153.96,0.07
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,9.3,9.6,3.7,3.5,97.86,149.08,0.07
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,9.3,9.8,3.5,3.2,96.46,143.81,0.07
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,9.9,10.1,3.4,3.0,98.41,138.31,0.07
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,9.9,10.4,3.4,2.6,96.46,132.69,0.07
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,10.5,10.7,3.4,2.3,98.57,127.02,0.07
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,10.5,11.3,3.7,2.1,94.73,121.35,0.07
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,11.5,11.8,4.0,1.9,97.95,115.71,0.07
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,11.5,12.1,3.9,1.8,96.04,110.14,0.07
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,11.9,12.3,3.8,1.7,97.54,104.68,0.07
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,11.9,12.4,3.8,1.7,97.0,99.35,0.07
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,11.8,12.5,3.8,1.7,95.55,94.19,0.07
2019-01-01 12:30:00,2019,1,1,12,30,8.0,28.0,11.8,12.5,3.8,1.6,95.65,88.86,0.07
2019-01-01 13:00:00,2019,1,1,13,0,23.0,17.0,10.9,12.4,3.9,1.6,90.74,84.41,0.07
2019-01-01 13:30:00,2019,1,1,13,30,34.0,0.0,10.9,12.2,4.0,1.5,92.03,80.09,0.07
2019-01-01 14:00:00,2019,1,1,14,0,50.0,0.0,9.6,11.9,4.0,1.4,85.73,76.11,0.07
2019-01-01 14:30:00,2019,1,1,14,30,67.0,0.0,9.6,11.6,4.0,1.3,87.53,72.56,0.07
2019-01-01 15:00:00,2019,1,1,15,0,109.0,9.0,8.2,11.3,4.1,1.3,81.15,69.51,0.07
2019-01-01 15:30:00,2019,1,1,15,30,138.0,27.0,8.2,10.9,4.2,1.2,83.32,67.03,0.07
2019-01-01 16:00:00,2019,1,1,16,0,148.0,65.0,6.4,10.4,4.4,1.1,76.25,65.21,0.07
2019-01-01 16:30:00,2019,1,1,16,30,174.0,286.0,6.4,10.0,4.3,1.1,78.38,64.1,0.07
2019-01-01 17:00:00,2019,1,1,17,0,164.0,380.0,5.0,9.5,4.2,1.0,73.28,63.73,0.07
2019-01-01 17:30:00,2019,1,1,17,30,73.0,834.0,5.0,9.2,4.1,1.0,74.84,64.12,0.07
2019-01-01 18:00:00,2019,1,1,18,0,77.0,792.0,4.1,8.9,3.9,1.0,72.06,65.26,0.07
2019-01-01 18:30:00,2019,1,1,18,30,139.0,348.0,4.1,8.6,3.8,1.0,73.53,67.1,0.07
2019-01-01 19:00:00,2019,1,1,19,0,109.0,454.0,3.6,8.3,3.7,0.9,72.43,69.59,0.07
2019-01-01 19:30:00,2019,1,1,19,30,102.0,344.0,3.6,7.8,3.5,0.9,75.01,72.65,0.07
2019-01-01 20:00:00,2019,1,1,20,0,87.0,243.0,3.3,7.3,3.4,0.9,75.66,76.22,0.07
2019-01-01 20:30:00,2019,1,1,20,30,61.0,181.0,3.3,6.6,3.1,0.9,79.45,80.21,0.07
2019-01-01 21:00:00,2019,1,1,21,0,35.0,89.0,2.8,5.9,2.9,0.9,80.62,84.53,0.07
2019-01-01 21:30:00,2019,1,1,21,30,8.0,42.0,2.8,5.4,2.9,0.9,83.45,88.97,0.07
2019-01-01 22:00:00,2019,1,1,22,0,0.0,0.0,2.3,4.9,2.9,0.9,82.99,94.34,0.07
2019-01-01 22:30:00,2019,1,1,22,30,0.0,0.0,2.3,4.6,2.9,0.9,84.83,99.5,0.07
2019-01-01 23:00:00,2019,1,1,23,0,0.0,0.0,1.8,4.2,2.8,0.9,84.16,104.83,0.07
2019-01-01 23:30:00,2019,1,1,23,30,0.0,0.0,1.8,4.2,2.8,0.9,84.16,110.3,0.07
2019-01-02 00:00:00,2019,1,2,0,0,0.0,0.0,1.2,3.5,2.6,0.9,85.17,115.87,0.07
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,1.3,3.2,2.5,0.9,87.07,121.51,0.07
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,0.7,2.9,2.4,0.9,85.67,127.18,0.07
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,0.7,2.6,2.3,0.9,87.51,132.84,0.07
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,0.3,2.3,2.2,0.9,86.41,138.46,0.07
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,0.3,1.9,2.2,0.9,88.9,143.95,0.07
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-0.1,1.6,2.1,0.9,88.17,149.21,0.07
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,-0.1,1.2,2.0,0.8,90.73,154.05,0.07
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,-0.6,0.9,1.9,0.8,89.97,158.19,0.07
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,-0.6,0.6,1.9,0.8,91.93,161.1,0.07
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,-1.1,0.3,1.9,0.8,90.39,162.16,0.07
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,-1.1,0.1,1.9,0.8,91.71,161.06,0.07
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,-1.4,-0.1,1.9,0.8,90.71,158.12,0.07
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,-1.4,-0.2,1.9,0.8,91.37,153.96,0.07
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,-1.7,-0.3,1.9,0.8,90.23,149.1,0.07
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,-1.7,-0.5,1.9,0.7,91.55,143.84,0.07
2019-01-02 08:00:00,2019,1,2,8,0,0.0,0.0,-2.0,-0.6,1.8,0.7,90.23,138.34,0.07
2019-01-02 08:30:00,2019,1,2,8,30,0.0,0.0,-2.0,-0.7,1.8,0.7,90.89,132.73,0.07
2019-01-02 09:00:00,2019,1,2,9,0,0.0,0.0,-2.2,-0.9,1.8,0.7,90.66,127.06,0.07
2019-01-02 09:30:00,2019,1,2,9,30,0.0,0.0,-2.2,-1.0,1.8,0.7,91.33,121.39,0.07
2019-01-02 10:00:00,2019,1,2,10,0,0.0,0.0,-2.5,-1.1,1.8,0.8,90.53,115.75,0.07
2019-01-02 10:30:00,2019,1,2,10,30,0.0,0.0,-2.5,-1.2,1.8,0.8,91.19,110.18,0.07
2019-01-02 11:00:00,2019,1,2,11,0,0.0,0.0,-2.7,-1.3,1.8,0.8,90.34,104.71,0.07
2019-01-02 11:30:00,2019,1,2,11,30,0.0,0.0,-2.7,-1.2,1.8,0.8,89.68,99.37,0.07
2019-01-02 12:00:00,2019,1,2,12,0,0.0,0.0,-2.7,-1.2,1.8,0.8,89.39,94.21,0.07
2019-01-02 12:30:00,2019,1,2,12,30,9.0,40.0,-2.7,-0.4,2.0,0.8,84.32,88.85,0.07
2019-01-02 13:00:00,2019,1,2,13,0,36.0,75.0,-2.5,0.3,2.1,0.8,81.59,84.4,0.07
2019-01-02 13:30:00,2019,1,2,13,30,64.0,133.0,-2.5,0.8,2.2,0.8,78.7,80.08,0.07
2019-01-02 14:00:00,2019,1,2,14,0,92.0,178.0,-3.3,1.2,2.2,0.8,71.88,76.09,0.07
2019-01-02 14:30:00,2019,1,2,14,30,114.0,257.0,-3.3,1.6,2.1,0.8,69.85,72.53,0.07
2019-01-02 15:00:00,2019,1,2,15,0,122.0,373.0,-4.1,2.0,1.9,0.8,64.21,69.47,0.07
2019-01-02 15:30:00,2019,1,2,15,30,127.0,457.0,-4.1,2.4,1.7,0.8,62.4,66.98,0.07
2019-01-02 16:00:00,2019,1,2,16,0,137.0,473.0,-4.9,2.7,1.4,0.8,57.42,65.15,0.07
2019-01-02 16:30:00,2019,1,2,16,30,151.0,444.0,-4.9,2.9,1.2,0.8,56.61,64.02,0.07
2019-01-02 17:00:00,2019,1,2,17,0,158.0,421.0,-5.5,3.1,1.0,0.8,53.19,63.64,0.07
2019-01-02 17:30:00,2019,1,2,17,30,152.0,438.0,-5.5,3.1,0.8,0.8,53.19,64.02,0.07
