,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,1.3,2.1,1.7,2.7,94.45,114.79,0.87
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,1.3,2.3,1.9,2.8,92.93,120.23,0.87
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,1.6,2.4,2.0,2.9,94.2,125.7,0.87
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,1.5,2.6,2.0,3.0,92.78,131.17,0.87
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,2.1,2.9,2.0,3.1,94.26,136.58,0.87
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,2.1,3.1,2.0,3.2,92.84,141.86,0.87
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,2.5,3.4,2.0,3.2,94.1,146.91,0.87
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,2.5,3.6,2.0,3.2,92.69,151.56,0.87
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,3.0,3.8,2.0,3.1,94.35,155.56,0.87
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,3.0,4.0,1.9,2.8,93.04,158.51,0.87
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,3.4,4.2,1.8,2.5,94.44,159.92,0.87
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,3.4,4.3,1.7,2.3,93.69,159.46,0.87
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,3.8,4.4,1.6,2.1,95.64,157.25,0.87
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,3.8,5.1,1.7,2.1,91.09,153.74,0.87
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,5.2,5.8,1.9,2.0,95.68,149.39,0.87
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,5.1,6.5,1.9,2.0,91.08,144.52,0.87
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,6.8,7.3,1.9,1.9,96.62,139.34,0.87
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,6.8,8.0,2.0,1.9,92.22,133.98,0.87
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,8.0,8.6,2.1,1.9,95.97,128.54,0.87
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,8.0,8.5,2.3,1.8,96.72,123.06,0.87
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,7.2,8.4,2.5,1.7,92.29,117.6,0.87
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,7.2,7.4,2.6,1.6,98.87,112.18,0.87
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,4.8,6.3,2.7,1.4,90.13,106.86,0.87
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,4.8,5.0,2.6,1.3,98.71,101.66,0.87
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,2.5,3.8,2.6,1.2,90.97,96.62,0.87
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,2.5,3.2,2.4,1.2,95.08,91.78,0.87
