,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,18.5,18.6,1.7,4.3,99.61,100.57,0.14
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,18.4,18.4,1.5,4.2,100.0,106.71,0.14
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,17.9,18.1,1.2,4.1,98.96,112.96,0.14
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,17.9,17.9,1.1,4.0,100.0,119.29,0.14
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,17.4,17.8,1.0,3.9,97.44,125.69,0.14
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,17.4,17.6,1.0,3.9,98.67,132.14,0.14
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,16.8,17.4,0.9,3.8,96.49,138.63,0.14
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,16.8,17.3,0.9,3.8,97.1,145.12,0.14
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,16.4,17.2,0.9,3.8,95.32,151.59,0.14
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,16.4,17.1,0.8,3.8,95.93,158.0,0.14
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,16.2,17.0,0.8,3.8,94.97,164.2,0.14
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,16.2,16.9,0.9,3.8,95.57,169.78,0.14
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,16.0,16.8,0.9,3.8,95.08,173.01,0.14
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,16.0,16.6,1.0,3.9,96.3,170.89,0.14
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,15.9,16.5,1.1,3.9,95.95,165.62,0.14
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,15.9,16.4,1.1,3.9,96.66,159.51,0.14
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,15.7,16.3,1.2,3.9,96.46,153.13,0.14
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,15.7,16.2,1.2,3.9,96.98,146.67,0.14
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,15.6,16.1,1.2,3.9,97.0,140.18,0.14
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,15.6,16.1,1.3,3.9,97.0,133.69,0.14
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,15.5,16.0,1.4,3.9,97.04,127.23,0.14
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,15.5,16.0,1.4,3.9,97.14,120.81,0.14
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,15.5,15.9,1.4,3.9,97.19,114.46,0.14
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,15.5,15.9,1.5,3.9,97.19,108.18,0.14
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,15.4,15.8,1.5,4.0,97.26,102.01,0.14
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,15.4,15.9,1.7,4.0,96.64,95.96,0.14
2019-01-01 13:00:00,2019,1,1,13,0,4.0,4.0,15.5,16.0,1.8,4.0,96.8,89.59,0.14
2019-01-01 13:30:00,2019,1,1,13,30,16.0,0.0,15.5,16.3,1.9,4.0,94.97,84.23,0.14
2019-01-01 14:00:00,2019,1,1,14,0,33.0,1.0,15.7,16.5,2.0,4.0,94.95,78.83,0.14
2019-01-01 14:30:00,2019,1,1,14,30,67.0,9.0,15.7,16.9,1.9,4.0,92.58,73.69,0.14
2019-01-01 15:00:00,2019,1,1,15,0,35.0,0.0,16.1,17.2,1.8,4.0,93.19,68.89,0.14
