,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,6.8,7.1,2.7,3.4,98.13,114.97,0.12
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,6.8,7.3,2.4,3.5,96.71,120.66,0.12
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,7.3,7.4,2.1,3.6,99.09,126.4,0.12
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,7.3,7.6,2.0,3.7,97.65,132.14,0.12
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,7.6,7.8,2.0,3.7,98.93,137.84,0.12
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,7.6,8.0,2.2,3.7,97.49,143.45,0.12
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,8.1,8.3,2.5,3.7,98.68,148.86,0.12
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,8.1,8.7,3.1,3.8,96.05,153.91,0.12
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,8.8,9.1,3.7,3.8,97.83,158.32,0.12
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,8.8,9.6,4.2,3.8,94.51,161.6,0.12
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,9.8,10.2,4.7,3.9,97.25,163.04,0.12
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,9.8,10.8,4.8,3.8,93.45,162.2,0.12
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,10.9,11.3,4.8,3.8,97.48,159.34,0.12
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,10.9,11.8,4.9,3.6,94.22,155.18,0.12
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,12.0,12.3,4.9,3.5,97.99,150.26,0.12
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,12.0,12.7,4.9,3.2,95.46,144.93,0.12
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,12.7,13.0,4.9,3.0,98.13,139.36,0.12
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,12.7,13.3,5.0,2.6,96.23,133.68,0.12
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,13.2,13.6,5.0,2.3,97.57,127.94,0.12
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,13.2,14.0,5.1,2.1,95.08,122.19,0.12
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,13.8,14.3,5.1,1.9,96.6,116.49,0.12
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,13.8,14.4,5.1,1.8,95.98,110.84,0.12
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,14.0,14.6,5.1,1.7,95.89,105.3,0.12
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,14.0,14.4,5.0,1.6,97.23,99.89,0.12
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,13.1,14.2,4.9,1.5,92.84,94.64,0.12
2019-01-01 12:30:00,2019,1,1,12,30,3.0,0.0,13.1,13.9,4.9,1.5,94.75,89.18,0.12
2019-01-01 13:00:00,2019,1,1,13,0,15.0,0.0,11.4,13.5,4.9,1.4,87.34,84.65,0.12
2019-01-01 13:30:00,2019,1,1,13,30,26.0,0.0,11.4,13.1,4.7,1.4,89.64,80.22,0.12
2019-01-01 14:00:00,2019,1,1,14,0,46.0,0.0,10.1,12.7,4.6,1.3,84.28,76.12,0.12
2019-01-01 14:30:00,2019,1,1,14,30,89.0,1.0,10.1,12.5,4.6,1.3,85.39,72.44,0.12
2019-01-01 15:00:00,2019,1,1,15,0,110.0,23.0,9.1,12.3,4.6,1.2,81.0,69.25,0.12
2019-01-01 15:30:00,2019,1,1,15,30,124.0,4.0,9.1,12.0,4.6,1.2,82.61,66.64,0.12
2019-01-01 16:00:00,2019,1,1,16,0,167.0,36.0,7.9,11.7,4.6,1.1,77.75,64.67,0.12
2019-01-01 16:30:00,2019,1,1,16,30,136.0,18.0,8.0,11.5,4.6,1.1,78.86,63.42,0.12
2019-01-01 17:00:00,2019,1,1,17,0,165.0,166.0,6.7,11.3,4.5,1.0,73.2,62.92,0.12
2019-01-01 17:30:00,2019,1,1,17,30,147.0,484.0,6.7,11.3,4.4,1.0,73.2,63.19,0.12
2019-01-01 18:00:00,2019,1,1,18,0,92.0,744.0,5.9,11.3,4.4,1.0,69.43,64.23,0.12
2019-01-01 18:30:00,2019,1,1,18,30,150.0,352.0,5.9,10.9,4.2,1.0,71.37,66.0,0.12
2019-01-01 19:00:00,2019,1,1,19,0,123.0,413.0,5.3,10.6,4.0,1.0,69.69,68.43,0.12
2019-01-01 19:30:00,2019,1,1,19,30,117.0,293.0,5.3,10.0,3.7,1.0,72.6,71.46,0.12
2019-01-01 20:00:00,2019,1,1,20,0,98.0,199.0,4.9,9.3,3.4,1.0,73.85,75.0,0.12
2019-01-01 20:30:00,2019,1,1,20,30,69.0,155.0,4.9,8.4,2.9,1.0,78.55,78.99,0.12
2019-01-01 21:00:00,2019,1,1,21,0,41.0,93.0,4.5,7.6,2.4,0.9,80.92,83.33,0.12
2019-01-01 21:30:00,2019,1,1,21,30,14.0,48.0,4.5,6.9,2.2,0.9,84.96,87.88,0.12
2019-01-01 22:00:00,2019,1,1,22,0,0.0,0.0,4.1,6.3,2.0,0.9,85.57,93.15,0.12
2019-01-01 22:30:00,2019,1,1,22,30,0.0,0.0,4.1,5.9,1.9,0.9,88.05,98.34,0.12
2019-01-01 23:00:00,2019,1,1,23,0,0.0,0.0,3.5,5.5,1.8,0.9,87.07,103.71,0.12
2019-01-01 23:30:00,2019,1,1,23,30,0.0,0.0,3.5,5.5,1.8,0.9,87.07,109.22,0.12
2019-01-02 00:00:00,2019,1,2,0,0,0.0,0.0,2.9,4.6,1.6,1.0,88.99,114.83,0.12
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,2.9,4.2,1.5,1.0,91.52,120.53,0.12
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,2.4,3.8,1.4,1.0,90.56,126.26,0.12
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,2.4,3.4,1.3,0.9,93.14,132.0,0.12
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,1.9,3.1,1.2,0.9,92.03,137.71,0.12
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,1.9,2.7,1.2,0.9,94.67,143.31,0.12
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,1.5,2.4,1.1,0.9,93.79,148.72,0.12
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,1.5,2.2,1.1,0.9,95.13,153.78,0.12
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,1.2,1.9,1.1,0.9,94.88,158.19,0.12
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,1.2,1.6,1.0,0.9,96.94,161.48,0.12
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,0.7,1.3,1.0,0.9,95.76,162.95,0.12
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,0.7,1.2,1.0,0.9,96.45,162.15,0.12
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,0.4,1.0,1.0,0.9,95.42,159.33,0.12
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,0.4,0.9,1.0,0.9,96.11,155.19,0.12
2019-01-02 07:00:00,2019,1,2,7,0,0.0,0.0,0.0,0.8,1.0,0.9,94.7,150.29,0.12
2019-01-02 07:30:00,2019,1,2,7,30,0.0,0.0,0.0,0.6,1.0,0.9,96.08,144.96,0.12
2019-01-02 08:00:00,2019,1,2,8,0,0.0,0.0,-0.4,0.4,1.0,0.9,94.64,139.4,0.12
2019-01-02 08:30:00,2019,1,2,8,30,0.0,0.0,-0.4,0.2,1.0,0.8,96.02,133.72,0.12
2019-01-02 09:00:00,2019,1,2,9,0,0.0,0.0,-0.8,0.0,1.0,0.8,94.31,127.98,0.12
2019-01-02 09:30:00,2019,1,2,9,30,0.0,0.0,-0.8,-0.2,0.9,0.8,95.78,122.24,0.12
2019-01-02 10:00:00,2019,1,2,10,0,0.0,0.0,-1.2,-0.4,0.9,0.8,94.31,116.53,0.12
2019-01-02 10:30:00,2019,1,2,10,30,0.0,0.0,-1.2,-0.5,0.9,0.8,95.09,110.88,0.12
2019-01-02 11:00:00,2019,1,2,11,0,0.0,0.0,-1.6,-0.7,0.9,0.8,93.94,105.33,0.12
2019-01-02 11:30:00,2019,1,2,11,30,0.0,0.0,-1.5,-0.6,0.9,0.8,93.35,99.92,0.12
2019-01-02 12:00:00,2019,1,2,12,0,0.0,0.0,-1.6,-0.6,0.9,0.8,92.97,94.66,0.12
2019-01-02 12:30:00,2019,1,2,12,30,4.0,14.0,-1.6,0.3,1.1,0.8,87.17,89.16,0.12
2019-01-02 13:00:00,2019,1,2,13,0,25.0,0.0,-0.5,1.3,1.3,0.8,87.92,84.65,0.12
2019-01-02 13:30:00,2019,1,2,13,30,50.0,0.0,-0.5,2.1,1.5,0.9,83.03,80.22,0.12
2019-01-02 14:00:00,2019,1,2,14,0,80.0,0.0,-0.7,2.8,1.8,0.9,77.86,76.11,0.12
2019-01-02 14:30:00,2019,1,2,14,30,108.0,11.0,-0.7,3.4,1.8,0.9,74.55,72.42,0.12
2019-01-02 15:00:00,2019,1,2,15,0,142.0,49.0,-1.0,3.9,1.8,0.9,70.18,69.22,0.12
2019-01-02 15:30:00,2019,1,2,15,30,167.0,84.0,-1.0,4.2,1.7,0.9,68.72,66.59,0.12
2019-01-02 16:00:00,2019,1,2,16,0,182.0,91.0,-1.0,4.4,1.6,0.9,67.79,64.61,0.12
2019-01-02 16:30:00,2019,1,2,16,30,195.0,108.0,-1.0,4.6,1.5,0.9,66.78,63.34,0.12
2019-01-02 17:00:00,2019,1,2,17,0,197.0,102.0,-0.9,4.8,1.5,0.9,66.75,62.83,0.12
2019-01-02 17:30:00,2019,1,2,17,30,192.0,79.0,-0.9,5.0,1.4,0.9,65.83,63.09,0.12
2019-01-02 18:00:00,2019,1,2,18,0,174.0,39.0,-0.5,5.1,1.3,0.9,67.0,64.12,0.12
2019-01-02 18:30:00,2019,1,2,18,30,156.0,24.0,-0.5,4.9,1.4,1.0,67.94,65.88,0.12
2019-01-02 19:00:00,2019,1,2,19,0,130.0,15.0,0.1,4.8,1.5,1.0,71.85,68.3,0.12
2019-01-02 19:30:00,2019,1,2,19,30,82.0,1.0,0.1,4.5,1.4,1.0,73.3,71.33,0.12
2019-01-02 20:00:00,2019,1,2,20,0,52.0,0.0,1.1,4.1,1.4,1.0,80.94,74.87,0.12
2019-01-02 20:30:00,2019,1,2,20,30,37.0,0.0,1.1,3.4,1.2,1.0,85.02,78.85,0.12
2019-01-02 21:00:00,2019,1,2,21,0,22.0,0.0,1.2,2.6,1.0,1.0,90.81,83.19,0.12
2019-01-02 21:30:00,2019,1,2,21,30,7.0,11.0,1.2,2.4,1.1,1.0,92.1,87.74,0.12
2019-01-02 22:00:00,2019,1,2,22,0,0.0,0.0,0.9,2.1,1.1,1.0,91.93,93.01,0.12
2019-01-02 22:30:00,2019,1,2,22,30,0.0,0.0,0.9,2.1,1.1,1.1,91.84,98.2,0.12
2019-01-02 23:00:00,2019,1,2,23,0,0.0,0.0,0.8,2.0,1.2,1.1,91.71,103.57,0.12
2019-01-02 23:30:00,2019,1,2,23,30,0.0,0.0,0.8,2.0,1.2,1.1,91.71,109.08,0.12
2019-01-03 00:00:00,2019,1,3,0,0,0.0,0.0,0.8,1.9,1.3,1.2,92.21,114.69,0.12
2019-01-03 00:30:00,2019,1,3,0,30,0.0,0.0,0.8,1.9,1.3,1.3,92.21,120.39,0.12
2019-01-03 01:00:00,2019,1,3,1,0,0.0,0.0,0.9,1.9,1.4,1.3,92.92,126.12,0.12
2019-01-03 01:30:00,2019,1,3,1,30,0.0,0.0,0.9,2.1,1.4,1.4,91.51,131.86,0.12
2019-01-03 02:00:00,2019,1,3,2,0,0.0,0.0,1.2,2.2,1.5,1.4,93.42,137.57,0.12
2019-01-03 02:30:00,2019,1,3,2,30,0.0,0.0,1.2,2.5,1.6,1.5,91.36,143.17,0.12
2019-01-03 03:00:00,2019,1,3,3,0,0.0,0.0,1.7,2.8,1.8,1.5,92.75,148.58,0.12
2019-01-03 03:30:00,2019,1,3,3,30,0.0,0.0,1.7,3.1,1.9,1.5,90.81,153.64,0.12
2019-01-03 04:00:00,2019,1,3,4,0,0.0,0.0,2.4,3.4,2.0,1.5,92.94,158.06,0.12
2019-01-03 04:30:00,2019,1,3,4,30,0.0,0.0,2.4,3.6,1.9,1.6,91.64,161.36,0.12
2019-01-03 05:00:00,2019,1,3,5,0,0.0,0.0,2.9,3.7,1.8,1.6,94.67,162.86,0.12
2019-01-03 05:30:00,2019,1,3,5,30,0.0,0.0,2.9,3.9,1.7,1.6,93.35,162.09,0.12
2019-01-03 06:00:00,2019,1,3,6,0,0.0,0.0,3.5,4.1,1.6,1.7,95.72,159.31,0.12
2019-01-03 06:30:00,2019,1,3,6,30,0.0,0.0,3.5,4.3,1.6,1.7,94.3,155.19,0.12
2019-01-03 07:00:00,2019,1,3,7,0,0.0,0.0,4.0,4.5,1.7,1.8,96.48,150.3,0.12
2019-01-03 07:30:00,2019,1,3,7,30,0.0,0.0,4.0,4.4,1.5,1.8,97.06,144.99,0.12
2019-01-03 08:00:00,2019,1,3,8,0,0.0,0.0,4.2,4.4,1.4,1.9,98.45,139.44,0.12
2019-01-03 08:30:00,2019,1,3,8,30,0.0,0.0,4.2,4.4,1.4,1.9,98.45,133.75,0.12
2019-01-03 09:00:00,2019,1,3,9,0,0.0,0.0,4.2,4.3,1.5,1.9,99.36,128.02,0.12
2019-01-03 09:30:00,2019,1,3,9,30,0.0,0.0,4.2,4.3,1.5,1.8,99.36,122.27,0.12
2019-01-03 10:00:00,2019,1,3,10,0,0.0,0.0,4.1,4.3,1.5,1.7,98.89,116.56,0.12
