,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,18.5,18.5,1.9,3.6,100.0,109.12,0.13
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,18.7,18.7,2.4,3.7,100.0,115.16,0.13
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,18.7,18.8,2.8,3.9,99.44,121.28,0.13
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,18.6,18.6,2.5,3.9,100.0,127.46,0.13
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,18.4,18.4,2.2,4.0,99.91,133.66,0.13
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,18.2,18.2,2.1,3.8,100.0,139.87,0.13
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,17.9,18.0,1.9,3.6,99.53,146.05,0.13
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,17.8,17.8,1.9,3.5,100.0,152.12,0.13
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,17.6,17.7,1.9,3.4,99.4,157.97,0.13
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,17.6,17.6,1.9,3.4,100.0,163.33,0.13
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,17.4,17.5,2.0,3.5,99.58,167.5,0.13
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,17.4,17.5,2.0,3.6,99.58,169.01,0.13
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,17.3,17.4,2.1,3.7,99.51,166.9,0.13
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,17.3,17.4,2.1,3.8,99.51,162.43,0.13
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,17.1,17.3,2.0,3.9,98.88,156.96,0.13
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,17.1,17.2,2.0,4.0,99.5,151.05,0.13
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,16.9,17.1,1.9,4.1,98.96,144.95,0.13
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,16.9,17.1,1.9,4.2,98.96,138.77,0.13
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,16.9,17.1,1.9,4.3,98.46,132.55,0.13
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,16.9,17.1,1.9,4.3,98.46,126.35,0.13
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,16.8,17.1,1.8,4.3,98.33,120.18,0.13
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,16.8,17.0,1.8,4.2,98.95,114.07,0.13
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,16.7,16.9,1.7,4.1,98.95,108.04,0.13
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,16.7,16.9,1.7,3.9,99.05,102.13,0.13
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,16.6,16.8,1.7,3.8,98.85,96.35,0.13
2019-01-01 12:30:00,2019,1,1,12,30,1.0,7.0,16.6,17.1,1.7,3.6,97.09,90.15,0.13
2019-01-01 13:00:00,2019,1,1,13,0,10.0,0.0,17.1,17.5,1.6,3.4,97.28,85.17,0.13
2019-01-01 13:30:00,2019,1,1,13,30,37.0,291.0,17.1,18.0,1.6,3.3,94.27,80.11,0.13
2019-01-01 14:00:00,2019,1,1,14,0,44.0,1.0,17.4,18.5,1.6,3.2,93.15,75.3,0.13
2019-01-01 14:30:00,2019,1,1,14,30,78.0,4.0,17.4,19.0,1.6,3.1,90.3,70.87,0.13
2019-01-01 15:00:00,2019,1,1,15,0,116.0,7.0,17.3,19.5,1.6,3.1,87.25,66.88,0.13
2019-01-01 15:30:00,2019,1,1,15,30,134.0,17.0,17.3,20.0,1.6,3.1,84.59,63.44,0.13
2019-01-01 16:00:00,2019,1,1,16,0,108.0,3.0,17.0,20.4,1.6,3.1,80.74,60.64,0.13
2019-01-01 16:30:00,2019,1,1,16,30,150.0,7.0,17.0,20.6,1.6,3.2,79.76,58.58,0.13
2019-01-01 17:00:00,2019,1,1,17,0,168.0,7.0,16.4,20.8,1.7,3.3,75.91,57.33,0.13
2019-01-01 17:30:00,2019,1,1,17,30,224.0,71.0,16.4,20.9,1.7,3.4,75.45,56.96,0.13
2019-01-01 18:00:00,2019,1,1,18,0,191.0,38.0,16.3,20.9,1.6,3.5,75.22,57.47,0.13
2019-01-01 18:30:00,2019,1,1,18,30,188.0,42.0,16.3,20.7,1.5,3.6,76.14,58.85,0.13
2019-01-01 19:00:00,2019,1,1,19,0,177.0,65.0,16.8,20.5,1.4,3.6,79.29,61.04,0.13
2019-01-01 19:30:00,2019,1,1,19,30,100.0,8.0,16.8,20.2,1.3,3.7,80.77,63.94,0.13
2019-01-01 20:00:00,2019,1,1,20,0,75.0,2.0,17.2,19.9,1.1,3.7,84.48,67.47,0.13
2019-01-01 20:30:00,2019,1,1,20,30,63.0,16.0,17.2,19.3,0.9,3.7,87.68,71.54,0.13
