,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,23.0,545.0,-2.9,9.1,3.6,0.5,42.73,81.83,0.12
2019-01-01 00:30:00,2019,1,1,0,30,23.0,370.0,-2.9,8.0,3.6,0.5,46.07,86.48,0.12
2019-01-01 01:00:00,2019,1,1,1,0,3.0,31.0,-2.9,7.0,3.6,0.5,49.27,91.73,0.12
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-2.9,6.5,3.6,0.4,50.98,96.99,0.12
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-3.0,6.0,3.5,0.4,52.31,102.42,0.12
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-3.0,5.4,3.2,0.4,54.53,108.01,0.12
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-3.3,4.8,2.9,0.4,55.86,113.71,0.12
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-3.3,4.3,2.7,0.3,57.85,119.49,0.12
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-3.9,3.8,2.4,0.3,57.4,125.33,0.12
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-3.9,3.5,2.4,0.3,58.62,131.19,0.12
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-4.5,3.2,2.3,0.3,56.89,137.03,0.12
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-4.5,2.9,2.2,0.3,58.11,142.8,0.12
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-5.1,2.6,2.2,0.3,56.81,148.42,0.12
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-5.1,2.4,2.2,0.3,57.62,153.75,0.12
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-5.5,2.2,2.1,0.3,56.57,158.54,0.12
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-5.5,2.0,2.1,0.3,57.38,162.32,0.12
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-5.8,1.8,2.1,0.3,57.0,164.31,0.12
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-5.8,1.5,2.1,0.3,58.23,163.82,0.12
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-6.0,1.3,2.1,0.3,58.41,161.05,0.12
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-6.0,1.1,2.1,0.3,59.26,156.81,0.12
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-6.2,0.9,2.1,0.3,59.19,151.77,0.12
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-6.2,0.7,2.0,0.3,60.05,146.31,0.12
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-6.4,0.6,2.0,0.3,59.53,140.62,0.12
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-6.4,0.4,2.0,0.3,60.4,134.81,0.12
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-6.5,0.2,2.0,0.3,60.67,128.96,0.12
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-6.5,0.0,2.0,0.3,61.61,123.1,0.12
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-6.7,-0.1,2.0,0.3,61.35,117.28,0.12
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-6.6,-0.2,2.0,0.3,61.85,111.52,0.12
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-6.8,-0.3,1.9,0.3,61.37,105.86,0.12
2019-01-01 14:30:00,2019,1,1,14,30,0.0,0.0,-6.8,-0.3,1.9,0.3,61.43,100.32,0.12
