,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,2.4,4.5,4.4,1.1,86.06,103.39,0.14
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,2.4,4.1,4.2,1.0,88.59,108.99,0.14
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,2.0,3.8,3.9,1.0,88.21,114.71,0.14
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,2.0,3.2,3.3,1.0,92.11,120.5,0.14
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,1.7,2.6,2.7,0.9,93.84,126.34,0.14
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,1.7,2.0,2.3,0.9,98.03,132.2,0.14
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,1.4,1.4,1.8,0.9,100.0,138.03,0.14
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,1.2,1.2,1.9,0.9,100.0,143.78,0.14
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,1.0,1.0,1.9,0.9,100.0,149.36,0.14
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,0.9,0.9,2.1,0.9,100.0,154.62,0.14
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,0.8,0.8,2.2,0.9,100.0,159.28,0.14
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,0.7,0.7,2.3,0.9,100.0,162.8,0.14
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,0.6,0.6,2.4,0.9,100.0,164.39,0.14
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,0.3,0.3,2.4,0.9,100.0,163.47,0.14
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,0.1,0.1,2.4,0.9,100.0,160.39,0.14
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-0.1,-0.1,2.4,0.9,100.0,155.98,0.14
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-0.5,-0.2,2.4,0.9,98.13,150.85,0.14
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-0.5,-0.4,2.3,0.9,99.57,145.34,0.14
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-1.0,-0.6,2.2,0.9,97.14,139.62,0.14
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-1.0,-0.7,2.1,0.9,97.85,133.81,0.14
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-1.3,-0.7,1.9,0.9,95.98,127.95,0.14
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-1.2,-0.6,2.0,0.9,95.38,122.1,0.14
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-1.4,-0.5,2.0,0.9,93.61,116.29,0.14
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-1.4,-0.5,2.0,0.9,93.61,110.55,0.14
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-1.5,-0.4,2.0,0.9,92.3,104.91,0.14
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-1.5,-0.2,2.2,0.9,90.97,99.39,0.14
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-1.5,-0.1,2.4,0.9,90.01,94.05,0.14
2019-01-01 13:30:00,2019,1,1,13,30,2.0,0.0,-1.5,0.5,2.6,0.9,86.18,88.54,0.14
2019-01-01 14:00:00,2019,1,1,14,0,10.0,0.0,-1.2,1.1,2.8,0.9,84.45,83.87,0.14
2019-01-01 14:30:00,2019,1,1,14,30,19.0,0.0,-1.2,1.7,3.0,0.9,80.9,79.34,0.14
2019-01-01 15:00:00,2019,1,1,15,0,30.0,0.0,-1.0,2.3,3.1,0.9,78.6,75.14,0.14
2019-01-01 15:30:00,2019,1,1,15,30,40.0,0.0,-1.0,2.8,3.0,0.9,75.94,71.36,0.14
