,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,38.0,208.0,9.0,13.5,2.3,1.5,74.22,81.19,0.12
2019-01-01 00:30:00,2019,1,1,0,30,11.0,13.0,9.0,13.3,1.9,1.5,75.27,86.4,0.12
2019-01-01 01:00:00,2019,1,1,1,0,2.0,4.0,8.5,13.2,1.5,1.5,73.12,92.17,0.12
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,8.5,13.1,1.3,1.5,73.59,97.93,0.12
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,8.0,13.0,1.2,1.5,71.58,103.84,0.12
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,8.0,12.8,1.4,1.4,72.52,109.87,0.12
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,7.6,12.5,1.7,1.4,72.21,116.01,0.12
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,7.6,12.3,2.3,1.4,73.16,122.22,0.12
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,7.3,12.0,2.9,1.4,73.07,128.48,0.12
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,7.3,11.7,3.5,1.3,74.52,134.78,0.12
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,6.9,11.3,4.1,1.3,74.14,141.09,0.12
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,6.9,10.9,4.5,1.2,76.2,147.37,0.12
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,6.0,10.5,4.9,1.2,73.86,153.56,0.12
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,6.0,10.2,5.1,1.1,75.35,159.54,0.12
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,4.9,9.9,5.3,1.0,71.08,165.03,0.12
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,4.9,9.7,5.3,1.0,72.11,169.2,0.12
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,3.8,9.5,5.3,0.9,67.42,170.17,0.12
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,3.8,9.4,5.2,0.8,67.88,167.19,0.12
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,2.8,9.3,5.0,0.8,64.04,162.15,0.12
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,2.8,9.2,4.9,0.8,64.47,156.33,0.12
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,2.1,9.1,4.8,0.7,61.51,150.22,0.12
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,2.1,9.0,4.7,0.7,61.93,143.97,0.12
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,1.4,8.9,4.7,0.6,59.18,137.67,0.12
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,1.4,8.8,4.8,0.6,59.64,131.36,0.12
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,0.8,8.7,4.8,0.6,57.6,125.07,0.12
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,0.8,8.6,4.9,0.5,57.99,118.83,0.12
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,0.4,8.4,4.9,0.5,57.06,112.66,0.12
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,0.4,8.3,5.0,0.5,57.45,106.57,0.12
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-0.1,8.1,5.0,0.5,56.22,100.6,0.12
2019-01-01 14:30:00,2019,1,1,14,30,0.0,0.0,-0.1,8.5,5.2,0.4,54.72,94.76,0.12
2019-01-01 15:00:00,2019,1,1,15,0,4.0,24.0,-0.4,9.0,5.3,0.4,51.78,88.73,0.12
2019-01-01 15:30:00,2019,1,1,15,30,26.0,221.0,-0.4,9.9,5.7,0.4,48.75,83.53,0.12
2019-01-01 16:00:00,2019,1,1,16,0,44.0,651.0,-1.4,10.8,6.1,0.4,42.59,78.4,0.12
2019-01-01 16:30:00,2019,1,1,16,30,52.0,800.0,-1.4,11.5,6.6,0.4,40.66,73.57,0.12
2019-01-01 17:00:00,2019,1,1,17,0,57.0,875.0,-2.9,12.1,7.0,0.3,35.08,69.12,0.12
2019-01-01 17:30:00,2019,1,1,17,30,62.0,920.0,-2.9,12.6,6.9,0.3,33.95,65.14,0.12
2019-01-01 18:00:00,2019,1,1,18,0,64.0,951.0,-3.9,13.1,6.8,0.3,30.4,61.72,0.12
2019-01-01 18:30:00,2019,1,1,18,30,68.0,971.0,-3.9,13.5,6.6,0.3,29.62,58.98,0.12
2019-01-01 19:00:00,2019,1,1,19,0,70.0,983.0,-4.7,13.9,6.3,0.3,27.15,57.0,0.12
2019-01-01 19:30:00,2019,1,1,19,30,70.0,989.0,-4.7,14.1,6.0,0.3,26.78,55.88,0.12
2019-01-01 20:00:00,2019,1,1,20,0,72.0,988.0,-5.4,14.3,5.7,0.3,25.25,55.66,0.12
