,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,24.0,594.0,0.3,11.0,5.0,0.5,47.73,80.77,0.12
2019-01-01 00:30:00,2019,1,1,0,30,27.0,435.0,0.3,10.1,4.7,0.5,50.68,85.46,0.12
2019-01-01 01:00:00,2019,1,1,1,0,6.0,76.0,1.1,9.1,4.5,0.5,57.26,90.1,0.12
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,1.1,8.7,4.4,0.5,58.82,95.98,0.12
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,1.6,8.3,4.3,0.5,62.57,101.46,0.12
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,1.6,8.0,4.4,0.5,63.85,107.08,0.12
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,1.8,7.6,4.4,0.5,66.82,112.82,0.12
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,1.8,7.3,4.3,0.4,68.2,118.65,0.12
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,1.9,7.0,4.2,0.4,70.01,124.55,0.12
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,1.9,6.7,4.2,0.4,71.46,130.47,0.12
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,1.5,6.4,4.1,0.4,70.98,136.38,0.12
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,1.5,6.1,4.1,0.3,72.46,142.24,0.12
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,1.0,5.8,4.1,0.3,71.19,147.98,0.12
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,1.0,5.5,4.0,0.3,72.68,153.47,0.12
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,0.5,5.2,4.0,0.3,71.73,158.49,0.12
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,0.5,4.9,4.0,0.3,73.25,162.59,0.12
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,0.1,4.7,4.0,0.3,71.89,164.97,0.12
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,0.1,4.6,3.9,0.3,72.39,164.79,0.12
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-0.3,4.5,3.9,0.3,70.82,162.13,0.12
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-0.3,4.5,3.9,0.3,70.89,157.88,0.12
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-0.8,4.5,3.9,0.3,68.5,152.78,0.12
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-0.8,4.5,3.9,0.3,68.5,147.25,0.12
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-1.3,4.4,3.9,0.3,66.57,141.49,0.12
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-1.3,4.3,3.8,0.3,67.1,135.62,0.12
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-1.5,4.1,3.7,0.3,67.12,129.7,0.12
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-1.5,4.0,3.6,0.3,67.6,123.78,0.12
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-1.6,3.8,3.4,0.3,67.85,117.89,0.12
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-1.6,3.7,3.4,0.3,68.4,112.06,0.12
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-1.7,3.6,3.3,0.3,68.34,106.33,0.12
2019-01-01 14:30:00,2019,1,1,14,30,0.0,0.0,-1.7,3.5,3.2,0.3,68.89,100.72,0.12
2019-01-01 15:00:00,2019,1,1,15,0,0.0,0.0,-1.7,3.4,3.2,0.3,69.36,95.27,0.12
2019-01-01 15:30:00,2019,1,1,15,30,9.0,111.0,-1.7,4.3,3.2,0.4,65.12,89.5,0.12
2019-01-01 16:00:00,2019,1,1,16,0,30.0,276.0,-1.3,5.2,3.3,0.4,63.03,84.81,0.12
2019-01-01 16:30:00,2019,1,1,16,30,39.0,628.0,-1.3,6.1,3.4,0.4,59.29,80.14,0.12
2019-01-01 17:00:00,2019,1,1,17,0,41.0,796.0,-2.0,7.0,3.5,0.4,52.67,75.77,0.12
2019-01-01 17:30:00,2019,1,1,17,30,52.0,806.0,-2.0,7.9,3.2,0.5,49.54,71.8,0.12
2019-01-01 18:00:00,2019,1,1,18,0,73.0,754.0,-3.1,8.9,3.0,0.5,42.87,68.31,0.12
2019-01-01 18:30:00,2019,1,1,18,30,58.0,911.0,-3.1,9.6,2.6,0.5,40.86,65.39,0.12
2019-01-01 19:00:00,2019,1,1,19,0,60.0,930.0,-4.2,10.3,2.3,0.5,35.9,63.12,0.12
2019-01-01 19:30:00,2019,1,1,19,30,61.0,937.0,-4.2,10.9,2.1,0.6,34.5,61.57,0.12
2019-01-01 20:00:00,2019,1,1,20,0,61.0,943.0,-4.9,11.4,2.0,0.6,31.64,60.8,0.12
2019-01-01 20:30:00,2019,1,1,20,30,62.0,941.0,-4.9,11.8,2.1,0.6,30.82,60.85,0.12
2019-01-01 21:00:00,2019,1,1,21,0,62.0,932.0,-4.9,12.1,2.1,0.6,30.16,61.7,0.12
2019-01-01 21:30:00,2019,1,1,21,30,61.0,915.0,-4.9,12.2,2.1,0.6,29.97,63.33,0.12
2019-01-01 22:00:00,2019,1,1,22,0,59.0,888.0,-4.6,12.4,2.1,0.7,30.28,65.68,0.12
2019-01-01 22:30:00,2019,1,1,22,30,82.0,679.0,-4.6,12.1,1.8,0.7,30.88,68.66,0.12
2019-01-01 23:00:00,2019,1,1,23,0,53.0,802.0,-2.3,11.9,1.5,0.7,37.19,72.21,0.12
2019-01-01 23:30:00,2019,1,1,23,30,69.0,475.0,-2.3,11.9,1.5,0.7,37.19,76.23,0.12
