,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,26.0,561.0,-0.4,10.5,3.6,0.5,46.97,80.78,0.13
2019-01-01 00:30:00,2019,1,1,0,30,26.0,354.0,-0.4,9.4,3.3,0.5,50.55,85.52,0.13
2019-01-01 01:00:00,2019,1,1,1,0,4.0,34.0,0.2,8.3,2.9,0.5,56.88,90.19,0.13
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,0.2,8.0,3.0,0.5,58.05,96.15,0.13
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,0.1,7.7,3.1,0.5,58.74,101.66,0.13
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,0.1,7.2,2.9,0.5,60.78,107.33,0.13
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,0.3,6.7,2.7,0.4,63.56,113.11,0.13
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,0.3,6.2,2.6,0.4,65.78,118.98,0.13
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,0.4,5.7,2.5,0.4,68.5,124.91,0.13
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,0.3,5.3,2.4,0.4,70.35,130.87,0.13
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,0.1,4.9,2.3,0.4,71.03,136.82,0.13
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,0.1,4.6,2.2,0.3,72.53,142.72,0.13
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-0.4,4.2,2.1,0.3,71.99,148.5,0.13
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-0.4,3.8,2.0,0.3,74.04,154.04,0.13
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-1.0,3.5,1.9,0.3,72.38,159.1,0.13
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-1.0,3.2,1.8,0.3,73.93,163.21,0.13
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-1.5,3.0,1.8,0.3,72.11,165.52,0.13
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-1.5,2.8,1.8,0.3,73.21,165.14,0.13
