,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,1.1,1.9,1.2,2.0,94.65,118.38,0.09
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,1.1,1.7,1.2,2.1,95.92,123.9,0.09
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,1.1,1.5,1.2,2.2,96.84,129.44,0.09
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,1.0,1.4,1.3,2.3,97.44,134.94,0.09
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,0.9,1.2,1.3,2.4,98.07,140.35,0.09
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,0.9,1.2,1.4,2.4,97.97,145.57,0.09
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,0.9,1.2,1.5,2.5,98.16,150.47,0.09
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,0.9,1.3,1.5,2.5,97.36,154.83,0.09
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,1.1,1.4,1.5,2.6,98.12,158.28,0.09
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,1.1,1.5,1.6,2.7,97.23,160.32,0.09
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,1.4,1.6,1.6,2.8,98.54,160.49,0.09
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,1.4,1.9,1.7,2.9,96.26,158.74,0.09
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,1.8,2.1,1.8,3.0,98.19,155.49,0.09
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,1.8,2.6,1.8,3.1,94.57,151.26,0.09
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,2.7,3.0,1.9,3.2,97.82,146.43,0.09
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,2.7,3.3,1.8,3.2,95.57,141.25,0.09
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,3.5,3.6,1.7,3.2,99.29,135.87,0.09
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,3.5,3.9,1.6,3.0,97.03,130.37,0.09
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,4.2,4.2,1.4,2.7,100.0,124.84,0.09
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,4.3,4.5,1.4,2.4,98.36,119.31,0.09
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,4.7,4.7,1.4,2.1,100.0,113.82,0.09
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,4.8,5.0,1.4,2.0,98.31,108.41,0.09
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,5.2,5.2,1.4,1.8,100.0,103.11,0.09
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,5.2,5.6,1.4,1.8,97.55,97.96,0.09
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,5.9,5.9,1.4,1.8,100.0,93.0,0.09
2019-01-01 12:30:00,2019,1,1,12,30,14.0,84.0,6.0,6.4,1.5,1.7,97.19,87.96,0.09
2019-01-01 13:00:00,2019,1,1,13,0,35.0,310.0,6.9,6.9,1.5,1.7,99.99,83.67,0.09
2019-01-01 13:30:00,2019,1,1,13,30,51.0,187.0,6.9,7.4,1.5,1.6,96.63,79.6,0.09
2019-01-01 14:00:00,2019,1,1,14,0,68.0,462.0,7.5,7.8,1.5,1.5,98.3,75.89,0.09
2019-01-01 14:30:00,2019,1,1,14,30,69.0,257.0,7.5,8.2,1.5,1.4,95.66,72.62,0.09
2019-01-01 15:00:00,2019,1,1,15,0,136.0,123.0,7.6,8.6,1.5,1.2,93.36,69.88,0.09
2019-01-01 15:30:00,2019,1,1,15,30,133.0,337.0,7.6,8.5,1.7,1.2,93.99,67.73,0.09
2019-01-01 16:00:00,2019,1,1,16,0,84.0,711.0,5.9,8.4,1.8,1.1,84.47,66.24,0.09
2019-01-01 16:30:00,2019,1,1,16,30,60.0,876.0,5.9,8.1,1.9,1.0,86.29,65.44,0.09
2019-01-01 17:00:00,2019,1,1,17,0,59.0,879.0,4.1,7.7,1.9,1.0,78.01,65.37,0.09
2019-01-01 17:30:00,2019,1,1,17,30,58.0,876.0,4.1,7.4,1.9,0.9,79.7,66.03,0.09
2019-01-01 18:00:00,2019,1,1,18,0,56.0,864.0,3.1,7.1,1.8,0.9,75.83,67.39,0.09
2019-01-01 18:30:00,2019,1,1,18,30,54.0,838.0,3.1,6.6,1.8,0.9,78.54,69.42,0.09
2019-01-01 19:00:00,2019,1,1,19,0,56.0,758.0,2.3,6.1,1.8,0.9,76.61,72.05,0.09
2019-01-01 19:30:00,2019,1,1,19,30,48.0,742.0,2.3,5.5,1.7,0.9,79.93,75.22,0.09
2019-01-01 20:00:00,2019,1,1,20,0,43.0,654.0,1.7,4.9,1.6,0.9,79.76,78.85,0.09
2019-01-01 20:30:00,2019,1,1,20,30,34.0,520.0,1.7,4.2,1.6,0.9,83.84,82.86,0.09
2019-01-01 21:00:00,2019,1,1,21,0,20.0,276.0,1.2,3.5,1.6,0.9,84.64,87.13,0.09
2019-01-01 21:30:00,2019,1,1,21,30,0.0,0.0,1.2,3.1,1.5,0.9,87.14,92.07,0.09
2019-01-01 22:00:00,2019,1,1,22,0,0.0,0.0,0.6,2.6,1.5,0.9,86.61,96.99,0.09
2019-01-01 22:30:00,2019,1,1,22,30,0.0,0.0,0.6,2.3,1.5,0.8,88.56,102.11,0.09
2019-01-01 23:00:00,2019,1,1,23,0,0.0,0.0,0.0,1.9,1.5,0.8,86.95,107.38,0.09
2019-01-01 23:30:00,2019,1,1,23,30,0.0,0.0,0.0,1.9,1.5,0.8,86.95,112.77,0.09
2019-01-02 00:00:00,2019,1,2,0,0,0.0,0.0,-0.7,1.2,1.4,0.7,86.99,118.24,0.09
2019-01-02 00:30:00,2019,1,2,0,30,0.0,0.0,-0.7,0.8,1.4,0.6,89.61,123.77,0.09
2019-01-02 01:00:00,2019,1,2,1,0,0.0,0.0,-1.5,0.5,1.4,0.6,86.66,129.3,0.09
2019-01-02 01:30:00,2019,1,2,1,30,0.0,0.0,-1.5,0.0,1.3,0.5,89.85,134.81,0.09
2019-01-02 02:00:00,2019,1,2,2,0,0.0,0.0,-2.2,-0.4,1.3,0.5,87.54,140.21,0.09
2019-01-02 02:30:00,2019,1,2,2,30,0.0,0.0,-2.2,-0.9,1.3,0.5,90.79,145.44,0.09
2019-01-02 03:00:00,2019,1,2,3,0,0.0,0.0,-3.0,-1.4,1.3,0.4,89.0,150.34,0.09
2019-01-02 03:30:00,2019,1,2,3,30,0.0,0.0,-3.0,-1.7,1.3,0.4,91.07,154.7,0.09
2019-01-02 04:00:00,2019,1,2,4,0,0.0,0.0,-3.8,-2.0,1.3,0.4,87.66,158.16,0.09
2019-01-02 04:30:00,2019,1,2,4,30,0.0,0.0,-3.8,-2.4,1.3,0.4,90.37,160.22,0.09
2019-01-02 05:00:00,2019,1,2,5,0,0.0,0.0,-4.5,-2.7,1.3,0.4,87.17,160.42,0.09
2019-01-02 05:30:00,2019,1,2,5,30,0.0,0.0,-4.5,-3.0,1.3,0.4,89.22,158.71,0.09
2019-01-02 06:00:00,2019,1,2,6,0,0.0,0.0,-5.2,-3.3,1.3,0.4,86.59,155.48,0.09
2019-01-02 06:30:00,2019,1,2,6,30,0.0,0.0,-5.2,-3.4,1.3,0.4,87.32,151.27,0.09
