,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,6.9,9.8,1.3,0.8,81.94,94.56,0.15
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,6.9,9.4,1.3,0.8,84.25,100.55,0.15
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,6.5,8.9,1.4,0.8,84.69,106.67,0.15
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,6.5,8.4,1.4,0.8,87.59,112.9,0.15
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,6.0,7.9,1.5,0.8,87.77,119.21,0.15
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,6.0,7.4,1.5,0.8,90.8,125.6,0.15
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,5.5,7.0,1.5,0.8,90.42,132.03,0.15
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,5.5,6.6,1.5,0.8,92.93,138.49,0.15
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,5.0,6.2,1.5,0.8,91.99,144.97,0.15
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,5.0,5.9,1.5,0.8,93.91,151.42,0.15
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,4.3,5.7,1.5,0.8,90.82,157.79,0.15
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,4.3,5.5,1.5,0.8,92.09,163.94,0.15
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,3.6,5.3,1.5,0.8,88.6,169.46,0.15
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,3.6,5.2,1.6,0.8,89.31,172.68,0.15
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,3.0,5.1,1.8,0.8,86.28,170.74,0.15
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,3.0,5.1,2.3,0.8,86.28,165.6,0.15
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,2.7,5.1,2.7,0.8,84.54,159.56,0.15
