,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,2.0,42.0,-15.1,-7.6,1.3,0.3,54.96,88.79,0.87
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,-15.1,-8.5,1.4,0.3,58.94,94.11,0.87
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,-16.6,-9.4,1.4,0.3,55.99,99.31,0.87
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,-16.6,-10.2,1.4,0.3,59.63,104.68,0.87
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,-17.9,-11.0,1.5,0.3,56.88,110.18,0.87
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,-17.9,-11.6,1.4,0.3,59.67,115.79,0.87
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,-19.0,-12.1,1.4,0.3,56.68,121.47,0.87
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,-19.0,-12.7,1.4,0.3,59.49,127.18,0.87
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,-20.0,-13.3,1.4,0.2,57.26,132.89,0.87
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,-20.0,-13.6,1.4,0.2,58.67,138.56,0.87
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,-20.7,-14.0,1.4,0.2,57.12,144.11,0.87
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,-20.6,-14.3,1.4,0.2,58.61,149.44,0.87
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,-21.4,-14.7,1.5,0.2,56.72,154.38,0.87
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,-21.4,-15.0,1.5,0.2,58.14,158.62,0.87
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,-22.2,-15.4,1.6,0.2,55.86,161.64,0.87
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,-22.2,-15.8,1.6,0.2,57.74,162.75,0.87
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-22.9,-16.1,1.6,0.2,55.65,161.62,0.87
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-22.9,-16.2,1.6,0.2,56.12,158.6,0.87
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-23.3,-16.2,1.5,0.2,54.3,154.36,0.87
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-23.3,-16.3,1.5,0.2,54.75,149.42,0.87
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-23.6,-16.4,1.4,0.2,53.96,144.08,0.87
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-23.6,-16.4,1.4,0.2,53.96,138.53,0.87
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-23.8,-16.5,1.3,0.2,53.22,132.86,0.87
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-23.8,-16.5,1.2,0.2,53.22,127.15,0.87
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-23.8,-16.6,1.1,0.2,53.66,121.43,0.87
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-23.8,-16.5,1.0,0.2,53.27,115.75,0.87
2019-01-01 13:00:00,2019,1,1,13,0,0.0,0.0,-23.8,-16.4,1.0,0.2,52.75,110.14,0.87
2019-01-01 13:30:00,2019,1,1,13,30,0.0,0.0,-23.8,-16.2,1.0,0.2,51.88,104.64,0.87
2019-01-01 14:00:00,2019,1,1,14,0,0.0,0.0,-24.0,-16.1,1.0,0.2,50.64,99.27,0.87
2019-01-01 14:30:00,2019,1,1,14,30,0.0,0.0,-24.0,-15.7,1.0,0.2,48.99,94.06,0.87
2019-01-01 15:00:00,2019,1,1,15,0,14.0,203.0,-24.4,-15.3,1.1,0.2,45.75,88.73,0.87
2019-01-01 15:30:00,2019,1,1,15,30,27.0,608.0,-24.4,-14.2,1.2,0.2,41.79,84.21,0.87
2019-01-01 16:00:00,2019,1,1,16,0,36.0,764.0,-23.5,-13.1,1.3,0.2,41.2,79.84,0.87
2019-01-01 16:30:00,2019,1,1,16,30,43.0,853.0,-23.5,-11.5,1.6,0.2,36.22,75.81,0.87
2019-01-01 17:00:00,2019,1,1,17,0,49.0,910.0,-19.9,-9.9,1.9,0.2,43.9,72.21,0.87
2019-01-01 17:30:00,2019,1,1,17,30,54.0,934.0,-19.9,-8.7,2.2,0.2,39.96,69.11,0.87
2019-01-01 18:00:00,2019,1,1,18,0,59.0,960.0,-17.5,-7.5,2.5,0.2,44.62,66.6,0.87
2019-01-01 18:30:00,2019,1,1,18,30,61.0,990.0,-17.5,-6.9,2.4,0.2,42.6,64.74,0.87
2019-01-01 19:00:00,2019,1,1,19,0,61.0,1000.0,-16.1,-6.3,2.4,0.2,45.81,63.6,0.87
2019-01-01 19:30:00,2019,1,1,19,30,62.0,1003.0,-16.1,-6.0,2.3,0.2,44.77,63.2,0.87
2019-01-01 20:00:00,2019,1,1,20,0,62.0,999.0,-15.2,-5.6,2.3,0.2,46.67,63.58,0.87
2019-01-01 20:30:00,2019,1,1,20,30,60.0,990.0,-15.2,-5.6,2.2,0.2,46.67,64.72,0.87
2019-01-01 21:00:00,2019,1,1,21,0,59.0,971.0,-14.8,-5.5,2.2,0.2,48.15,66.56,0.87
2019-01-01 21:30:00,2019,1,1,21,30,56.0,936.0,-14.7,-5.7,2.1,0.2,48.95,69.07,0.87
2019-01-01 22:00:00,2019,1,1,22,0,51.0,878.0,-14.5,-6.0,2.0,0.2,51.0,72.15,0.87
2019-01-01 22:30:00,2019,1,1,22,30,46.0,814.0,-14.5,-7.0,1.8,0.2,55.06,75.75,0.87
2019-01-01 23:00:00,2019,1,1,23,0,38.0,762.0,-16.2,-8.1,1.5,0.2,52.15,79.77,0.87
2019-01-01 23:30:00,2019,1,1,23,30,27.0,613.0,-16.2,-8.1,1.5,0.2,52.15,84.13,0.87
