,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,27.0,93.0,3.9,14.2,1.4,0.9,50.03,80.66,0.15
2019-01-01 00:30:00,2019,1,1,0,30,24.0,232.0,3.9,13.5,1.0,0.9,52.4,85.72,0.15
2019-01-01 01:00:00,2019,1,1,1,0,4.0,23.0,3.4,12.7,0.7,0.8,53.2,91.31,0.15
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,3.4,12.4,1.3,0.7,54.26,96.92,0.15
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,3.1,12.1,2.0,0.7,54.01,102.7,0.15
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,3.1,11.8,2.5,0.6,55.08,108.61,0.15
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,2.7,11.5,3.1,0.5,54.78,114.63,0.15
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,2.7,11.2,3.4,0.5,55.87,120.73,0.15
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,2.3,10.9,3.6,0.4,55.27,126.89,0.15
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,2.3,10.6,3.8,0.4,56.38,133.09,0.15
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,1.9,10.4,4.0,0.4,55.75,139.29,0.15
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,1.9,10.2,4.2,0.4,56.5,145.45,0.15
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,1.6,10.0,4.5,0.4,56.08,151.52,0.15
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,1.7,9.9,4.6,0.4,56.51,157.37,0.15
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,1.6,9.7,4.8,0.4,56.91,162.76,0.15
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,1.6,9.6,5.0,0.4,57.29,167.04,0.15
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,1.3,9.5,5.1,0.4,56.56,168.83,0.15
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,1.3,9.4,5.2,0.4,56.99,167.06,0.15
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,0.7,9.2,5.3,0.4,55.38,162.79,0.15
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,0.7,9.1,5.6,0.3,55.75,157.41,0.15
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-0.9,9.0,5.9,0.3,50.05,151.56,0.15
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-0.9,9.0,6.0,0.3,50.05,145.49,0.15
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-1.3,8.9,6.0,0.3,48.77,139.33,0.15
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-1.3,8.8,5.9,0.3,49.09,133.13,0.15
