,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,3.2,3.2,1.7,2.5,100.0,109.65,0.16
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,4.1,4.1,3.2,2.3,100.0,115.08,0.16
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,4.9,4.9,4.6,2.0,100.0,120.58,0.16
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,5.1,5.1,5.4,1.9,100.0,126.12,0.16
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,5.3,5.3,6.3,1.7,100.0,131.64,0.16
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,5.3,5.3,6.8,1.7,100.0,137.12,0.16
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,5.3,5.3,7.4,1.6,100.0,142.46,0.16
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,4.9,4.9,7.2,1.7,100.0,147.58,0.16
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,4.2,4.4,7.0,1.7,98.93,152.29,0.16
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,3.7,3.7,6.5,1.7,100.0,156.34,0.16
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,2.5,2.9,6.1,1.7,97.09,159.29,0.16
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,2.3,2.3,6.0,1.6,100.0,160.63,0.16
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,0.9,1.6,6.0,1.5,95.26,160.0,0.16
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,1.0,1.2,5.8,1.4,98.23,157.59,0.16
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,0.1,0.8,5.6,1.3,95.19,153.89,0.16
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,0.1,0.6,5.5,1.2,96.77,149.38,0.16
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,-0.2,0.4,5.4,1.2,95.82,144.39,0.16
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,-0.2,0.4,5.2,1.2,95.92,139.12,0.16
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,-0.5,0.3,5.1,1.2,94.66,133.68,0.16
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,-0.4,0.3,5.0,1.2,94.76,128.16,0.16
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,-0.8,0.3,5.0,1.1,92.07,122.62,0.16
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,-0.8,0.0,4.5,1.1,94.1,117.11,0.16
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,-1.2,-0.3,4.0,1.1,93.56,111.64,0.16
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,-1.2,-0.5,3.7,1.0,95.03,106.28,0.16
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,-1.6,-0.7,3.4,1.0,93.79,101.03,0.16
2019-01-01 12:30:00,2019,1,1,12,30,0.0,0.0,-1.6,-0.7,3.4,1.0,93.88,95.95,0.16
2019-01-01 13:00:00,2019,1,1,13,0,1.0,0.0,-2.1,-0.6,3.5,1.0,89.55,91.08,0.16
2019-01-01 13:30:00,2019,1,1,13,30,15.0,0.0,-2.1,-0.2,3.9,0.9,87.07,86.24,0.16
2019-01-01 14:00:00,2019,1,1,14,0,39.0,0.0,-2.6,0.3,4.2,0.9,80.82,82.0,0.16
2019-01-01 14:30:00,2019,1,1,14,30,67.0,2.0,-2.6,0.5,4.1,0.9,79.74,78.06,0.16
2019-01-01 15:00:00,2019,1,1,15,0,88.0,10.0,-3.5,0.8,4.0,0.9,73.1,74.52,0.16
2019-01-01 15:30:00,2019,1,1,15,30,95.0,0.0,-3.5,1.0,3.8,0.9,72.06,71.46,0.16
2019-01-01 16:00:00,2019,1,1,16,0,121.0,5.0,-3.9,1.2,3.5,0.9,68.98,68.94,0.16
2019-01-01 16:30:00,2019,1,1,16,30,149.0,44.0,-3.9,1.3,3.4,0.9,68.49,67.05,0.16
2019-01-01 17:00:00,2019,1,1,17,0,70.0,4.0,-4.0,1.4,3.2,0.9,67.35,65.83,0.16
