,year,month,day,hour,minute,dhi,dni,dew_point,air_temperature,wind_speed,total_precipitable_water,relative_humidity,solar_zenith_angle,surface_albedo
2019-01-01 00:00:00,2019,1,1,0,0,0.0,0.0,0.4,0.5,0.2,2.2,99.18,117.82,0.11
2019-01-01 00:30:00,2019,1,1,0,30,0.0,0.0,0.4,0.5,0.2,2.2,99.08,123.35,0.11
2019-01-01 01:00:00,2019,1,1,1,0,0.0,0.0,0.2,0.4,0.2,2.3,98.72,128.9,0.11
2019-01-01 01:30:00,2019,1,1,1,30,0.0,0.0,0.2,0.3,0.2,2.3,99.34,134.42,0.11
2019-01-01 02:00:00,2019,1,1,2,0,0.0,0.0,0.1,0.3,0.2,2.4,98.89,139.85,0.11
2019-01-01 02:30:00,2019,1,1,2,30,0.0,0.0,0.1,0.3,0.2,2.4,98.79,145.11,0.11
2019-01-01 03:00:00,2019,1,1,3,0,0.0,0.0,0.2,0.3,0.2,2.5,99.16,150.07,0.11
2019-01-01 03:30:00,2019,1,1,3,30,0.0,0.0,0.2,0.4,0.2,2.6,98.35,154.52,0.11
2019-01-01 04:00:00,2019,1,1,4,0,0.0,0.0,0.3,0.4,0.2,2.7,99.46,158.1,0.11
2019-01-01 04:30:00,2019,1,1,4,30,0.0,0.0,0.3,0.5,0.2,2.8,98.54,160.31,0.11
2019-01-01 05:00:00,2019,1,1,5,0,0.0,0.0,0.5,0.6,0.2,2.9,99.14,160.68,0.11
2019-01-01 05:30:00,2019,1,1,5,30,0.0,0.0,0.5,0.7,0.2,3.0,98.23,159.1,0.11
2019-01-01 06:00:00,2019,1,1,6,0,0.0,0.0,0.8,0.8,0.2,3.1,99.74,155.95,0.11
2019-01-01 06:30:00,2019,1,1,6,30,0.0,0.0,0.7,1.0,0.2,3.2,98.11,151.78,0.11
2019-01-01 07:00:00,2019,1,1,7,0,0.0,0.0,1.1,1.1,0.2,3.2,100.0,146.98,0.11
2019-01-01 07:30:00,2019,1,1,7,30,0.0,0.0,1.1,1.2,0.2,3.1,99.54,141.81,0.11
2019-01-01 08:00:00,2019,1,1,8,0,0.0,0.0,1.3,1.3,0.2,2.9,100.0,136.43,0.11
2019-01-01 08:30:00,2019,1,1,8,30,0.0,0.0,1.5,1.8,0.2,2.7,98.15,130.93,0.11
2019-01-01 09:00:00,2019,1,1,9,0,0.0,0.0,2.3,2.3,0.2,2.4,100.0,125.39,0.11
2019-01-01 09:30:00,2019,1,1,9,30,0.0,0.0,2.6,3.0,0.2,2.2,96.92,119.84,0.11
2019-01-01 10:00:00,2019,1,1,10,0,0.0,0.0,3.6,3.6,0.3,1.9,100.0,114.34,0.11
2019-01-01 10:30:00,2019,1,1,10,30,0.0,0.0,4.0,4.0,0.3,1.8,100.0,108.91,0.11
2019-01-01 11:00:00,2019,1,1,11,0,0.0,0.0,4.3,4.3,0.3,1.7,100.0,103.59,0.11
2019-01-01 11:30:00,2019,1,1,11,30,0.0,0.0,4.5,4.5,0.3,1.7,100.0,98.41,0.11
2019-01-01 12:00:00,2019,1,1,12,0,0.0,0.0,4.8,4.8,0.3,1.7,100.0,93.42,0.11
2019-01-01 12:30:00,2019,1,1,12,30,12.0,85.0,5.2,5.2,0.3,1.6,100.0,88.33,0.11
2019-01-01 13:00:00,2019,1,1,13,0,26.0,84.0,5.5,5.5,0.3,1.6,100.0,84.02,0.11
2019-01-01 13:30:00,2019,1,1,13,30,50.0,56.0,5.9,5.9,0.3,1.5,100.0,79.9,0.11
2019-01-01 14:00:00,2019,1,1,14,0,63.0,130.0,6.4,6.4,0.3,1.4,100.0,76.14,0.11
2019-01-01 14:30:00,2019,1,1,14,30,93.0,153.0,6.6,6.7,0.4,1.3,99.5,72.82,0.11
2019-01-01 15:00:00,2019,1,1,15,0,93.0,473.0,6.6,6.9,0.4,1.1,97.86,70.02,0.11
2019-01-01 15:30:00,2019,1,1,15,30,59.0,845.0,6.6,6.7,0.4,1.1,99.31,67.8,0.11
