solar_TIMESTAMP,GUF_GUY_GUY_Ggl_Js_6,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2016-02-25 23:15:21+00:00,0.0,26.2,87.4,0.0,11.7,3.2,0.0,0.25,0.383,0.0,0.43
2016-02-25 23:45:21+00:00,965.048,26.1,86.6,0.0,11.4,4.4,0.0,0.249,0.383,0.0,0.45
2016-02-26 00:15:31+00:00,1206.31,26.0,85.9,0.0,11.7,4.6,0.0,0.249,0.382,0.0,0.47
2016-02-26 00:45:31+00:00,3860.192,24.9,92.5,0.0,10.9,3.4,0.0,0.248,0.383,0.0,0.24
2016-02-26 01:15:31+00:00,4101.454,25.0,94.3,0.0,10.0,3.1,0.0,0.247,0.383,0.0,0.18
2016-02-26 01:45:31+00:00,1688.8339999999998,25.3,90.9,0.0,10.5,4.2,0.0,0.247,0.383,0.0,0.29
2016-02-26 02:15:31+00:00,2895.144,24.6,93.1,0.0,11.9,4.4,0.0,0.246,0.383,0.0,0.21
2016-02-26 02:45:31+00:00,4825.24,24.3,95.1,0.0,9.9,3.7,0.0,0.246,0.383,0.0,0.15
2016-02-26 03:15:31+00:00,3136.406,25.0,92.5,0.0,12.4,2.6,0.0,0.245,0.383,0.0,0.24
2016-02-26 03:45:31+00:00,1930.096,25.2,91.5,0.0,10.9,2.8,0.0,0.245,0.383,0.0,0.27
2016-02-26 04:15:31+00:00,2412.62,25.6,90.7,0.0,11.3,3.0,0.0,0.244,0.383,0.0,0.31
2016-02-26 04:45:31+00:00,4101.454,25.8,89.7,0.0,11.3,3.2,0.0,0.244,0.383,0.0,0.34
2016-02-26 05:15:31+00:00,5790.288,25.8,89.2,0.0,11.6,2.9,0.0,0.243,0.383,0.0,0.36
2016-02-26 05:45:31+00:00,8202.908,25.8,89.3,0.0,11.9,3.2,0.0,0.243,0.382,0.0,0.36
2016-02-26 06:15:31+00:00,8926.694,25.9,89.5,1.9,13.1,3.6,0.0,0.243,0.382,0.0,0.35
2016-02-26 06:45:31+00:00,8926.694,25.4,92.8,50.5,95.5,4.5,0.0,0.242,0.383,174.40669707192907,0.23
2016-02-26 07:15:31+00:00,9891.741999999998,25.3,91.6,98.8,195.2,3.7,0.0,0.242,0.383,350.134839471806,0.27
2016-02-26 07:45:31+00:00,11821.838,25.7,88.9,211.5,394.7,2.5,0.0,0.241,0.382,519.5338981151654,0.37
2016-02-26 08:15:31+00:00,16164.554,26.1,88.8,166.3,316.1,3.8,0.0,0.241,0.382,679.7047545226736,0.38
2016-02-26 08:45:31+00:00,20024.746,25.2,91.4,223.3,431.9,5.1,0.0,0.24,0.382,827.906220842888,0.27
2016-02-26 09:15:31+00:00,20024.746,24.8,93.1,175.6,353.2,1.6,0.2,0.239,0.382,961.6019530498812,0.22
2016-02-26 09:45:31+00:00,15199.506,24.9,95.7,159.7,340.3,1.7,3.2,0.24,0.382,1078.5038584735037,0.14
2016-02-26 10:15:31+00:00,8444.169999999998,24.5,97.0,249.2,523.5,4.2,1.0,0.257,0.382,1176.6112547744956,0.09
2016-02-26 10:45:31+00:00,3136.406,24.8,97.3,292.2,595.8,3.2,0.4,0.271,0.382,1254.2451101854483,0.08
2016-02-26 11:15:31+00:00,965.048,25.5,92.1,406.0,798.3,2.7,0.0,0.273,0.382,1310.0767790179823,0.26
2016-02-26 11:45:31+00:00,4101.454,26.7,92.1,419.9,825.3,2.4,0.0,0.27,0.382,1343.1507406435703,0.28
2016-02-26 12:15:31+00:00,14234.458,27.1,88.3,320.5,634.6,3.1,0.0,0.267,0.382,1352.9009527806754,0.42
2016-02-26 12:45:31+00:00,23402.414,27.3,85.7,424.1,820.3,3.3,0.0,0.264,0.381,1339.1605392057882,0.52
2016-02-26 13:15:31+00:00,28468.916,27.8,79.2,519.2,987.3,4.6,0.0,0.261,0.381,1302.164646081132,0.78
2016-02-26 13:45:31+00:00,38119.396,27.9,77.6,500.2,943.3,5.2,0.0,0.258,0.381,1242.54641800523,0.84
2016-02-26 14:15:31+00:00,41014.53999999999,28.0,76.8,620.8,1179.3,5.1,0.0,0.256,0.381,1161.32616264263,0.87
2016-02-26 14:45:31+00:00,41738.326,28.2,77.8,337.4,621.3,3.8,0.0,0.254,0.381,1059.8938893610527,0.85
2016-02-26 15:15:31+00:00,37395.61,27.9,78.6,309.8,585.6,3.7,0.0,0.252,0.381,939.9855207031264,0.8
2016-02-26 15:45:31+00:00,33052.894,27.9,79.3,245.2,481.4,3.5,0.0,0.25,0.381,803.6531838047665,0.78
2016-02-26 16:15:31+00:00,31122.798,27.7,79.9,180.6,356.8,3.5,0.0,0.249,0.38,653.2300901898965,0.75
2016-02-26 16:45:31+00:00,26538.82,27.4,81.0,151.4,302.6,3.4,0.0,0.248,0.38,491.2906049874866,0.69
2016-02-26 17:15:31+00:00,21713.58,27.4,82.7,102.6,210.2,3.3,0.0,0.247,0.38,320.60618894784363,0.63
2016-02-26 17:45:31+00:00,17129.602,27.3,84.0,42.1,90.0,3.1,0.0,0.246,0.38,144.09796726918603,0.58
2016-02-26 18:15:31+00:00,13751.934,27.0,85.3,2.7,16.7,3.1,0.0,0.246,0.38,0.0,0.52
2016-02-26 18:45:31+00:00,10374.266,26.8,86.9,0.0,11.9,3.6,0.4,0.245,0.38,0.0,0.46
2016-02-26 19:15:31+00:00,6755.335999999999,26.0,90.3,0.0,10.9,4.2,1.6,0.245,0.38,0.0,0.33
2016-02-26 19:45:31+00:00,4583.977999999999,25.9,91.0,0.3,10.2,3.7,0.0,0.248,0.38,0.0,0.3
2016-02-26 20:15:31+00:00,2171.358,26.0,90.4,0.0,10.6,3.6,0.0,0.25,0.38,0.0,0.32
2016-02-26 20:45:31+00:00,1206.31,25.8,90.0,0.0,10.1,2.9,0.0,0.251,0.38,0.0,0.33
2016-02-26 21:15:31+00:00,965.048,25.9,89.6,0.0,11.1,3.5,0.0,0.251,0.38,0.0,0.35
2016-02-26 21:45:31+00:00,482.524,26.1,89.3,0.0,10.9,3.5,0.0,0.251,0.38,0.0,0.36
2016-02-26 22:15:31+00:00,965.048,26.3,90.2,0.0,12.0,3.4,0.0,0.251,0.38,0.0,0.33
2016-02-26 22:45:31+00:00,965.048,26.1,89.6,0.0,11.9,3.3,0.0,0.251,0.38,0.0,0.35
2016-02-26 23:15:31+00:00,965.048,26.1,89.8,0.0,11.9,3.3,0.0,0.25,0.38,0.0,0.34
2016-02-26 23:45:31+00:00,965.048,26.1,90.3,0.0,11.9,3.2,0.0,0.25,0.38,0.0,0.33
2016-02-27 00:15:41+00:00,1206.31,26.1,90.4,0.0,10.5,2.9,0.0,0.249,0.38,0.0,0.32
2016-02-27 00:45:41+00:00,1688.8339999999998,26.1,89.5,0.0,9.5,3.2,0.0,0.249,0.38,0.0,0.35
2016-02-27 01:15:41+00:00,2171.358,26.1,89.5,0.0,10.1,2.9,0.0,0.248,0.38,0.0,0.36
2016-02-27 01:45:41+00:00,2895.144,26.0,89.1,0.0,9.5,2.9,0.0,0.248,0.38,0.0,0.37
2016-02-27 02:15:41+00:00,3136.406,26.0,88.6,0.0,11.0,3.0,0.0,0.247,0.38,0.0,0.38
2016-02-27 02:45:41+00:00,4101.454,26.1,88.8,0.0,11.0,2.9,0.0,0.246,0.38,0.0,0.38
2016-02-27 03:15:41+00:00,5307.763999999999,26.0,88.5,0.0,11.0,2.8,0.0,0.246,0.38,0.0,0.39
2016-02-27 03:45:41+00:00,5549.026,26.1,88.0,0.0,12.3,2.7,0.0,0.245,0.38,0.0,0.41
2016-02-27 04:15:41+00:00,6031.549999999999,26.1,88.3,0.0,10.7,2.6,0.0,0.245,0.38,0.0,0.39
2016-02-27 04:45:41+00:00,7237.86,26.2,88.6,0.0,10.4,2.5,0.0,0.245,0.38,0.0,0.39
2016-02-27 05:15:41+00:00,7237.86,26.2,88.6,0.0,12.5,2.4,0.0,0.244,0.38,0.0,0.39
2016-02-27 05:45:41+00:00,7720.384,26.2,88.3,0.0,11.4,2.3,0.0,0.244,0.38,0.0,0.4
2016-02-27 06:15:41+00:00,8202.908,26.3,89.0,0.3,11.6,2.6,0.0,0.243,0.38,0.0,0.38
2016-02-27 06:45:41+00:00,8202.908,26.3,89.0,12.8,31.2,2.8,0.0,0.243,0.38,177.31758516402456,0.38
2016-02-27 07:15:41+00:00,8926.694,25.8,91.2,19.5,49.6,3.3,0.2,0.242,0.38,353.0815405900579,0.29
2016-02-27 07:45:41+00:00,8926.694,25.4,94.2,175.5,332.7,1.9,0.0,0.242,0.38,522.480250052059,0.19
2016-02-27 08:15:41+00:00,5307.763999999999,26.5,91.2,208.7,392.4,2.3,0.0,0.242,0.38,682.6145636060593,0.3
2016-02-27 08:45:41+00:00,8444.169999999998,27.0,89.9,230.1,447.3,3.0,0.2,0.241,0.38,830.7438834688709,0.36
2016-02-27 09:15:41+00:00,11098.052,27.3,86.7,411.3,759.3,3.8,0.0,0.241,0.38,964.333067719458,0.48
2016-02-27 09:45:41+00:00,21713.58,27.3,86.8,151.4,307.2,4.6,0.0,0.24,0.38,1081.095817810867,0.48
2016-02-27 10:15:41+00:00,26538.82,27.3,86.4,489.0,932.3,3.7,0.0,0.239,0.38,1179.0338073386429,0.49
2016-02-27 10:45:41+00:00,27745.129999999997,27.7,84.8,319.5,616.9,4.1,0.2,0.239,0.38,1256.4708823955214,0.56
2016-02-27 11:15:41+00:00,33776.67999999999,27.9,85.3,254.6,514.8,5.3,0.0,0.238,0.38,1312.081748186904,0.55
2016-02-27 11:45:41+00:00,33052.894,27.4,84.4,288.9,577.0,5.7,0.0,0.237,0.38,1344.914650946637,0.57
2016-02-27 12:15:41+00:00,33052.894,28.1,81.3,750.0,1420.3,6.2,0.0,0.236,0.38,1354.407666956518,0.71
2016-02-27 12:45:41+00:00,40049.492,27.2,87.1,350.1,665.6,5.6,0.6,0.235,0.38,1340.3983198842395,0.46
