solar_TIMESTAMP,GUF_GUY_GUY_Ssp_Js_1,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2013-12-31 23:24:15+00:00,182.628,24.4,86.0,0.0,1.2,2.7,0.0,0.225,0.369,0.0,0.43
2013-12-31 23:54:15+00:00,60.876000000000005,24.3,87.0,0.0,1.3,2.4,0.0,0.224,0.369,0.0,0.4
2014-01-01 00:23:43+00:00,60.876000000000005,24.4,87.7,0.0,1.4,1.7,0.0,0.224,0.369,0.0,0.38
2014-01-01 00:53:43+00:00,60.876000000000005,24.5,87.7,0.0,1.3,1.6,0.0,0.223,0.369,0.0,0.38
2014-01-01 01:23:43+00:00,0.0,24.4,87.7,0.0,0.9,0.7,0.0,0.223,0.369,0.0,0.38
2014-01-01 01:53:43+00:00,60.876000000000005,24.4,88.0,0.0,1.7,0.2,0.0,0.222,0.369,0.0,0.37
2014-01-01 02:23:43+00:00,60.876000000000005,24.3,88.3,0.0,1.0,0.3,0.2,0.222,0.369,0.0,0.36
2014-01-01 02:53:43+00:00,60.876000000000005,24.2,88.9,0.0,0.8,0.5,0.2,0.221,0.369,0.0,0.34
2014-01-01 03:23:43+00:00,60.876000000000005,23.7,89.6,0.0,1.4,1.7,0.0,0.221,0.369,0.0,0.31
2014-01-01 03:53:43+00:00,182.628,23.5,90.7,0.0,0.9,2.0,3.4,0.227,0.369,0.0,0.27
2014-01-01 04:23:43+00:00,304.38,23.6,91.2,0.0,1.6,1.4,3.2,0.244,0.369,0.0,0.26
2014-01-01 04:53:43+00:00,487.008,23.7,91.5,0.0,1.5,0.8,8.2,0.269,0.369,0.0,0.25
2014-01-01 05:23:43+00:00,547.884,23.5,91.7,0.0,1.8,1.3,32.8,0.301,0.369,0.0,0.24
2014-01-01 05:53:43+00:00,487.008,23.4,91.9,0.0,0.0,1.5,1.2,0.278,0.369,0.0,0.23
2014-01-01 06:23:43+00:00,547.884,23.4,92.1,3.1,4.6,1.7,0.8,0.263,0.369,63.76316485153442,0.23
2014-01-01 06:53:43+00:00,913.14,23.3,92.2,25.7,47.3,1.3,0.4,0.258,0.371,231.3695317464916,0.22
2014-01-01 07:23:43+00:00,1704.5280000000002,23.4,92.2,36.4,72.5,2.7,4.2,0.261,0.374,394.1506243947323,0.23
2014-01-01 07:53:43+00:00,1948.032,23.5,92.1,27.2,62.1,1.9,12.2,0.294,0.377,549.3230346296742,0.23
2014-01-01 08:23:43+00:00,2008.908,23.5,92.2,49.5,111.4,2.4,1.4,0.281,0.382,694.233454714301,0.23
2014-01-01 08:53:43+00:00,2495.916,23.5,92.1,70.9,164.1,4.1,5.4,0.279,0.384,826.4040465448365,0.23
2014-01-01 09:23:43+00:00,3104.676,23.3,92.2,85.0,197.2,4.2,4.4,0.287,0.385,943.5748105154036,0.22
2014-01-01 09:53:43+00:00,3713.436,23.4,92.2,167.5,377.8,4.4,3.6,0.286,0.385,1043.742229571904,0.23
2014-01-01 10:23:43+00:00,4687.452,23.2,91.9,120.0,274.3,5.5,2.8,0.276,0.385,1125.1935276739332,0.23
2014-01-01 10:53:43+00:00,5296.212,23.0,92.0,88.9,214.9,4.4,10.2,0.294,0.385,1186.5359568727022,0.23
2014-01-01 11:23:43+00:00,6209.352,23.2,92.0,149.1,353.6,4.3,5.0,0.295,0.386,1226.7206122175437,0.23
2014-01-01 11:53:43+00:00,6878.987999999999,23.5,92.0,302.8,640.1,4.0,0.2,0.279,0.386,1245.0603672736388,0.23
2014-01-01 12:23:43+00:00,7183.368,23.8,91.6,278.6,588.4,3.6,0.0,0.265,0.386,1241.2416235642277,0.25
2014-01-01 12:53:43+00:00,7365.996,24.1,91.0,380.3,755.6,3.1,0.0,0.257,0.386,1215.3296730273685,0.27
2014-01-01 13:23:43+00:00,8583.516,24.7,88.2,444.6,888.6,3.3,0.0,0.252,0.386,1167.7675817884324,0.37
2014-01-01 13:53:43+00:00,12114.324,25.1,84.6,375.3,732.6,4.5,0.0,0.248,0.386,1099.3686143293512,0.49
2014-01-01 14:23:43+00:00,12783.96,25.2,83.1,323.6,655.0,3.8,0.0,0.246,0.386,1011.3023275889944,0.54
2014-01-01 14:53:43+00:00,10896.804,24.7,84.6,137.6,280.0,3.7,0.8,0.244,0.386,905.074572767936,0.48
