solar_TIMESTAMP,ZAF_NOO_E3_IRR_Mdo_Jt_5,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2008-05-15 23:20:37+00:00,6.582197674114384,15.29,73.97,0.0,0.0,4.652,0.0,0.1,0.0974,0.0,0.4522576018449031
2008-05-16 00:20:34+00:00,0.0,13.7,82.3,0.0,0.0,4.61,2.794,0.1,0.0974,0.0,0.2774912843496198
2008-05-16 01:20:34+00:00,16.098348600477845,14.08,83.2,0.0,0.0,4.851,0.0,0.1,0.0974,0.0,0.2699630613609303
2008-05-16 02:20:34+00:00,12.58226522842618,13.22,86.4,0.0,0.0,5.025,0.254,0.101,0.0974,0.0,0.2066468274845179
2008-05-16 03:20:34+00:00,2.161537434313292,13.1,90.9,0.0,0.0,5.014,0.508,0.101,0.0974,0.0,0.137191285573351
2008-05-16 04:20:34+00:00,12.670368236384071,12.57,83.6,0.0,0.0,5.79,0.508,0.101,0.0974,0.0,0.2388099605796538
2008-05-16 05:20:34+00:00,5.933659938998832,12.7,88.2,0.0,0.0,6.193,0.0,0.101,0.0974,0.0,0.1732983921485056
2008-05-16 06:20:34+00:00,3.089254427831635,12.51,89.0,0.0,0.0,4.547,0.254,0.101,0.0974,0.0,0.159547669306596
2008-05-16 07:20:34+00:00,12.993874121989014,12.23,94.0,0.6180000000000001,1.3064520000000002,3.59,1.778,0.102,0.0974,137.88289029227104,0.0854386490351997
2008-05-16 08:20:34+00:00,42.119052029629245,12.33,91.5,23.74,50.18635999999999,5.073,0.0,0.1,0.0974,379.8332892125176,0.1218370405655258
2008-05-16 09:20:34+00:00,71.75682886811059,12.84,85.0,61.54,130.09555999999998,5.249,0.0,0.098,0.0974,579.4670836062792,0.2223250174179185
2008-05-16 10:20:34+00:00,146.69899268757945,13.82,77.53,211.8,447.7452,5.661,0.0,0.096,0.0974,723.1800581791742,0.3550320821087458
2008-05-16 11:20:34+00:00,344.96154168075986,14.23,81.8,143.6,303.57039999999995,5.876,0.0,0.096,0.0974,801.1787952962414,0.2953171796704039
2008-05-16 12:20:34+00:00,129.09959181130554,14.38,75.93,85.2,180.1128,5.161,0.0,0.095,0.0974,808.1480495724123,0.3943761501353939
2008-05-16 13:20:34+00:00,732.9794532266787,14.64,74.27,82.3,173.98219999999998,3.947,0.254,0.093,0.0974,743.6129517185759,0.428718580658169
2008-05-16 14:20:34+00:00,170.76373057874562,14.58,83.3,64.4,136.1416,3.767,0.0,0.094,0.0974,611.9713598459296,0.2771827391301407
2008-05-16 15:20:34+00:00,80.17102589858084,13.13,93.2,49.74,105.15036,3.297,0.0,0.094,0.0974,422.1941545951311,0.102717756951532
2008-05-16 16:20:34+00:00,33.50024374602527,12.08,89.8,45.75,96.7155,3.495,0.0,0.095,0.0974,187.2139026983497,0.1438179378415716
2008-05-16 17:20:34+00:00,4.684660965619359,11.62,79.0,5.11,10.80254,4.385,0.0,0.097,0.0974,0.0,0.2872388719515126
2008-05-16 18:20:34+00:00,39.91940358010267,9.8,75.44,0.139,0.293846,1.868,0.0,0.097,0.0974,0.0,0.2975694577326039
2008-05-16 19:20:34+00:00,4.803646462023605,9.1,62.87,0.0,0.0,0.975,0.0,0.098,0.0974,0.0,0.4291631525251629
2008-05-16 20:20:34+00:00,15.985196370691144,9.09,66.27,0.0,0.0,1.021,0.0,0.099,0.0974,0.0,0.3896015309970192
2008-05-16 21:20:34+00:00,3.645931057885616,8.38,74.44,0.0,0.0,1.177,0.0,0.098,0.0974,0.0,0.2813775996264559
2008-05-16 22:20:34+00:00,16.157618026842634,7.533,75.19,0.0,0.0,1.041,0.0,0.099,0.0974,0.0,0.2578061668506907
