,,,,,mean_pi_width,mean_pi_width,mean_coverage_eps,mean_coverage_eps,winkler_score_norm,winkler_score_norm
,,,,,mean,std,mean,std,mean,std
dataset,ts_instance,fc_model,uc_model,alpha,,,,,,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,default-conformal,0.05,379.5499918558917,,-0.03235395782924304,,7.369594898754122,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,default-conformal,0.1,297.19999738667525,,-0.02512962322848253,,5.825646349965478,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,default-conformal,0.15,252.80999924639622,,-0.018596612512962324,,4.98672848150262,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,enbpi,0.05,264.09774631008406,,-0.06208088489457313,,5.354162206477816,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,enbpi,0.1,224.37398348932567,,-0.07654683719322505,,4.593844708367281,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,enbpi,0.15,195.2442892238091,,-0.07874179052886279,,4.1034838623129675,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,knn,0.05,247.29627484151166,,-0.06596958174904947,,4.767956675625607,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,knn,0.1,203.05042369234656,,-0.06539923954372626,,3.862605254550365,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,knn,0.15,177.64528884353663,,-0.06889042516418944,,3.4427353938705245,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,nexcp,0.05,371.0437211769492,,-0.00400967853439331,,5.2467102032712365,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,nexcp,0.1,314.5197036131995,,-0.001278949187694417,,4.545585114415671,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,nexcp,0.15,280.0886971209645,,0.002834427929484934,,4.1415226586062825,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,ourmodel,0.05,124.04614997923765,17.18054581209171,0.008952644313861044,0.014386383333347477,2.0050874147469053,0.10729756612552335
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,ourmodel,0.1,100.78014987602063,13.889058115060614,0.032077428275146924,0.021277053278121648,1.5685624654553587,0.10006167581900957
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,ourmodel,0.15,86.41784963655587,11.987470685417284,0.05420843415139989,0.028280053570211586,1.3467207962354548,0.09285898075620305
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-forest,spic,0.05,173.45534672799204,0.21415789258659731,0.0038253254983293267,0.000947948074196639,2.697859265653943,0.0059927103680708325
